tick_id,day,settlement_id,project_id,project_type,required_objects,available_objects,stage_before,stage_after,object_durability_before,object_durability_after,dependency_satisfied,project_progress,rollback_marker,visible_project_state
0,1,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern,inspect crossing,inspect crossing,0.86,0.856,False,0.0,checkpoint-ready,True
3,1,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,check rope,fill lantern,0.86,0.842,True,0.25,forward-only-safe,True
4,1,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,count seed,dry cord,0.86,0.842,True,0.25,forward-only-safe,True
6,1,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,inspect crossing,fit plank,0.856,0.838,True,0.25,forward-only-safe,True
7,1,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,sort ledger,polish lens,0.86,0.842,True,0.25,forward-only-safe,True
9,1,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,fill lantern,fill lantern,0.842,0.842,True,0.25,forward-only-safe,True
11,1,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,cool bench,clip wire,0.86,0.842,True,0.25,forward-only-safe,True
12,1,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,fit plank,fit plank,0.838,0.838,True,0.25,forward-only-safe,True
14,1,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,sort tags,thread spool,0.86,0.842,True,0.25,forward-only-safe,True
15,1,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,fill lantern,align lens,0.842,0.824,True,0.5,forward-only-safe,True
16,2,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,dry cord,tag token,0.842,0.824,True,0.5,forward-only-safe,True
17,2,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,clip wire,test gauge,0.842,0.824,True,0.5,forward-only-safe,True
18,2,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,fit plank,bind cord,0.838,0.82,True,0.5,forward-only-safe,True
19,2,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,polish lens,set hinge,0.842,0.824,True,0.5,forward-only-safe,True
20,2,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,thread spool,ink route,0.842,0.824,True,0.5,forward-only-safe,True
21,2,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,align lens,send pulse,0.824,0.806,True,0.75,forward-only-safe,True
23,2,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,test gauge,quiet bell,0.824,0.806,True,0.75,forward-only-safe,True
24,2,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,bind cord,raise lantern,0.82,0.802,True,0.75,forward-only-safe,True
26,2,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,ink route,test recall,0.824,0.806,True,0.75,forward-only-safe,True
27,2,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,send pulse,post watch note,0.806,0.788,True,1.0,forward-only-safe,True
30,2,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,raise lantern,log maintenance,0.802,0.784,True,1.0,forward-only-safe,True
33,3,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.788,0.77,True,1.0,forward-only-safe,True
34,3,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,tag token,seal shed,0.824,0.806,True,0.75,forward-only-safe,True
