tick_id,day,settlement_id,resident_id,inherited_dialect_id,inherited_ritual,inherited_technology,inherited_memory_norm,culture_reference_visible,inheritance_hash,resident_loaded_after_avatar_entry
0,1,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,False
1,1,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
2,1,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
3,1,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
4,1,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
5,1,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
6,1,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
7,1,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
8,1,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
9,1,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
10,1,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
11,1,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
12,2,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
13,2,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
14,2,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
15,2,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
16,2,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
17,2,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
18,2,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
19,2,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
20,2,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
21,2,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
22,2,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
23,2,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
24,3,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
25,3,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
26,3,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
27,3,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
28,3,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
29,3,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
30,3,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
31,3,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
32,3,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
33,3,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
34,3,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
35,3,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
36,4,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
37,4,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
38,4,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
39,4,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
40,4,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
41,4,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
42,4,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
43,4,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
44,4,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
45,4,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
46,4,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
47,4,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
48,5,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
49,5,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
50,5,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
51,5,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
52,5,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
53,5,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
54,5,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
55,5,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
56,5,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
57,5,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
58,5,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
59,5,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
60,6,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
61,6,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
62,6,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
63,6,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
64,6,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
65,6,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
66,6,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
67,6,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
68,6,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
69,6,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
70,6,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
71,6,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
72,7,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
73,7,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
74,7,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
75,7,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
76,7,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
77,7,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
78,7,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
79,7,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
80,7,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
81,7,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
82,7,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
83,7,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
84,8,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
85,8,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
86,8,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
87,8,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
88,8,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
89,8,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
90,8,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
