generation,year,settlement_id,dialect_id,lexeme,meaning,grammatical_shift,loan_source,usage_count,inherited_lexeme,drift_rate,public_translation
1,30,riverbend,riverbend-dialect-1,fay-keth-1,dry crossing / plank-listening,ownership suffix,roofward,24,False,0.016,fay-keth-1: ask before crossing dry crossing
1,30,roofward,roofward-dialect-1,milo-ivo-1,herb preservation / sun-ledger,ownership suffix,archive,27,False,0.02,milo-ivo-1: ask before crossing herb preservation
1,30,archive,archive-dialect-1,juno-pax-1,signal memory / spool-naming,ownership suffix,signal,30,False,0.024,juno-pax-1: ask before crossing signal memory
1,30,signal,signal-dialect-1,saan-ari-1,path visibility / lantern-turning,ownership suffix,orchard,33,False,0.028,saan-ari-1: ask before crossing path visibility
1,30,orchard,orchard-dialect-1,voro-fay-1,dry seed continuity / satchel-vow,ownership suffix,repair_ring,36,False,0.032,voro-fay-1: ask before crossing dry seed continuity
1,30,repair_ring,repair_ring-dialect-1,lum-milo-1,safe repair space / spark-distance,ownership suffix,riverbend,39,False,0.036,lum-milo-1: ask before crossing safe repair space
2,60,riverbend,riverbend-dialect-1,milo-ari-1,dry crossing / plank-listening,ownership suffix,roofward,28,False,0.02,milo-ari-1: ask before crossing dry crossing
2,60,roofward,roofward-dialect-1,juno-fay-1,herb preservation / sun-ledger,ownership suffix,archive,31,False,0.024,juno-fay-1: ask before crossing herb preservation
2,60,archive,archive-dialect-1,saan-milo-1,signal memory / spool-naming,ownership suffix,signal,34,False,0.028,saan-milo-1: ask before crossing signal memory
2,60,signal,signal-dialect-1,voro-juno-1,path visibility / lantern-turning,ownership suffix,orchard,37,False,0.032,voro-juno-1: ask before crossing path visibility
2,60,orchard,orchard-dialect-1,lum-saan-1,dry seed continuity / satchel-vow,ownership suffix,repair_ring,40,False,0.036,lum-saan-1: ask before crossing dry seed continuity
2,60,repair_ring,repair_ring-dialect-1,ther-voro-1,safe repair space / spark-distance,ownership suffix,riverbend,43,False,0.04,ther-voro-1: ask before crossing safe repair space
3,90,riverbend,riverbend-dialect-1,juno-juno-1,dry crossing / plank-listening,route tense,roofward,32,True,0.024,juno-juno-1: ask before crossing dry crossing
3,90,roofward,roofward-dialect-1,saan-saan-1,herb preservation / sun-ledger,route tense,archive,35,True,0.028,saan-saan-1: ask before crossing herb preservation
3,90,archive,archive-dialect-1,voro-voro-1,signal memory / spool-naming,route tense,signal,38,True,0.032,voro-voro-1: ask before crossing signal memory
3,90,signal,signal-dialect-1,lum-lum-1,path visibility / lantern-turning,route tense,orchard,41,True,0.036,lum-lum-1: ask before crossing path visibility
3,90,orchard,orchard-dialect-1,ther-ther-1,dry seed continuity / satchel-vow,route tense,repair_ring,44,True,0.04,ther-ther-1: ask before crossing dry seed continuity
3,90,repair_ring,repair_ring-dialect-1,nia-nia-1,safe repair space / spark-distance,route tense,riverbend,47,True,0.012,nia-nia-1: ask before crossing safe repair space
4,120,riverbend,riverbend-dialect-1,saan-lum-1,dry crossing / plank-listening,ownership suffix,roofward,36,True,0.028,saan-lum-1: ask before crossing dry crossing
4,120,roofward,roofward-dialect-1,voro-ther-1,herb preservation / sun-ledger,ownership suffix,archive,39,True,0.032,voro-ther-1: ask before crossing herb preservation
4,120,archive,archive-dialect-1,lum-nia-1,signal memory / spool-naming,ownership suffix,signal,42,True,0.036,lum-nia-1: ask before crossing signal memory
4,120,signal,signal-dialect-1,ther-keth-1,path visibility / lantern-turning,ownership suffix,orchard,45,True,0.04,ther-keth-1: ask before crossing path visibility
4,120,orchard,orchard-dialect-1,nia-ivo-1,dry seed continuity / satchel-vow,ownership suffix,repair_ring,48,True,0.012,nia-ivo-1: ask before crossing dry seed continuity
4,120,repair_ring,repair_ring-dialect-1,keth-pax-1,safe repair space / spark-distance,ownership suffix,riverbend,51,True,0.016,keth-pax-1: ask before crossing safe repair space
5,150,riverbend,riverbend-dialect-1,voro-keth-1,dry crossing / plank-listening,agent-object respect marker,roofward,40,True,0.032,voro-keth-1: ask before crossing dry crossing
5,150,roofward,roofward-dialect-1,lum-ivo-1,herb preservation / sun-ledger,agent-object respect marker,archive,43,True,0.036,lum-ivo-1: ask before crossing herb preservation
5,150,archive,archive-dialect-1,ther-pax-1,signal memory / spool-naming,agent-object respect marker,signal,46,True,0.04,ther-pax-1: ask before crossing signal memory
5,150,signal,signal-dialect-1,nia-ari-1,path visibility / lantern-turning,agent-object respect marker,orchard,49,True,0.012,nia-ari-1: ask before crossing path visibility
5,150,orchard,orchard-dialect-1,keth-fay-1,dry seed continuity / satchel-vow,agent-object respect marker,repair_ring,52,True,0.016,keth-fay-1: ask before crossing dry seed continuity
5,150,repair_ring,repair_ring-dialect-1,ivo-milo-1,safe repair space / spark-distance,agent-object respect marker,riverbend,55,True,0.02,ivo-milo-1: ask before crossing safe repair space
6,180,riverbend,riverbend-dialect-1,lum-ari-1,dry crossing / plank-listening,route tense,roofward,44,True,0.036,lum-ari-1: ask before crossing dry crossing
6,180,roofward,roofward-dialect-1,ther-fay-1,herb preservation / sun-ledger,route tense,archive,47,True,0.04,ther-fay-1: ask before crossing herb preservation
6,180,archive,archive-dialect-1,nia-milo-1,signal memory / spool-naming,route tense,signal,50,True,0.012,nia-milo-1: ask before crossing signal memory
6,180,signal,signal-dialect-1,keth-juno-1,path visibility / lantern-turning,route tense,orchard,53,True,0.016,keth-juno-1: ask before crossing path visibility
6,180,orchard,orchard-dialect-1,ivo-saan-1,dry seed continuity / satchel-vow,route tense,repair_ring,56,True,0.02,ivo-saan-1: ask before crossing dry seed continuity
6,180,repair_ring,repair_ring-dialect-1,pax-voro-1,safe repair space / spark-distance,route tense,riverbend,59,True,0.024,pax-voro-1: ask before crossing safe repair space
7,210,riverbend,riverbend-dialect-1,ther-juno-1,dry crossing / plank-listening,ownership suffix,roofward,48,True,0.04,ther-juno-1: ask before crossing dry crossing
7,210,roofward,roofward-dialect-1,nia-saan-1,herb preservation / sun-ledger,ownership suffix,archive,51,True,0.012,nia-saan-1: ask before crossing herb preservation
