channel,passed,score,evidence,failure_if_false
report_338_stale_calibration_gate_passed,True,1.0,Report 338 verdict=pass weakest=1.0,stale repair would not be grounded in a passing stale-calibration gate
stale_repair_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain stale repair status/action machinery",regeneration would remove stale prepared-handoff repair behavior
prepared_resume_was_fresh_before_supersede,True,1.0,"kind=resume fresh=True status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",baseline prepared resume handoff was not fresh before supersession
superseding_shell_handoff_created,True,1.0,url=http://127.0.0.1:8801/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63 allPass=True reviewer=True,the proof did not create a newer reviewed clean shell handoff
stale_status_visible_before_repair,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed. Payload is resume while current shell is clean. Re-run Prepare outside-review handoff.",stale state was not visible before repair
stale_mismatch_history_visible_before_repair,True,1.0,"['launch handoff changed', 'launch kind changed']",stale mismatch history was not captured visibly before repair
stale_continue_blocked_before_repair,True,1.0,Re-prepare before continuing from this handoff.Download prepared outside-review handoff JSON,stale handoff exposed a continue action before repair
reprepare_restores_fresh_clean_handoff,True,1.0,"Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",re-prepare did not restore a fresh clean handoff
reprepare_payload_tracks_current_shell_handoff,True,1.0,old=2026-06-18T10:03:22.790Z current=2026-06-18T10:03:23.887Z repaired=2026-06-18T10:03:23.887Z,re-prepare did not move the payload to the current shell handoff
reprepare_regains_continue_action,True,1.0,Continue from prepared clean handoffDownload prepared outside-review handoff JSON,re-prepare did not restore a usable continue action
reprepare_keeps_download_available,True,1.0,Continue from prepared clean handoffDownload prepared outside-review handoff JSON,re-prepare removed downloadable review evidence
repair_evidence_preserves_stale_history,True,1.0,"stale=Prepared handoff payload is stale: launch handoff changed, launch kind changed. Payload is resume while current shell is clean. Re-run Prepare outside-review handoff. repaired=Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",repair proof does not preserve the visible stale history alongside the repaired state
repaired_fresh_survives_launcher_reload,True,1.0,"Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",fresh repaired handoff did not survive launcher reload
repaired_reload_keeps_repaired_timestamp,True,1.0,repaired=2026-06-18T10:03:23.887Z reload=2026-06-18T10:03:23.887Z,reload mutated the repaired prepared handoff timestamp
repaired_continue_reaches_shell,True,1.0,url=http://127.0.0.1:8801/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63 reviewer=True,repaired continue action did not reach the maintained shell
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status/actions and visible handoff preview JSON, not raw storage keys",stale repair proof relies on privileged storage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],stale repair browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local stale handoff repair bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local launcher recovery and review-handoff hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local launcher recovery
