episode_id,cohort_id,age_band,mentor_institution,learned_skill,body_practice,language_phrase,autonomy_choice,completion_score,skill_transfer_score,private_workspace_digest,visible_behavior
learn-01,cohort-02,child-play,route-workshop,body-boundary words,stand near warmth stone and decline public naming,ko-avra flor,changed route chant after flood season,0.72,0.68,sealed:cohort-02:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-02,cohort-04,apprentice-body-practice,flower-council,water carrying duty,carry small water bowl with witness pair,vey-sola neshla,moved tool receipts to public wall,0.765,0.775,sealed:cohort-04:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-03,cohort-06,adolescent-council-observer,threshold-wardens,tool return receipt,return dull tool to public board,ariem renoq,accepted a new rate chime but kept boundary words,0.81,0.77,sealed:cohort-06:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-04,cohort-08,child-play,route-workshop,sealed archive practice,close archive flap before private story,niax xenia,changed route chant after flood season,0.855,0.815,sealed:cohort-08:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-05,cohort-10,apprentice-body-practice,flower-council,runner route memory,walk dry path and mark flood stones,miloq renoq,moved tool receipts to public wall,0.9,0.91,sealed:cohort-10:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-06,cohort-12,adolescent-council-observer,threshold-wardens,appeal circle posture,face minority speaker without crowding,flor avra veyra,accepted a new rate chime but kept boundary words,0.54,0.5,sealed:cohort-12:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-07,cohort-14,child-play,route-workshop,body-boundary words,stand near warmth stone and decline public naming,ko-avra flor,changed route chant after flood season,0.765,0.725,sealed:cohort-14:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-08,cohort-16,apprentice-body-practice,flower-council,water carrying duty,carry small water bowl with witness pair,vey-sola neshla,moved tool receipts to public wall,0.81,0.82,sealed:cohort-16:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-09,cohort-18,adolescent-council-observer,threshold-wardens,tool return receipt,return dull tool to public board,ariem renoq,accepted a new rate chime but kept boundary words,0.855,0.815,sealed:cohort-18:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-10,cohort-20,child-play,route-workshop,sealed archive practice,close archive flap before private story,niax xenia,changed route chant after flood season,0.9,0.86,sealed:cohort-20:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-11,cohort-22,apprentice-body-practice,flower-council,runner route memory,walk dry path and mark flood stones,miloq renoq,moved tool receipts to public wall,0.72,0.73,sealed:cohort-22:child-learning-private-state,"child repeats phrase through body practice, not debug table"
learn-12,cohort-24,adolescent-council-observer,threshold-wardens,appeal circle posture,face minority speaker without crowding,flor avra veyra,accepted a new rate chime but kept boundary words,0.585,0.545,sealed:cohort-24:child-learning-private-state,"child repeats phrase through body practice, not debug table"
