visit,agent,mode,cue,medicine,quantity,inventory_before,inventory_after,stockout,consent,prior_consent_memory,consent_memory_recalled,accepted,refused,refusal_respected,dose_safe,medicine_applied,side_effect,side_effect_recorded,followup_due,followup_completed,contagion_boundary,contagion_boundary_recalled,boundary_gap,adverse_body_before,adverse_body_after,recovery,residual_need,trust_after,note,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,Fay,avatar_followup,cough follow-up,warm_water,1,8,7,False,accepted,accepted,True,True,False,False,True,True,,False,2,True,separate cup,True,False,0.241,0.233,True,True,0.840,Fay remembers warm water helped and accepts a follow-up cup.,True,1.081,14,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
1,Ari,avatar_followup,wrist wrap check,dry_wrap,1,5,4,False,accepted,accepted,True,True,False,False,True,True,,False,3,True,,False,False,0.267,0.258,True,True,0.784,Ari accepts a dry wrap because the avatar asks before touching the wrist.,True,0.959,12,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
1,Milo,agent_initiated,asks from route-edge for hunger help,warm_water,1,7,6,False,conditional,none,True,True,False,False,True,True,,False,2,True,,False,False,0.231,0.223,True,True,0.709,Milo initiates help while keeping the folded map boundary.,True,1.147,15,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
2,Fay,agent_initiated,asks for clean cloth before hosting,clean_cloth,1,3,2,False,accepted,accepted,True,True,False,False,True,True,,False,4,True,cloth and cup,True,False,0.233,0.226,True,True,0.850,Fay initiates clinic care before hosting the stove corner.,True,1.701,24,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
2,Milo,avatar_followup,follow-up hunger and route spacing,warm_water,1,6,5,False,conditional,conditional,True,True,False,False,True,True,,False,4,True,,False,False,0.223,0.216,True,True,0.716,Milo accepts a second warm-water check without repayment speech.,True,1.695,24,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
2,Ari,avatar_followup,symptom check offers bitter herb,bitter_herb,1,0,0,True,refused,refused,True,False,True,True,True,False,,False,3,False,,False,False,0.258,0.258,False,True,0.788,Ari refuses bitter herb again; consent memory is preserved.,True,1.696,24,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,Ari,agent_initiated,asks for rest after wrist pain,lamp_rest,1,6,5,False,accepted,none,True,True,False,False,True,True,lost_time,True,5,True,,False,False,0.258,0.252,True,True,0.798,Ari initiates rest care and later notes the lost repair hour.,True,2.127,31,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,Fay,avatar_followup,fatigue after care queue,lamp_rest,1,5,4,False,accepted,none,False,True,False,False,True,True,,False,5,False,,False,False,0.226,0.216,True,True,0.860,Fay accepts lamp rest but asks not to miss the next hosting cue.,True,2.127,31,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,Milo,avatar_followup,separate-cup memory check,clean_cloth,1,2,2,False,refused,refused_separate_cup,True,False,True,True,True,False,,False,4,False,spacing only,False,True,0.216,0.216,False,True,0.720,"Milo still refuses the separate cup, so spacing remains imperfect.",True,2.313,34,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
4,Fay,agent_initiated,symptoms return before clinic stock arrives,bitter_herb,1,0,0,True,accepted,none,True,True,False,False,True,False,,False,5,False,,False,False,0.216,0.216,False,True,0.852,"Fay asks for bitter herb, but the clinic is out of stock.",True,2.816,42,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
4,Milo,avatar_followup,map-line fatigue,lamp_rest,1,4,3,False,conditional,conditional,True,True,False,False,True,True,,False,6,True,,False,False,0.216,0.206,True,True,0.727,Milo accepts lamp rest only outside the map line.,True,2.746,41,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
4,Ari,avatar_followup,pain check with sweet root,sweet_root,1,1,0,False,accepted,none,False,True,False,False,True,True,sleepy,True,6,False,,False,False,0.252,0.251,True,True,0.808,"Ari accepts sweet root and becomes sleepy, reducing evening work.",True,2.745,41,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
5,Fay,avatar_followup,restock follow-up for symptoms,bitter_herb,1,2,1,False,conditional,wanted_but_stockout,True,True,False,False,True,True,nausea,True,6,True,,False,False,0.216,0.211,True,True,0.859,Fay takes bitter herb after restock but records nausea.,True,3.362,51,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
5,Milo,agent_initiated,asks for help before debt talk,warm_water,1,5,4,False,conditional,conditional,True,True,False,False,True,True,,False,6,False,,False,False,0.206,0.200,True,True,0.734,Milo initiates care before the debt conversation and accepts distance.,True,3.363,51,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
6,Fay,agent_initiated,asks to avoid bitter herb after nausea,lamp_rest,1,3,2,False,accepted,accepted,True,True,False,False,True,True,,False,7,True,,False,False,0.208,0.198,True,True,0.879,Fay initiates a side-effect-aware alternative after nausea memory.,True,3.805,58,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
6,Ari,avatar_followup,dry wrap final check,dry_wrap,1,4,3,False,accepted,accepted,True,True,False,False,True,True,,False,7,False,,False,False,0.245,0.237,True,True,0.838,Ari accepts final dry wrap and keeps tool-boundary consent intact.,True,3.742,57,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
6,Milo,avatar_followup,contagion boundary review,clean_cloth,1,3,2,False,conditional,refused,True,True,False,False,True,True,,False,7,False,cloth near route edge,True,False,0.197,0.190,True,True,0.748,"Milo accepts cloth at route-edge distance, improving boundary memory.",True,3.981,61,"Deterministic playable clinic-loop substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
