tick_index,agent,posture,movement_speed,gaze,proximity_change,idle_ritual,startle_response,comfort_behavior,dialogue_style,optional_dialogue,bounded_refusal,recovery_action,readable_marker
1,Ari,active balanced stance,0.61608,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: focused; tracks nearby task; nonverbal
2,Fay,active balanced stance,0.556845,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Fay: focused; tracks nearby task; nonverbal
3,Milo,protective curl,0.554917,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Milo: guarded; checks exits before answering; bounded refusal
4,Sol,softened stance,0.695805,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
5,Ari,softened stance,0.693154,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
6,Fay,active balanced stance,0.669121,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Fay: comforted; tracks nearby task; brief self-report
7,Milo,guarded half-turn,0.570056,checks exits before answering,holds position,small balance shift,flinch,self-soothing hand rub,brief self-report,That feels too close to my work. Please give me a moment.,False,,Milo: guarded; checks exits before answering; brief self-report
8,Sol,softened stance,0.706904,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
9,Ari,active balanced stance,0.659699,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Ari: comforted; tracks nearby task; brief self-report
10,Fay,guarded half-turn,0.578816,checks exits before answering,continues route,small balance shift,none,self-soothing hand rub,nonverbal,,False,,Fay: startled; checks exits before answering; nonverbal
11,Milo,active balanced stance,0.557351,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; tracks nearby task; nonverbal
12,Sol,softened stance,0.707191,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
13,Ari,guarded half-turn,0.591072,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Ari: startled; checks exits before answering; nonverbal
14,Fay,active balanced stance,0.661928,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Fay: comforted; tracks nearby task; nonverbal
15,Milo,active balanced stance,0.558149,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Milo: guarded; looks away then back; bounded refusal
