tick_id,day,tick,route_id,speaker,listener,dialogue_choice_id,choice_label,selected,choice_valid,consequence_kind,public_text,private_workspace_sealed,visible_choice_button
0,1,0,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:1:0:Ari,ask to keep direct route,False,False,none,none,True,False
1,1,1,roofward_archive,Nia,Fay,choice:roofward_archive:1:1:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose glass stair for roofward->archive_quarter. Fay, can we agree on the recovery branch?",True,True
2,1,2,archive_signal,Nia,Milo,choice:archive_signal:1:2:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
3,1,3,signal_orchard,Ivo,Milo,choice:signal_orchard:1:3:Ivo,ask to keep direct route,False,False,none,none,True,False
4,1,4,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:1:4:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
5,1,5,central_repair_ring,Pax,Juno,choice:central_repair_ring:1:5:Pax,ask to keep direct route,True,True,support_direct,"Pax: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Juno, can we agree on the recovery branch?",True,True
6,1,6,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:1:6:Ari,ask to keep direct route,False,False,none,none,True,False
7,1,7,roofward_archive,Nia,Fay,choice:roofward_archive:1:7:Nia,ask to keep direct route,False,False,none,none,True,False
8,1,8,archive_signal,Nia,Milo,choice:archive_signal:1:8:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
9,1,9,signal_orchard,Ivo,Milo,choice:signal_orchard:1:9:Ivo,ask to keep direct route,False,False,none,none,True,False
10,1,10,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:1:10:Ivo,ask to keep direct route,False,False,none,none,True,False
11,1,11,central_repair_ring,Pax,Juno,choice:central_repair_ring:1:11:Pax,ask to keep direct route,True,True,support_direct,"Pax: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Juno, can we agree on the recovery branch?",True,True
12,1,12,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:1:12:Ari,ask to merge detour,True,True,support_detour,"Ari: I saw the avatar choose orchard ridge detour for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
13,1,13,roofward_archive,Nia,Fay,choice:roofward_archive:1:13:Nia,ask to keep direct route,False,False,none,none,True,False
14,2,0,archive_signal,Nia,Milo,choice:archive_signal:2:0:Nia,ask to keep direct route,False,False,none,none,True,False
15,2,1,signal_orchard,Ivo,Milo,choice:signal_orchard:2:1:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Milo, can we agree on the recovery branch?",True,True
16,2,2,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:2:2:Ivo,ask to merge detour,False,False,none,none,True,False
17,2,3,central_repair_ring,Pax,Juno,choice:central_repair_ring:2:3:Pax,ask to keep direct route,False,False,none,none,True,False
18,2,4,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:2:4:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose river ford for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
19,2,5,roofward_archive,Nia,Fay,choice:roofward_archive:2:5:Nia,ask to keep direct route,False,False,none,none,True,False
20,2,6,archive_signal,Nia,Milo,choice:archive_signal:2:6:Nia,ask to keep direct route,False,False,none,none,True,False
21,2,7,signal_orchard,Ivo,Milo,choice:signal_orchard:2:7:Ivo,ask to keep direct route,False,False,none,none,True,False
22,2,8,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:2:8:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
23,2,9,central_repair_ring,Pax,Juno,choice:central_repair_ring:2:9:Pax,ask to keep direct route,False,False,none,none,True,False
24,2,10,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:2:10:Ari,ask to keep direct route,False,False,none,none,True,False
25,2,11,roofward_archive,Nia,Fay,choice:roofward_archive:2:11:Nia,ask to keep direct route,False,False,none,none,True,False
26,2,12,archive_signal,Nia,Milo,choice:archive_signal:2:12:Nia,ask to merge detour,True,True,support_detour,"Nia: I saw the avatar choose stone kiosk path for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
27,2,13,signal_orchard,Ivo,Milo,choice:signal_orchard:2:13:Ivo,ask to keep direct route,False,False,none,none,True,False
28,3,0,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:3:0:Ivo,ask to keep direct route,False,False,none,none,True,False
29,3,1,central_repair_ring,Pax,Juno,choice:central_repair_ring:3:1:Pax,ask to keep direct route,False,False,none,none,True,True
30,3,2,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:3:2:Ari,ask to merge detour,True,True,support_detour,"Ari: I saw the avatar choose orchard ridge detour for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
31,3,3,roofward_archive,Nia,Fay,choice:roofward_archive:3:3:Nia,ask to keep direct route,False,False,none,none,True,False
32,3,4,archive_signal,Nia,Milo,choice:archive_signal:3:4:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
33,3,5,signal_orchard,Ivo,Milo,choice:signal_orchard:3:5:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Milo, can we agree on the recovery branch?",True,True
34,3,6,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:3:6:Ivo,ask to keep direct route,False,False,none,none,True,False
35,3,7,central_repair_ring,Pax,Juno,choice:central_repair_ring:3:7:Pax,ask to keep direct route,False,False,none,none,True,False
36,3,8,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:3:8:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose river ford for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
37,3,9,roofward_archive,Nia,Fay,choice:roofward_archive:3:9:Nia,ask to keep direct route,False,False,none,none,True,False
38,3,10,archive_signal,Nia,Milo,choice:archive_signal:3:10:Nia,ask to keep direct route,False,False,none,none,True,False
39,3,11,signal_orchard,Ivo,Milo,choice:signal_orchard:3:11:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Milo, can we agree on the recovery branch?",True,True
40,3,12,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:3:12:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
41,3,13,central_repair_ring,Pax,Juno,choice:central_repair_ring:3:13:Pax,ask to keep direct route,False,False,none,none,True,False
42,4,0,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:4:0:Ari,ask to keep direct route,False,False,none,none,True,False
43,4,1,roofward_archive,Nia,Fay,choice:roofward_archive:4:1:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose glass stair for roofward->archive_quarter. Fay, can we agree on the recovery branch?",True,True
44,4,2,archive_signal,Nia,Milo,choice:archive_signal:4:2:Nia,ask to merge detour,False,False,none,none,True,False
45,4,3,signal_orchard,Ivo,Milo,choice:signal_orchard:4:3:Ivo,ask to keep direct route,False,False,none,none,True,False
46,4,4,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:4:4:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
47,4,5,central_repair_ring,Pax,Juno,choice:central_repair_ring:4:5:Pax,ask to keep direct route,False,False,none,none,True,False
48,4,6,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:4:6:Ari,ask to keep direct route,False,False,none,none,True,False
49,4,7,roofward_archive,Nia,Fay,choice:roofward_archive:4:7:Nia,ask to keep direct route,False,False,none,none,True,False
50,4,8,archive_signal,Nia,Milo,choice:archive_signal:4:8:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
51,4,9,signal_orchard,Ivo,Milo,choice:signal_orchard:4:9:Ivo,ask to keep direct route,False,False,none,none,True,False
52,4,10,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:4:10:Ivo,ask to keep direct route,False,False,none,none,True,False
53,4,11,central_repair_ring,Pax,Juno,choice:central_repair_ring:4:11:Pax,ask to keep direct route,False,False,none,none,True,False
54,4,12,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:4:12:Ari,ask to merge detour,True,True,support_detour,"Ari: I saw the avatar choose orchard ridge detour for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
55,4,13,roofward_archive,Nia,Fay,choice:roofward_archive:4:13:Nia,ask to keep direct route,False,False,none,none,True,False
56,5,0,archive_signal,Nia,Milo,choice:archive_signal:5:0:Nia,ask to keep direct route,False,False,none,none,True,False
57,5,1,signal_orchard,Ivo,Milo,choice:signal_orchard:5:1:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Milo, can we agree on the recovery branch?",True,True
58,5,2,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:5:2:Ivo,ask to merge detour,False,False,none,none,True,True
59,5,3,central_repair_ring,Pax,Juno,choice:central_repair_ring:5:3:Pax,ask to keep direct route,False,False,none,none,True,False
60,5,4,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:5:4:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose river ford for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
61,5,5,roofward_archive,Nia,Fay,choice:roofward_archive:5:5:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose glass stair for roofward->archive_quarter. Fay, can we agree on the recovery branch?",True,True
62,5,6,archive_signal,Nia,Milo,choice:archive_signal:5:6:Nia,ask to keep direct route,False,False,none,none,True,False
63,5,7,signal_orchard,Ivo,Milo,choice:signal_orchard:5:7:Ivo,ask to keep direct route,False,False,none,none,True,False
64,5,8,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:5:8:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
65,5,9,central_repair_ring,Pax,Juno,choice:central_repair_ring:5:9:Pax,ask to keep direct route,False,False,none,none,True,False
66,5,10,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:5:10:Ari,ask to keep direct route,False,False,none,none,True,False
67,5,11,roofward_archive,Nia,Fay,choice:roofward_archive:5:11:Nia,ask to keep direct route,True,True,support_direct,"Nia: I saw the avatar choose glass stair for roofward->archive_quarter. Fay, can we agree on the recovery branch?",True,True
68,5,12,archive_signal,Nia,Milo,choice:archive_signal:5:12:Nia,ask to merge detour,True,True,support_detour,"Nia: I saw the avatar choose stone kiosk path for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
69,5,13,signal_orchard,Ivo,Milo,choice:signal_orchard:5:13:Ivo,ask to keep direct route,False,False,none,none,True,False
70,6,0,central_repair_ring,Juno,Pax,choice:central_repair_ring:6:0:Juno,ask to keep direct route,True,True,support_direct,"Juno: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
71,6,1,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:6:1:Fay,ask to merge detour,True,True,support_detour,"Fay: I saw the avatar choose orchard ridge detour for riverbend->roofward. Ari, can we agree on the recovery branch?",True,True
72,6,2,roofward_archive,Fay,Nia,choice:roofward_archive:6:2:Fay,ask to keep direct route,False,False,none,none,True,False
73,6,3,archive_signal,Milo,Nia,choice:archive_signal:6:3:Milo,ask to merge detour,True,True,support_detour,"Milo: I saw the avatar choose stone kiosk path for archive_quarter->signal_ridge. Nia, can we agree on the recovery branch?",True,True
74,6,4,signal_orchard,Milo,Ivo,choice:signal_orchard:6:4:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
75,6,5,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:6:5:Ari,ask to keep direct route,False,False,none,none,True,False
76,6,6,central_repair_ring,Juno,Pax,choice:central_repair_ring:6:6:Juno,ask to keep direct route,True,True,support_direct,"Juno: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
77,6,7,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:6:7:Fay,ask to keep direct route,False,False,none,none,True,False
78,6,8,roofward_archive,Fay,Nia,choice:roofward_archive:6:8:Fay,ask to merge detour,True,True,support_detour,"Fay: I saw the avatar choose cool archive lane for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
79,6,9,archive_signal,Milo,Nia,choice:archive_signal:6:9:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Nia, can we agree on the recovery branch?",True,True
80,6,10,signal_orchard,Milo,Ivo,choice:signal_orchard:6:10:Milo,ask to keep direct route,False,False,none,none,True,False
81,6,11,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:6:11:Ari,ask to keep direct route,False,False,none,none,True,False
82,6,12,central_repair_ring,Juno,Pax,choice:central_repair_ring:6:12:Juno,ask to merge detour,True,False,support_detour,"Juno: I saw the avatar choose outer bell path for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
83,6,13,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:6:13:Fay,ask to keep direct route,False,False,none,none,True,False
84,7,0,roofward_archive,Fay,Nia,choice:roofward_archive:7:0:Fay,ask to keep direct route,False,False,none,none,True,False
85,7,1,archive_signal,Milo,Nia,choice:archive_signal:7:1:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Nia, can we agree on the recovery branch?",True,True
86,7,2,signal_orchard,Milo,Ivo,choice:signal_orchard:7:2:Milo,ask to merge detour,False,False,none,none,True,False
87,7,3,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:7:3:Ari,ask to keep direct route,False,False,none,none,True,False
88,7,4,central_repair_ring,Juno,Pax,choice:central_repair_ring:7:4:Juno,ask to merge detour,True,True,support_detour,"Juno: I saw the avatar choose outer bell path for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
89,7,5,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:7:5:Fay,ask to keep direct route,False,False,none,none,True,False
90,7,6,roofward_archive,Fay,Nia,choice:roofward_archive:7:6:Fay,ask to keep direct route,False,False,none,none,True,False
91,7,7,archive_signal,Milo,Nia,choice:archive_signal:7:7:Milo,ask to keep direct route,False,False,none,none,True,False
92,7,8,signal_orchard,Milo,Ivo,choice:signal_orchard:7:8:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
93,7,9,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:7:9:Ari,ask to keep direct route,False,False,none,none,True,False
94,7,10,central_repair_ring,Juno,Pax,choice:central_repair_ring:7:10:Juno,ask to keep direct route,False,False,none,none,True,False
95,7,11,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:7:11:Fay,ask to keep direct route,False,False,none,none,True,False
96,7,12,roofward_archive,Fay,Nia,choice:roofward_archive:7:12:Fay,ask to merge detour,True,True,support_detour,"Fay: I saw the avatar choose cool archive lane for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
97,7,13,archive_signal,Milo,Nia,choice:archive_signal:7:13:Milo,ask to keep direct route,False,False,none,none,True,False
98,8,0,signal_orchard,Milo,Ivo,choice:signal_orchard:8:0:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
99,8,1,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:8:1:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose fen track for orchard_fen->riverbend. Ivo, can we agree on the recovery branch?",True,True
100,8,2,central_repair_ring,Juno,Pax,choice:central_repair_ring:8:2:Juno,ask to merge detour,False,False,none,none,True,False
