seed,era,era_day,memory_id,memory,dominant_label,archived_failures,institution,trade_shifts,avatar_as_answer_source
36217,week_01,7,36217-CUL-001,week_01: Ari carried herb-jump into herb-jump/half-sign after nothing repeated clearly,herb-jump/half-sign,1,none,none,False
36217,moon_02,42,36217-CUL-002,moon_02: Milo carried herb-jump/half-sign into handspan bite/dry-jump after loose fiber jumped after rubbing,handspan bite/dry-jump,1,none,more_ash_glass,False
36217,season_01,120,36217-CUL-003,season_01: Sera carried handspan bite/dry-jump into dry-jump/smoke-bound after smoke appeared and the test was stopped,dry-jump/smoke-bound,2,none,more_ash_glass;avoid_wet_wood,False
36217,year_01,365,36217-CUL-004,year_01: Sera carried dry-jump/smoke-bound into smoke-bound/quiet-doubt after nothing repeated clearly,smoke-bound/quiet-doubt,3,none,more_ash_glass;avoid_wet_wood,False
36217,year_03,1095,36217-CUL-005,year_03: Milo carried smoke-bound/quiet-doubt into quiet-doubt/fiber-rise after loose fiber jumped after rubbing,quiet-doubt/fiber-rise,3,none,more_ash_glass;avoid_wet_wood;more_clay_jar,False
36217,generation_02,9125,36217-CUL-006,generation_02: Sera carried quiet-doubt/fiber-rise into fiber-rise/bench-tool-anger after a tool edge cracked before the sign returned,fiber-rise/bench-tool-anger,4,none,avoid_wet_wood;more_clay_jar;avoid_ash_glass,False
36217,generation_04,18250,36217-CUL-007,generation_04: Milo carried fiber-rise/bench-tool-anger into bench-tool-anger/route-fiber-rise after loose fiber jumped after rubbing; craft_bench began using it,bench-tool-anger/route-fiber-rise,4,craft_bench,more_clay_jar;avoid_ash_glass;more_reed_fiber,False
36231,week_01,7,36231-CUL-001,week_01: Nia carried cold spark into cold spark/fiber-rise after loose fiber jumped after rubbing,cold spark/fiber-rise,0,none,more_dry_resin,False
36231,moon_02,42,36231-CUL-002,moon_02: Fay carried cold spark/fiber-rise into quiet sting/quiet-doubt after nothing repeated clearly,quiet sting/quiet-doubt,1,none,more_dry_resin,False
36231,season_01,120,36231-CUL-003,season_01: Fay carried quiet sting/quiet-doubt into jar omen/missing-repeat after nothing repeated clearly,jar omen/missing-repeat,2,none,more_dry_resin,False
36231,year_01,365,36231-CUL-004,year_01: Tovan carried jar omen/missing-repeat into missing-repeat/quiet-doubt after nothing repeated clearly,missing-repeat/quiet-doubt,3,none,more_dry_resin,False
36231,year_03,1095,36231-CUL-005,year_03: Fay carried missing-repeat/quiet-doubt into quiet-doubt/red-call after dark grains crawled toward the red scrap,quiet-doubt/red-call,3,none,more_dry_resin;more_wet_wood,False
36231,generation_02,9125,36231-CUL-006,generation_02: Fay carried quiet-doubt/red-call into red-call/roof-tool-anger after a tool edge cracked before the sign returned,red-call/roof-tool-anger,4,none,more_dry_resin;more_wet_wood;avoid_clay_jar,False
36231,generation_04,18250,36231-CUL-007,generation_04: Nia carried red-call/roof-tool-anger into roof-tool-anger/route-quiet-doubt after nothing repeated clearly,roof-tool-anger/route-quiet-doubt,5,none,more_dry_resin;more_wet_wood;avoid_clay_jar,False
36247,week_01,7,36247-CUL-001,week_01: Ari carried jar omen into jar omen/half-sign after nothing repeated clearly,jar omen/half-sign,1,none,none,False
36247,moon_02,42,36247-CUL-002,moon_02: Tovan carried jar omen/half-sign into half-sign/ash-fear after smoke appeared and the test was stopped,half-sign/ash-fear,2,none,avoid_dry_resin,False
