criterion,passed,score,evidence
report_361_choice_gate_passing,True,1.0,Report 361 verdict=pass weakest=1.0
source_exposes_hidden_world_laws,True,1.0,app.js creates hidden material properties
source_exposes_observations_beliefs_experiments,True,1.0,"app.js binds observations, beliefs, experiments, and failures"
source_exposes_social_mutation_cultural_memory,True,1.0,app.js mutates social belief transmission and updates cultural memory
source_preserves_avatar_boundary,True,1.0,avatar can trigger investigation but not install correct concept
visible_shell_panel_wired,True,1.0,index.html exposes anomaly discovery controls and panel
runner_includes_report_362,True,1.0,scripts/run_experiments.py includes Report 362 module
hidden_world_law_integrity,True,1.0,metric=1.0
resident_observation_binding,True,1.0,metric=1.0
belief_generation_diversity,True,1.0,metric=1.0
wrong_belief_preservation,True,1.0,metric=1.0
experiment_choice_non_scriptedness,True,1.0,metric=1.0
failed_experiment_honesty,True,1.0,metric=1.0
material_constraint_binding,True,1.0,metric=1.0
social_transmission_mutation,True,1.0,metric=1.0
multi_seed_divergence,True,1.0,metric=1.0
no_instant_correct_unlock,True,1.0,metric=1.0
avatar_hint_not_command,True,1.0,metric=1.0
cultural_memory_update,True,1.0,metric=1.0
audit_trace_integrity,True,1.0,metric=1.0
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v122_non_scripted_world_anomaly_discovery_bridge_browser_smoke.json
