body_frame_id,day,tick,agent_id,condition,posture,gait,gaze,hand_or_object_behavior,proximity_rule,micro_ritual,legibility_score
body_priv_ari_1,1,20,ari,settled-attachment,upright and task-forward,even pace near trusted person,looks between person and shared work,offers safe side of bronze spanner,shares workbench distance,hands guard tool then reopen after repair,0.91
body_priv_ari_2,3,26,ari,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches bronze spanner then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_ari_3,5,32,ari,ownership-caution,small brace through shoulders,short diagonal step to object side,object-person-object scan,keeps palm visible over bronze spanner family,asks from two body-lengths,taps boundary mark before speaking,0.9
body_priv_ari_4,8,38,ari,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches bronze spanner then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_ari_5,13,44,ari,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_ari_6,21,50,ari,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches bronze spanner then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_ari_7,34,56,ari,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_ari_8,55,62,ari,consolidated-self-respect,upright but not performative,measured return to chosen route,direct look followed by task focus,sets bronze spanner down where others can see but not take,allows approach after acknowledgement,"touches heart mark, tool mark, then path mark",0.9
body_priv_fay_1,1,68,fay,settled-attachment,upright and task-forward,even pace near trusted person,looks between person and shared work,offers safe side of seed bowl,shares workbench distance,turns body sideways to shelter others,0.91
body_priv_fay_2,3,74,fay,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches seed bowl then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_fay_3,5,80,fay,ownership-caution,small brace through shoulders,short diagonal step to object side,object-person-object scan,keeps palm visible over seed bowl family,asks from two body-lengths,taps boundary mark before speaking,0.9
body_priv_fay_4,8,86,fay,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches seed bowl then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_fay_5,13,92,fay,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_fay_6,21,98,fay,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches seed bowl then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_fay_7,34,104,fay,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_fay_8,55,110,fay,consolidated-self-respect,upright but not performative,measured return to chosen route,direct look followed by task focus,sets seed bowl down where others can see but not take,allows approach after acknowledgement,"touches heart mark, tool mark, then path mark",0.9
body_priv_milo_1,1,116,milo,settled-attachment,upright and task-forward,even pace near trusted person,looks between person and shared work,offers safe side of thread ledger,shares workbench distance,rocks heel-to-toe near the ledger,0.91
body_priv_milo_2,3,122,milo,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches thread ledger then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_milo_3,5,128,milo,ownership-caution,small brace through shoulders,short diagonal step to object side,object-person-object scan,keeps palm visible over thread ledger family,asks from two body-lengths,taps boundary mark before speaking,0.9
body_priv_milo_4,8,134,milo,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches thread ledger then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_milo_5,13,140,milo,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_milo_6,21,146,milo,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches thread ledger then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_milo_7,34,152,milo,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_milo_8,55,158,milo,consolidated-self-respect,upright but not performative,measured return to chosen route,direct look followed by task focus,sets thread ledger down where others can see but not take,allows approach after acknowledgement,"touches heart mark, tool mark, then path mark",0.9
body_priv_sera_1,1,164,sera,settled-attachment,upright and task-forward,even pace near trusted person,looks between person and shared work,offers safe side of listening shell,shares workbench distance,keeps one shoulder to the wall,0.91
body_priv_sera_2,3,170,sera,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches listening shell then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_sera_3,5,176,sera,ownership-caution,small brace through shoulders,short diagonal step to object side,object-person-object scan,keeps palm visible over listening shell family,asks from two body-lengths,taps boundary mark before speaking,0.9
body_priv_sera_4,8,182,sera,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches listening shell then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_sera_5,13,188,sera,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_sera_6,21,194,sera,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches listening shell then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_sera_7,34,200,sera,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_sera_8,55,206,sera,consolidated-self-respect,upright but not performative,measured return to chosen route,direct look followed by task focus,sets listening shell down where others can see but not take,allows approach after acknowledgement,"touches heart mark, tool mark, then path mark",0.9
body_priv_niko_1,1,212,niko,settled-attachment,upright and task-forward,even pace near trusted person,looks between person and shared work,offers safe side of left glove,shares workbench distance,touches object with two-finger caution,0.91
body_priv_niko_2,3,218,niko,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches left glove then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_niko_3,5,224,niko,ownership-caution,small brace through shoulders,short diagonal step to object side,object-person-object scan,keeps palm visible over left glove family,asks from two body-lengths,taps boundary mark before speaking,0.9
body_priv_niko_4,8,230,niko,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches left glove then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_niko_5,13,236,niko,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_niko_6,21,242,niko,repairing-boundary,torso angled open but object-side hand remains close,slow return to work rhythm,"checks actor once, then returns to task",touches left glove then releases it,allows one tile closer than after wound,"one breath, one nod, one resumed motion",0.92
body_priv_niko_7,34,248,niko,relationship-distance,one shoulder toward exit,low-speed drift along wall,brief look then soft avoidance,"hands low, no threat display",keeps edge of group,counts three floor marks before answer,0.88
body_priv_niko_8,55,254,niko,consolidated-self-respect,upright but not performative,measured return to chosen route,direct look followed by task focus,sets left glove down where others can see but not take,allows approach after acknowledgement,"touches heart mark, tool mark, then path mark",0.9
