tick_id,day,settlement_id,resident_id,avatar_action,dialogue_intent,consent_prompt,consent_state,resident_line,avatar_followup,refusal_respected,no_forced_action,private_workspace_sealed,hook_bound_to_state,visible_dialogue_hook
0,1,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
2,1,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
4,1,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
5,1,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
6,1,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
7,1,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
8,1,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
9,1,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
10,1,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
12,1,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
14,1,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
16,1,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
17,1,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
19,2,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
20,2,riverbend,Ari,approach,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
22,2,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
23,2,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
24,2,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
26,2,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
27,2,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
28,2,archive,Nia,step_back,sensory check-in,Ask Nia before acting with signal spool,ask-first,Nia: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
31,2,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
32,2,riverbend,Ari,approach,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
34,2,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
35,2,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
36,3,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,ask-first,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
39,3,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
40,3,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
41,3,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
43,3,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
44,3,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
48,3,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,ask-first,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
51,3,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
52,3,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
53,3,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
56,4,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,ask-first,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
57,4,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
58,4,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
60,4,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
61,4,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
