day,actor,kind,note,material,amount,material_delta,project_id,project_progress_before,project_progress_after,object_id,object_condition_before,object_condition_after,debt_id,debt_status,trade_fair,refused,labor_requested,labor_accepted,scarcity_blocked,ownership_preserved,consequence,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,Ari,gift,"Ari gives Fay dry resin dust for stove-shelf sealing, no repayment requested.",dry_resin,1,gift 1 dry_resin Ari->Fay,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,1.778,5,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
2,Fay,gift,Fay gifts a soft cloth wrap for Ari's brace gauge handle.,soft_cloth,1,gift 1 soft_cloth Fay->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,2.933,10,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
3,Milo,trade,Milo trades lamp oil for Ari's dry wood after both state terms.,lamp_oil,1,trade 1 lamp_oil for 1 dry_wood,,,,,,,,,True,False,False,,False,True,fair trade moved materials under stated terms,True,4.347,16,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
7,Avatar,borrow,Avatar borrows Fay's cloth with a due promise instead of treating it as free utility.,soft_cloth,1,borrow 0 soft_cloth from Fay; debt opened,,,,,,,avatar_owes_fay_cloth,open,True,False,False,,False,True,borrowed material created explicit debt,True,1.319,3,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
9,Fay,trade,Fay trades herb scent for lamp oil to warm the comfort kit.,herb_bundle,1,trade 1 herb_bundle for 0 lamp_oil,,,,,,,,,True,False,False,,False,True,fair trade moved materials under stated terms,True,3.409,12,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
10,Avatar,repay,Avatar returns a replacement cloth before Fay asks twice.,soft_cloth,1,repay 1 soft_cloth to Fay,,,,,,,avatar_owes_fay_cloth,settled,True,False,False,,False,True,debt repayment restored access,True,4.578,17,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
16,Milo,borrow,Milo borrows Ari's copper clip under an explicit no-map-damage term.,copper_clip,1,borrow 0 copper_clip from Ari; debt opened,,,,,,,milo_owes_ari_clip,open,True,False,False,,False,True,borrowed material created explicit debt,True,3.871,14,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
18,Avatar,trade,Ari refuses an underpriced labor-credit trade for dry resin.,dry_resin,1,refused unfair trade; no material moved,,,,,,,,,False,True,False,,False,True,unfair exchange blocked by refusal,True,5.984,23,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
21,Milo,partial_repay,"Milo offers lamp oil as partial repayment; Ari accepts it as partial, not settled.",lamp_oil,1,partial repay 0 lamp_oil; original copper_clip debt remains open,,,,,,,milo_owes_ari_clip,partial,True,False,False,,False,True,partial repayment helped but did not erase original debt,True,3.397,12,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
22,Fay,gift,Fay gifts a cloth sleeve so Milo does not over-grip the map edge.,soft_cloth,1,gift 1 soft_cloth Fay->Milo,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,2.472,8,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
27,Avatar,gift,Avatar gifts a copper clip without demanding labor in return.,copper_clip,1,gift 1 copper_clip Avatar->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,8.302,33,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
34,Fay,gift,Fay gifts herbs for Ari's rest corner after the brace is finished.,herb_bundle,1,gift 1 herb_bundle Fay->Ari,,,,,,,,,True,False,False,,False,True,gift increased care reputation without creating debt,True,8.527,34,"Deterministic agent-owned project economy substrate only: not real labor, not real property, not real consent, not subjective consciousness, and not moral patienthood."
