replay_id,day,tick,event_type,entity_ref,serialized_payload,replay_order,deterministic_hash,export_ready
replay_001,1,31,world,world_free_1_ka60,day=1;agent=ka60;intent=trade;rows=1,1,h167933,True
replay_002,1,32,utterance,free_1_ka60,Can we trade fairly at the market before the ritual?,2,h256471,True
replay_003,1,33,memory,mem_free_1_ka60,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,3,h799188,True
replay_004,1,30,schedule,sched_free_1_ka60,day 1 trade response with direct append,4,h208100,True
replay_005,1,36,world,world_free_1_mu61,day=1;agent=mu61;intent=apology;rows=2,5,h183454,True
replay_006,1,37,utterance,free_1_mu61,Sorry I crowded the stair; I will ask first next time.,6,h265212,True
replay_007,1,38,memory,mem_free_1_mu61,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,7,h847654,True
replay_008,1,35,schedule,sched_free_1_mu61,day 1 apology response with direct append,8,h223409,True
replay_009,1,41,world,world_free_1_lo62,day=1;agent=lo62;intent=boundary;rows=3,9,h189691,True
replay_010,1,42,utterance,free_1_lo62,May I observe from the edge and not join the ritual?,10,h252750,True
replay_011,1,43,memory,mem_free_1_lo62,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,11,h837923,True
replay_012,1,40,schedule,sched_free_1_lo62,day 1 boundary response with direct append,12,h230304,True
replay_013,1,46,world,world_free_1_sa63,day=1;agent=sa63;intent=goal;rows=4,13,h162403,True
replay_014,1,47,utterance,free_1_sa63,What is your goal today if the rain gets worse?,14,h222360,True
replay_015,1,48,memory,mem_free_1_sa63,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,15,h725611,True
replay_016,1,45,schedule,sched_free_1_sa63,day 1 goal response with direct append,16,h201555,True
replay_017,1,51,world,world_free_1_ni64,day=1;agent=ni64;intent=boundary;rows=5,17,h189703,True
replay_018,1,52,utterance,free_1_ni64,That thing maybe matters but I am not sure.,18,h193174,True
replay_019,1,53,memory,mem_free_1_ni64,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,19,h728571,True
replay_020,1,50,schedule,sched_free_1_ni64,day 1 boundary response with direct append,20,h230258,True
replay_021,2,56,world,world_free_2_ka60,day=2;agent=ka60;intent=apology;rows=6,21,h182392,True
replay_022,2,57,utterance,free_2_ka60,Sorry I crowded the stair; I will ask first next time.,22,h264791,True
