proposal_id,resident_proposer,problem_addressed,materials_needed,likely_helpers,resident_willingness,known_objections,risk,maintenance_cost,related_memories,related_practice_nodes,possible_failure_modes,current_support_level,avatar_can_force
VBP-001,Fay,maintenance for smoke-bound/quiet-doubt safety limit practice,reed_fiber+wet_wood,Milo;Sera,0.36,fear of failed ancestor,failed ancestor,2,36217-PDT-03,36217-EPG-001,materials run short; resident refuses; weather interrupts,0.0,False
VBP-002,Tovan,maintenance for smoke-bound/quiet-doubt schedule conflict practice,reed_fiber+dry_resin,Nia;Ari,0.62,fear of failed ancestor,failed ancestor,2,36217-PDT-05,36217-EPG-002,materials run short; resident refuses; weather interrupts,0.0,False
VBP-003,Sera,maintenance for missing-repeat/quiet-doubt safety limit practice,reed_fiber+wet_wood,Tovan;Nia,0.36,fear of failed ancestor,failed ancestor,2,36231-PDT-03,36231-EPG-003,materials run short; resident refuses; weather interrupts,0.0,False
VBP-004,Milo,maintenance for missing-repeat/quiet-doubt schedule conflict practice,reed_fiber+dry_resin,Sera;Tovan,0.62,fear of failed ancestor,failed ancestor,2,36231-PDT-05,36231-EPG-004,materials run short; resident refuses; weather interrupts,0.0,False
VBP-005,Sera,maintenance for grain pull/water-hush safety limit practice,reed_fiber+wet_wood,Tovan;Nia,0.62,fear of failed ancestor,failed ancestor,2,36247-PDT-03,36247-EPG-005,materials run short; resident refuses; weather interrupts,0.0,False
VBP-006,Ari,maintenance for grain pull/water-hush schedule conflict practice,reed_fiber+dry_resin,Fay;Milo,0.62,fear of failed ancestor,failed ancestor,2,36247-PDT-05,36247-EPG-006,materials run short; resident refuses; weather interrupts,0.0,False
VBP-007,Fay,maintenance for quiet sting/quiet-doubt safety limit practice,reed_fiber+wet_wood,Milo;Sera,0.36,fear of failed ancestor,failed ancestor,2,36263-PDT-03,36263-EPG-007,materials run short; resident refuses; weather interrupts,0.0,False
VBP-008,Milo,maintenance for quiet sting/quiet-doubt schedule conflict practice,reed_fiber+dry_resin,Sera;Tovan,0.62,fear of failed ancestor,failed ancestor,2,36263-PDT-05,36263-EPG-008,materials run short; resident refuses; weather interrupts,0.0,False
VBP-009,Sera,maintenance for edge-shame/quiet-doubt safety limit practice,reed_fiber+wet_wood,Tovan;Nia,0.36,fear of failed ancestor,failed ancestor,2,36281-PDT-03,36281-EPG-009,materials run short; resident refuses; weather interrupts,0.0,False
VBP-010,Ari,maintenance for edge-shame/quiet-doubt schedule conflict practice,reed_fiber+dry_resin,Fay;Milo,0.36,fear of failed ancestor,failed ancestor,2,36281-PDT-05,36281-EPG-010,materials run short; resident refuses; weather interrupts,0.0,False
VBP-011,Nia,maintenance for safe-gap/half-sign safety limit practice,reed_fiber+wet_wood,Ari;Fay,0.36,fear of failed ancestor,failed ancestor,2,36307-PDT-03,36307-EPG-011,materials run short; resident refuses; weather interrupts,0.0,False
VBP-012,Tovan,maintenance for safe-gap/half-sign schedule conflict practice,reed_fiber+dry_resin,Nia;Ari,0.62,fear of failed ancestor,failed ancestor,2,36307-PDT-05,36307-EPG-012,materials run short; resident refuses; weather interrupts,0.0,False
VBP-013,Nia,maintenance for fiber-rise/edge-shame safety limit practice,reed_fiber+wet_wood,Ari;Fay,0.36,fear of failed ancestor,failed ancestor,2,36319-PDT-03,36319-EPG-013,materials run short; resident refuses; weather interrupts,0.0,False
VBP-014,Milo,maintenance for fiber-rise/edge-shame schedule conflict practice,reed_fiber+dry_resin,Sera;Tovan,0.62,fear of failed ancestor,failed ancestor,2,36319-PDT-05,36319-EPG-014,materials run short; resident refuses; weather interrupts,0.0,False
VBP-015,Sera,maintenance for smoke-bound/tool-anger safety limit practice,reed_fiber+wet_wood,Tovan;Nia,0.36,fear of failed ancestor,failed ancestor,2,36343-PDT-03,36343-EPG-015,materials run short; resident refuses; weather interrupts,0.0,False
VBP-016,Tovan,maintenance for smoke-bound/tool-anger schedule conflict practice,reed_fiber+dry_resin,Nia;Ari,0.62,fear of failed ancestor,failed ancestor,2,36343-PDT-05,36343-EPG-016,materials run short; resident refuses; weather interrupts,0.0,False
