tick_id,day,settlement_id,resident_id,task_id,task_type,priority,need_pressure,queue_before,dependencies_met,selected_action,task_started,task_completed,queue_after,blocked_reason,visible_queue_marker
0,1,riverbend,Lio,task:riverbend:Lio:1:0,craft_project,4,0.568,3,False,wait_dependency,False,False,4,missing first project check,True
1,1,roofward,Fay,task:roofward:Fay:1:1,dialect_teach,5,0.658,4,True,dispatch_task,True,True,2,none,True
2,1,archive,Toma,task:archive:Toma:1:2,rest_window,2,0.478,2,True,rest_defer,False,False,2,rest chosen before queue dispatch,True
3,1,signal,Milo,task:signal:Milo:1:3,relationship_check,3,0.568,3,True,dispatch_task,True,True,1,none,True
4,1,orchard,Mara,task:orchard:Mara:1:4,craft_project,4,0.658,4,True,dispatch_task,True,True,2,none,True
5,1,repair_ring,Juno,task:repair_ring:Juno:1:5,dialect_teach,5,0.478,2,True,dispatch_task,True,True,0,none,True
6,1,riverbend,Lio,task:riverbend:Lio:1:6,relationship_check,5,0.84255,6,True,dispatch_task,True,False,5,none,True
7,1,roofward,Fay,task:roofward:Fay:1:7,craft_project,1,0.748,5,True,dispatch_task,True,True,3,none,True
8,1,archive,Toma,task:archive:Toma:1:8,dialect_teach,3,0.568,3,True,dispatch_task,True,True,1,none,True
9,1,signal,Milo,task:signal:Milo:1:9,rest_window,4,0.568,3,True,rest_defer,False,False,3,rest chosen before queue dispatch,True
10,1,orchard,Mara,task:orchard:Mara:1:10,relationship_check,5,0.7578,5,True,dispatch_task,True,True,3,none,True
11,1,repair_ring,Juno,task:repair_ring:Juno:1:11,craft_project,1,0.388,1,True,dispatch_task,True,True,0,none,True
12,1,riverbend,Lio,task:riverbend:Lio:1:12,rest_window,1,0.93255,7,True,rest_defer,False,False,7,rest chosen before queue dispatch,True
13,1,roofward,Fay,task:roofward:Fay:1:13,relationship_check,2,0.838,6,True,dispatch_task,True,True,4,none,True
14,1,archive,Toma,task:archive:Toma:1:14,craft_project,4,0.4801,2,True,dispatch_task,True,True,0,none,True
15,1,signal,Milo,task:signal:Milo:1:15,dialect_teach,5,0.748,5,True,dispatch_task,True,True,3,none,True
16,2,orchard,Ivo,task:orchard:Ivo:2:0,resource_fetch,5,0.478,2,True,dispatch_task,True,True,0,none,True
