tick_id,day,settlement_id,resident_id,public_summary,memory_delta,continuity_before,continuity_after,history_hash_before,history_hash_after,private_workspace_sealed,no_private_memory_dump,no_llm_call,memory_safe
0,1,glass_harbor,Nia,Nia heard 'I ask net owner' and answered 'lamp stays bright',phrase repair remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
1,1,cinder_garden,Pax,Pax heard 'I offer cool stone' and answered 'cool hand means wait',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
2,1,lichen_bridge,Rin,Rin heard 'I do not step on rope' and answered 'bell has keeper',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
3,1,orchid_engine,Eli,Eli heard 'I need translation' and answered 'say it with palms',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
4,1,moss_ward,Ari,Ari heard 'I wait' and answered 'warm cup first',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
5,1,glass_harbor,Oren,Oren heard 'I ask net owner' and answered 'lamp stays bright',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
6,1,cinder_garden,Vale,Vale heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
7,1,lichen_bridge,Sol,Sol heard 'I do not step on rope' and answered 'bell has keeper',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
8,1,orchid_engine,Bea,Bea heard 'I need translation' and answered 'say it with palms',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
9,1,moss_ward,Fay,Fay heard 'I wait' and answered 'warm cup first',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
10,1,glass_harbor,Puck,Puck heard 'I ask net owner' and answered 'lamp stays bright',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
11,1,cinder_garden,Wren,Wren heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
12,1,lichen_bridge,Kio,Kio heard 'I do not step on rope' and answered 'bell has keeper',phrase repair remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
13,1,orchid_engine,Cai,Cai heard 'I need translation' and answered 'say it with palms',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
14,1,moss_ward,Milo,Milo heard 'I wait' and answered 'warm cup first',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
15,1,glass_harbor,Sera,Sera heard 'I ask net owner' and answered 'lamp stays bright',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
16,1,cinder_garden,Juno,Juno heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
17,1,lichen_bridge,Luma,Luma heard 'I do not step on rope' and answered 'bell has keeper',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
18,2,moss_ward,Ari,Ari heard 'I offer trade' and answered 'blanket path clear',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
19,2,glass_harbor,Oren,Oren heard 'I do not dim lamp' and answered 'fog catcher closed',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
20,2,cinder_garden,Vale,Vale heard 'I need translation' and answered 'repeat without hurry',bounded turn remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
21,2,lichen_bridge,Sol,Sol heard 'I touch rope post' and answered 'signal hush first',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
22,2,orchid_engine,Bea,Bea heard 'I ask valve custom' and answered 'orchid lamp rests',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
23,2,moss_ward,Fay,Fay heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
24,2,glass_harbor,Puck,Puck heard 'I do not dim lamp' and answered 'fog catcher closed',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
25,2,cinder_garden,Wren,Wren heard 'I need translation' and answered 'repeat without hurry',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
