tick_id,day,agent,region_id,routine_before,routine_after,trigger,routine_changed,later_visible,rollback_option
0,1,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
1,1,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
2,1,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
3,1,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
4,1,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
5,1,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
6,1,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
7,1,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
8,1,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
9,1,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
10,1,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
11,1,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
12,1,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
13,1,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
14,1,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
15,1,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
16,2,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
17,2,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
18,2,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
19,2,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
20,2,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
21,2,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
22,2,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
23,2,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
24,2,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
25,2,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
26,2,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
27,2,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
28,2,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
29,2,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
30,2,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
31,2,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
32,3,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
33,3,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
34,3,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
35,3,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
36,3,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
37,3,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
38,3,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
39,3,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
40,3,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
41,3,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
42,3,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
43,3,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
44,3,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
45,3,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
46,3,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
47,3,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
48,4,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
49,4,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
50,4,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
51,4,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
52,4,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
53,4,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
54,4,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
55,4,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
56,4,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
57,4,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
58,4,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
59,4,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
60,4,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
61,4,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
62,4,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
63,4,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
64,5,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
65,5,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
66,5,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
67,5,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
68,5,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
