consolidation_id,day,agent_id,raw_episode_count,compressed_story,retained_wound,retained_repair,discarded_noise,compression_score,continuity_score
story_ari_1,13,ari,7,I am still Ari: I keep the west route safe. I can remember harm and still leave repair open.,Mara moved_owned_object,returned_object_and_apologized,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_ari_2,34,ari,11,I am still Ari: I keep the west route safe. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_ari_3,55,ari,15,I am still Ari: I keep the west route safe. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_fay_1,13,fay,7,I am still Fay: The seed bowl is my promise. I can remember harm and still leave repair open.,Mara moved_owned_object,returned_object_and_apologized,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_fay_2,34,fay,11,I am still Fay: The seed bowl is my promise. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_fay_3,55,fay,15,I am still Fay: The seed bowl is my promise. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_milo_1,13,milo,7,I am still Milo: I keep the count fair. I can remember harm and still leave repair open.,Rook moved_owned_object,returned_object_and_apologized,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_milo_2,34,milo,11,I am still Milo: I keep the count fair. I can remember harm and still leave repair open.,Rook ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_milo_3,55,milo,15,I am still Milo: I keep the count fair. I can remember harm and still leave repair open.,Rook ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_sera_1,13,sera,7,I am still Sera: I say what I know and no more. I can remember harm and still leave repair open.,Mara moved_owned_object,returned_object_and_apologized,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_sera_2,34,sera,11,I am still Sera: I say what I know and no more. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_sera_3,55,sera,15,I am still Sera: I say what I know and no more. I can remember harm and still leave repair open.,Mara ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_niko_1,13,niko,7,I am still Niko: I learn by touching slowly. I can remember harm and still leave repair open.,Rook moved_owned_object,returned_object_and_apologized,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_niko_2,34,niko,11,I am still Niko: I learn by touching slowly. I can remember harm and still leave repair open.,Rook ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
story_niko_3,55,niko,15,I am still Niko: I learn by touching slowly. I can remember harm and still leave repair open.,Rook ignored_refusal,accepted_no_and_offered_route,"loose shutter, crowd murmur, unrelated wet rope",0.9,0.92
