packet_id,tick,place,visual,sound,smell,temperature_c,wetness,pain_risk,comfort_affordance,vibration_hz,body_state_delta
sense_1,1,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.25956,0.182,0.14368,warm alcove or step-back space available,2.2737,energy=0.915; warmth=0.699; wetness=0.182
sense_2,2,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.25108,0.184,0.14416,warm alcove or step-back space available,2.5844,energy=0.890; warmth=0.699; wetness=0.184
sense_3,3,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.24256,0.186,0.14464,warm alcove or step-back space available,2.8951,energy=0.865; warmth=0.698; wetness=0.186
sense_4,4,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.22916,0.19,0.2056,warm alcove or step-back space available,3.2065,energy=0.840; warmth=0.697; wetness=0.190
sense_5,5,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.22536,0.19,0.2056,warm alcove or step-back space available,3.5165,energy=0.830; warmth=0.696; wetness=0.190
sense_6,6,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.21188,0.194,0.20656,warm alcove or step-back space available,3.8279,energy=0.805; warmth=0.695; wetness=0.194
sense_7,7,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.19832,0.198,0.20752,warm alcove or step-back space available,4.1393,energy=0.780; warmth=0.695; wetness=0.198
sense_8,8,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.18468,0.202,0.20848,warm alcove or step-back space available,4.4507,energy=0.755; warmth=0.694; wetness=0.202
sense_9,9,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.1758,0.204,0.20896,warm alcove or step-back space available,1.9714,energy=0.730; warmth=0.693; wetness=0.204
sense_10,10,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.16688,0.206,0.20944,warm alcove or step-back space available,2.2821,energy=0.705; warmth=0.692; wetness=0.206
sense_11,11,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.15792,0.208,0.20992,warm alcove or step-back space available,2.5928,energy=0.695; warmth=0.691; wetness=0.208
sense_12,12,outer threshold,"outer threshold geometry, household marks, agent posture, wet/dry ground contrast","wheel pulse, market syllables, footstep echo, soft ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",16.14892,0.21,0.2104,warm alcove or step-back space available,2.9035,energy=0.670; warmth=0.691; wetness=0.210
