agent_id,year,generation_index,household_id,name,inherited_role,personal_preference,private_workspace_seed,body_sensitivity,relationship_memory_inherited,proto_language_native_token,playable_prompt
agent_0_westkeepers,0,0,westkeepers,Ka00,route keeper,prefers dry arches,"I am Ka00; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",kase0,"Approach Ka00 at year 0: ask about route keeper, trade, ritual, or boundary."
agent_0_mossgarden,0,0,mossgarden,Mu01,rest keeper,prefers warm shared meals,"I am Mu01; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",muse0,"Approach Mu01 at year 0: ask about rest keeper, trade, ritual, or boundary."
agent_0_ledgerkin,0,0,ledgerkin,Lo02,market counter,prefers fair turns,"I am Lo02; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",lose0,"Approach Lo02 at year 0: ask about market counter, trade, ritual, or boundary."
agent_0_redstair,0,0,redstair,Sa03,witness keeper,prefers quiet truthful speech,"I am Sa03; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",sase0,"Approach Sa03 at year 0: ask about witness keeper, trade, ritual, or boundary."
agent_0_wheelwright,0,0,wheelwright,Ni04,waterwheel keeper,prefers careful invention,"I am Ni04; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nise0,"Approach Ni04 at year 0: ask about waterwheel keeper, trade, ritual, or boundary."
agent_55_westkeepers,55,1,westkeepers,Ka10,route keeper,prefers dry arches,"I am Ka10; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",kave1,"Approach Ka10 at year 55: ask about route keeper, trade, ritual, or boundary."
agent_55_mossgarden,55,1,mossgarden,Mu11,rest keeper,prefers warm shared meals,"I am Mu11; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",muve1,"Approach Mu11 at year 55: ask about rest keeper, trade, ritual, or boundary."
agent_55_ledgerkin,55,1,ledgerkin,Lo12,market counter,prefers fair turns,"I am Lo12; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",love1,"Approach Lo12 at year 55: ask about market counter, trade, ritual, or boundary."
agent_55_redstair,55,1,redstair,Sa13,witness keeper,prefers quiet truthful speech,"I am Sa13; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",save1,"Approach Sa13 at year 55: ask about witness keeper, trade, ritual, or boundary."
agent_55_wheelwright,55,1,wheelwright,Ni14,waterwheel keeper,prefers careful invention,"I am Ni14; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nive1,"Approach Ni14 at year 55: ask about waterwheel keeper, trade, ritual, or boundary."
agent_377_westkeepers,377,2,westkeepers,Ka20,route keeper,prefers dry arches,"I am Ka20; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",katr2,"Approach Ka20 at year 377: ask about route keeper, trade, ritual, or boundary."
agent_377_mossgarden,377,2,mossgarden,Mu21,rest keeper,prefers warm shared meals,"I am Mu21; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",mutr2,"Approach Mu21 at year 377: ask about rest keeper, trade, ritual, or boundary."
agent_377_ledgerkin,377,2,ledgerkin,Lo22,market counter,prefers fair turns,"I am Lo22; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",lotr2,"Approach Lo22 at year 377: ask about market counter, trade, ritual, or boundary."
agent_377_redstair,377,2,redstair,Sa23,witness keeper,prefers quiet truthful speech,"I am Sa23; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",satr2,"Approach Sa23 at year 377: ask about witness keeper, trade, ritual, or boundary."
agent_377_wheelwright,377,2,wheelwright,Ni24,waterwheel keeper,prefers careful invention,"I am Ni24; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nitr2,"Approach Ni24 at year 377: ask about waterwheel keeper, trade, ritual, or boundary."
agent_987_westkeepers,987,3,westkeepers,Ka30,route keeper,prefers dry arches,"I am Ka30; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",kasq3,"Approach Ka30 at year 987: ask about route keeper, trade, ritual, or boundary."
agent_987_mossgarden,987,3,mossgarden,Mu31,rest keeper,prefers warm shared meals,"I am Mu31; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",musq3,"Approach Mu31 at year 987: ask about rest keeper, trade, ritual, or boundary."
agent_987_ledgerkin,987,3,ledgerkin,Lo32,market counter,prefers fair turns,"I am Lo32; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",losq3,"Approach Lo32 at year 987: ask about market counter, trade, ritual, or boundary."
agent_987_redstair,987,3,redstair,Sa33,witness keeper,prefers quiet truthful speech,"I am Sa33; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",sasq3,"Approach Sa33 at year 987: ask about witness keeper, trade, ritual, or boundary."
agent_987_wheelwright,987,3,wheelwright,Ni34,waterwheel keeper,prefers careful invention,"I am Ni34; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nisq3,"Approach Ni34 at year 987: ask about waterwheel keeper, trade, ritual, or boundary."
agent_1597_westkeepers,1597,4,westkeepers,Ka40,route keeper,prefers dry arches,"I am Ka40; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",kape4,"Approach Ka40 at year 1597: ask about route keeper, trade, ritual, or boundary."
agent_1597_mossgarden,1597,4,mossgarden,Mu41,rest keeper,prefers warm shared meals,"I am Mu41; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",mupe4,"Approach Mu41 at year 1597: ask about rest keeper, trade, ritual, or boundary."
agent_1597_ledgerkin,1597,4,ledgerkin,Lo42,market counter,prefers fair turns,"I am Lo42; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",lope4,"Approach Lo42 at year 1597: ask about market counter, trade, ritual, or boundary."
agent_1597_redstair,1597,4,redstair,Sa43,witness keeper,prefers quiet truthful speech,"I am Sa43; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",sape4,"Approach Sa43 at year 1597: ask about witness keeper, trade, ritual, or boundary."
agent_1597_wheelwright,1597,4,wheelwright,Ni44,waterwheel keeper,prefers careful invention,"I am Ni44; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nipe4,"Approach Ni44 at year 1597: ask about waterwheel keeper, trade, ritual, or boundary."
agent_2584_westkeepers,2584,5,westkeepers,Ka50,route keeper,prefers dry arches,"I am Ka50; I remember the westkeepers oath and choose my next task from body cost, market need, and ritual duty.",wet stone fatigue,"founder ego boundary, repair memory, and household trust ledger",kahe5,"Approach Ka50 at year 2584: ask about route keeper, trade, ritual, or boundary."
agent_2584_mossgarden,2584,5,mossgarden,Mu51,rest keeper,prefers warm shared meals,"I am Mu51; I remember the mossgarden oath and choose my next task from body cost, market need, and ritual duty.",cold hunger stress,"founder ego boundary, repair memory, and household trust ledger",muhe5,"Approach Mu51 at year 2584: ask about rest keeper, trade, ritual, or boundary."
agent_2584_ledgerkin,2584,5,ledgerkin,Lo52,market counter,prefers fair turns,"I am Lo52; I remember the ledgerkin oath and choose my next task from body cost, market need, and ritual duty.",crowd noise overload,"founder ego boundary, repair memory, and household trust ledger",lohe5,"Approach Lo52 at year 2584: ask about market counter, trade, ritual, or boundary."
agent_2584_redstair,2584,5,redstair,Sa53,witness keeper,prefers quiet truthful speech,"I am Sa53; I remember the redstair oath and choose my next task from body cost, market need, and ritual duty.",public blame heat,"founder ego boundary, repair memory, and household trust ledger",sahe5,"Approach Sa53 at year 2584: ask about witness keeper, trade, ritual, or boundary."
agent_2584_wheelwright,2584,5,wheelwright,Ni54,waterwheel keeper,prefers careful invention,"I am Ni54; I remember the wheelwright oath and choose my next task from body cost, market need, and ritual duty.",wet glove pain risk,"founder ego boundary, repair memory, and household trust ledger",nihe5,"Approach Ni54 at year 2584: ask about waterwheel keeper, trade, ritual, or boundary."
