ritual_id,year,household_id,ritual_name,trigger_condition,body_pattern,sound_pattern,scent_or_material,social_function,continuity_score
ritual_0_westkeepers,0,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase seed,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.82
ritual_0_mossgarden,0,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase seed,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.82
ritual_0_ledgerkin,0,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase seed,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.82
ritual_0_redstair,0,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase seed,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.82
ritual_0_wheelwright,0,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase seed,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.82
ritual_1_westkeepers,1,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase vesica,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.838
ritual_1_mossgarden,1,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase vesica,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.838
ritual_1_ledgerkin,1,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase vesica,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.838
ritual_1_redstair,1,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase vesica,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.838
ritual_1_wheelwright,1,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase vesica,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.838
