tick_id,day,settlement_id,resident_id,sensory_cue,cue_source_room,memory_key,relationship_before_reload,relationship_after_reload,remembered_object,recalled_after_reload,behavior_change_after_reload,sensory_memory_visible,private_memory_not_dumped
0,1,orchard,Mara,cart creak / apple soil / arrival court,arrival court,ssrm.v43.sensory_memory.orchard.Mara,0.581,0.581,market token,False,cue stored for later reload,True,True
2,1,riverbend,Lio,river slap / wet cedar / dry ridge,dry ridge,ssrm.v43.sensory_memory.riverbend.Lio,0.64,0.64,dry shawl,False,cue stored for later reload,True,True
4,1,archive,Toma,page flutter / ink linen / spool room,spool room,ssrm.v43.sensory_memory.archive.Toma,0.58,0.58,ink ribbon,False,cue stored for later reload,True,True
6,1,orchard,Mara,cart creak / apple soil / seed lane,seed lane,ssrm.v43.sensory_memory.orchard.Mara,0.591,0.591,apple wrap,False,cue stored for later reload,True,True
7,1,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.586,0.586,insulated tongs,False,cue stored for later reload,True,True
8,1,riverbend,Lio,river slap / wet cedar / kit alcove,kit alcove,ssrm.v43.sensory_memory.riverbend.Lio,0.642,0.642,ridge lantern,False,cue stored for later reload,True,True
10,1,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.586,0.586,clean cloth,False,cue stored for later reload,True,True
11,1,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.6,0.6,mast rope,False,cue stored for later reload,True,True
12,1,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.592,0.592,market token,False,cue stored for later reload,True,True
14,1,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.66,0.66,dry shawl,False,cue stored for later reload,True,True
16,1,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.596,0.596,ink ribbon,False,cue stored for later reload,True,True
