turn_id,year,tick,agent_id,interaction_kind,visible_behavior,spoken_proto_line,private_workspace_boundary,player_choice_stub,simulated_response,traceable_state_change
turn_agent_0_westkeepers,0,150,agent_0_westkeepers,ask_word,Ka00 shifts posture around west arch; body sensitivity: wet stone fatigue,kase0: ask_word through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka00 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_0_mossgarden,0,157,agent_0_mossgarden,observe_market,Mu01 shifts posture around west arch; body sensitivity: cold hunger stress,muse0: observe_market through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu01 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_0_ledgerkin,0,164,agent_0_ledgerkin,attend_ritual,Lo02 shifts posture around west arch; body sensitivity: crowd noise overload,lose0: attend_ritual through market counter,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Lo02 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_0_redstair,0,171,agent_0_redstair,offer_repair,Sa03 shifts posture around west arch; body sensitivity: public blame heat,sase0: offer_repair through witness keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Sa03 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_0_wheelwright,0,178,agent_0_wheelwright,respect_refusal,Ni04 shifts posture around west arch; body sensitivity: wet glove pain risk,nise0: respect_refusal through waterwheel keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ni04 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_55_westkeepers,55,220,agent_55_westkeepers,observe_market,Ka10 shifts posture around moss kitchen; body sensitivity: wet stone fatigue,kave1: observe_market through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka10 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_55_mossgarden,55,227,agent_55_mossgarden,attend_ritual,Mu11 shifts posture around moss kitchen; body sensitivity: cold hunger stress,muve1: attend_ritual through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu11 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_55_ledgerkin,55,234,agent_55_ledgerkin,offer_repair,Lo12 shifts posture around moss kitchen; body sensitivity: crowd noise overload,love1: offer_repair through market counter,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Lo12 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_55_redstair,55,241,agent_55_redstair,respect_refusal,Sa13 shifts posture around moss kitchen; body sensitivity: public blame heat,save1: respect_refusal through witness keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Sa13 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_55_wheelwright,55,248,agent_55_wheelwright,ask_word,Ni14 shifts posture around moss kitchen; body sensitivity: wet glove pain risk,nive1: ask_word through waterwheel keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ni14 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_377_westkeepers,377,290,agent_377_westkeepers,attend_ritual,Ka20 shifts posture around north market; body sensitivity: wet stone fatigue,katr2: attend_ritual through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka20 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_377_mossgarden,377,297,agent_377_mossgarden,offer_repair,Mu21 shifts posture around north market; body sensitivity: cold hunger stress,mutr2: offer_repair through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu21 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_377_ledgerkin,377,304,agent_377_ledgerkin,respect_refusal,Lo22 shifts posture around north market; body sensitivity: crowd noise overload,lotr2: respect_refusal through market counter,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Lo22 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_377_redstair,377,311,agent_377_redstair,ask_word,Sa23 shifts posture around north market; body sensitivity: public blame heat,satr2: ask_word through witness keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Sa23 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_377_wheelwright,377,318,agent_377_wheelwright,observe_market,Ni24 shifts posture around north market; body sensitivity: wet glove pain risk,nitr2: observe_market through waterwheel keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ni24 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_987_westkeepers,987,360,agent_987_westkeepers,offer_repair,Ka30 shifts posture around red stair; body sensitivity: wet stone fatigue,kasq3: offer_repair through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka30 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_987_mossgarden,987,367,agent_987_mossgarden,respect_refusal,Mu31 shifts posture around red stair; body sensitivity: cold hunger stress,musq3: respect_refusal through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu31 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_987_ledgerkin,987,374,agent_987_ledgerkin,ask_word,Lo32 shifts posture around red stair; body sensitivity: crowd noise overload,losq3: ask_word through market counter,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Lo32 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_987_redstair,987,381,agent_987_redstair,observe_market,Sa33 shifts posture around red stair; body sensitivity: public blame heat,sasq3: observe_market through witness keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Sa33 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_987_wheelwright,987,388,agent_987_wheelwright,attend_ritual,Ni34 shifts posture around red stair; body sensitivity: wet glove pain risk,nisq3: attend_ritual through waterwheel keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ni34 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_1597_westkeepers,1597,430,agent_1597_westkeepers,respect_refusal,Ka40 shifts posture around wheel loft; body sensitivity: wet stone fatigue,kape4: respect_refusal through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka40 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_1597_mossgarden,1597,437,agent_1597_mossgarden,ask_word,Mu41 shifts posture around wheel loft; body sensitivity: cold hunger stress,mupe4: ask_word through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu41 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_1597_ledgerkin,1597,444,agent_1597_ledgerkin,observe_market,Lo42 shifts posture around wheel loft; body sensitivity: crowd noise overload,lope4: observe_market through market counter,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Lo42 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_1597_redstair,1597,451,agent_1597_redstair,attend_ritual,Sa43 shifts posture around wheel loft; body sensitivity: public blame heat,sape4: attend_ritual through witness keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Sa43 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_1597_wheelwright,1597,458,agent_1597_wheelwright,offer_repair,Ni44 shifts posture around wheel loft; body sensitivity: wet glove pain risk,nipe4: offer_repair through waterwheel keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ni44 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_2584_westkeepers,2584,500,agent_2584_westkeepers,ask_word,Ka50 shifts posture around storm canopy; body sensitivity: wet stone fatigue,kahe5: ask_word through route keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Ka50 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
turn_agent_2584_mossgarden,2584,507,agent_2584_mossgarden,observe_market,Mu51 shifts posture around storm canopy; body sensitivity: cold hunger stress,muhe5: observe_market through rest keeper,private_workspace_summarized_not_dumped,"observer can inspect trace, not enter as avatar",Mu51 continues household life without player intervention.,"updates schedule, relationship memory, body-cost note, or gate ceremony state"
