channel,passed,score,evidence,failure_if_false
report_333_continue_action_gate_passed,True,1.0,Report 333 verdict=pass weakest=1.0,Report 334 would not be grounded in a passing continue-action gate
continue_return_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain continue-return handoff machinery",regeneration would remove the handoff continue-return path
before_continue_visible_fresh_resume,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",handoff was not visibly fresh and resume-bound before continue
continue_control_visible_before_continue,True,1.0,"Continue from prepared resume handoff
Download prepared outside-review handoff JSON",reviewer cannot continue from the prepared handoff with visible controls
continue_reaches_reviewer_shell,True,1.0,url=http://127.0.0.1:8796/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63 reviewer=True runPass=True return=True,continue action does not reach the maintained shell reviewer path
return_to_launcher_visible_after_continue,True,1.0,http://127.0.0.1:8796/visualizations/ssrm_3d_browser_world_primary_demo/index.html#outsideReviewChecklist,continued reviewer session cannot return to the launcher handoff area
visible_handoff_timestamp_unchanged_after_return,True,1.0,before=Last handoff: resume launch from http://127.0.0.1:8796/visualizations/ssrm_3d_browser_world_primary_demo/index.html toward ../ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html at 2026-06-18T09:32:28.428Z. after=Last handoff: resume launch from http://127.0.0.1:8796/visualizations/ssrm_3d_browser_world_primary_demo/index.html toward ../ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html at 2026-06-18T09:32:28.428Z.,continue-return created a new visible handoff timestamp
prepared_payload_recorded_at_unchanged_after_return,True,1.0,before=2026-06-18T09:32:28.428Z after=2026-06-18T09:32:28.428Z,prepared payload recordedAt changed across continue-return
preview_current_recorded_at_unchanged_after_return,True,1.0,before=2026-06-18T09:32:28.428Z after=2026-06-18T09:32:28.428Z,freshness preview current handoff timestamp changed across continue-return
handoff_remains_fresh_after_refresh,True,1.0,"{'boundary': 'outside-review-handoff-freshness-public-local-only', 'currentHandoffKind': 'resume', 'currentHandoffRecordedAt': '2026-06-18T09:32:28.428Z', 'currentManualRecordCount': 1, 'currentReplayRows': 16, 'fresh': True, 'mismatches': [], 'payloadHandoffKind': 'resume', 'payloadHandoffRecordedAt': '2026-06-18T09:32:28.428Z', 'payloadManualRecordCount': 1, 'payloadReplayRows': 16}",prepared handoff goes stale after returning and refreshing evidence
visible_status_remains_fresh_resume_after_refresh,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",visible handoff status does not remain fresh resume after refresh
controls_still_available_after_refresh,True,1.0,"Continue from prepared resume handoff
Download prepared outside-review handoff JSON",continue/download controls disappear after return refresh
shell_evidence_refresh_visible_after_continue,True,1.0,Shell evidence: replay 16 rows / reviewer pass seen / receipt 9/9 / observations 0 / export ready.,shell evidence refresh is not visible and all-pass after continue-return
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status text and visible preview payload, not localStorage-only fields",Report 334 proof relies on privileged localStorage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],continue-return browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local continue-return freshness bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local restart workflow and review freshness hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local restart workflow freshness
