tick_id,day,tick,avatar_region,active_route,animation_panel,merge_control_panel,snapshot_exchange_panel,delayed_reaction_panel,persistence_panel,sensory_panel,save_restore_key,replay_key,boundary_note
0,1,0,roofward,riverbend_roofward,Ari->Fay: listening tilt / small nod,none: branch river ford v1,shared:riverbend_roofward:v1: exchange pending,Ari: listening tilt delay 0,reload pose ok=True branch ok=True,flower-node: listening tilt,ssrm_v33_embodied_state_seed_20260886,v33-625054,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
1,1,1,archive_quarter,roofward_archive,Nia->Fay: careful pointing / step back,none: branch glass stair v1,shared:roofward_archive:v1: idle,Nia: careful pointing delay 0,reload pose ok=True branch ok=True,animation-pulse: careful pointing,ssrm_v33_embodied_state_seed_20260886,v33-637256,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
2,1,2,signal_ridge,archive_signal,Nia->Milo: careful pointing / small nod,merge stone route: branch stone kiosk path v2,shared:archive_signal:v2: snapshot shared,Nia: careful pointing delay 0,reload pose ok=True branch ok=True,animation-pulse: careful pointing,ssrm_v33_embodied_state_seed_20260886,v33-675802,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
3,1,3,orchard_fen,signal_orchard,Ivo->Milo: listening tilt / small nod,none: branch dusk road v1,shared:signal_orchard:v2: snapshot shared,Ivo: listening tilt delay 0,reload pose ok=True branch ok=True,ambient-rate: listening tilt,ssrm_v33_embodied_state_seed_20260886,v33-545390,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
4,1,4,central_exchange,orchard_riverbend,Ivo->Ari: careful pointing / tight grip,none: branch fen track v1,shared:orchard_riverbend:v1: idle,Ivo: careful pointing delay 0,reload pose ok=True branch ok=True,flower-node: careful pointing,ssrm_v33_embodied_state_seed_20260886,v33-617646,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
5,1,5,repair_hall,central_repair_ring,Pax->Juno: listening tilt / small nod,none: branch inner repair yard v1,shared:central_repair_ring:v2: snapshot shared,Pax: listening tilt delay 0,reload pose ok=True branch ok=True,ambient-rate: listening tilt,ssrm_v33_embodied_state_seed_20260886,v33-740888,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
6,1,6,riverbend,riverbend_roofward,Ari->Fay: listening tilt / small nod,merge detour with bridge watch: branch orchard ridge detour v2,shared:riverbend_roofward:v2: snapshot shared,Ari: listening tilt delay 0,reload pose ok=True branch ok=True,animation-pulse: listening tilt,ssrm_v33_embodied_state_seed_20260886,v33-774541,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
7,1,7,roofward,roofward_archive,Nia->Fay: careful pointing / step back,merge shade route: branch cool archive lane v2,shared:roofward_archive:v2: snapshot shared,Nia: careful pointing delay 0,reload pose ok=True branch ok=True,animation-pulse: careful pointing,ssrm_v33_embodied_state_seed_20260886,v33-719757,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
8,1,8,archive_quarter,archive_signal,Nia->Milo: careful pointing / small nod,rollback to paper lane: branch paper lane v3,shared:archive_signal:v3: snapshot shared,Nia: guarded crossed arms delay 0,reload pose ok=True branch ok=True,flower-node: guarded crossed arms,ssrm_v33_embodied_state_seed_20260886,v33-638038,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
9,1,9,signal_ridge,signal_orchard,Ivo->Milo: careful pointing / small nod,merge lantern loop: branch river lantern loop v2,shared:signal_orchard:v3: snapshot shared,Ivo: careful pointing delay 0,reload pose ok=True branch ok=True,animation-pulse: careful pointing,ssrm_v33_embodied_state_seed_20260886,v33-709906,"deterministic browser-local embodied-dialogue-animation/merge-control/snapshot-exchange/delayed-reaction scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
