tick,day,loop_id,agent,original_term,revised_term,concession_added,boundary_preserved,concession_not_erasure,revision_specificity
0,1,v18-loop-001,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,0,0,0.8
1,1,v18-loop-001,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,0.86
2,1,v18-loop-001,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.78
3,1,v18-loop-001,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.94
4,1,v18-loop-001,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,0,0.78
5,1,v18-loop-001,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.9
6,1,v18-loop-002,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,0.86
7,1,v18-loop-002,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,1.0
8,1,v18-loop-002,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.78
9,1,v18-loop-002,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.9
10,1,v18-loop-002,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.94
11,1,v18-loop-002,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,1.0
12,2,v18-loop-003,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,0.74
13,2,v18-loop-003,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,0.78
14,2,v18-loop-003,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.94
15,2,v18-loop-003,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.98
16,2,v18-loop-003,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.94
17,2,v18-loop-003,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,0.94
18,2,v18-loop-004,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,0.9
19,2,v18-loop-004,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,1.0
20,2,v18-loop-004,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.78
21,2,v18-loop-004,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,0,0.98
22,2,v18-loop-004,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.9
23,2,v18-loop-004,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,0.94
24,3,v18-loop-005,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.74
25,3,v18-loop-005,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,0.78
26,3,v18-loop-005,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.94
27,3,v18-loop-005,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.98
28,3,v18-loop-005,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.94
29,3,v18-loop-005,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.94
30,3,v18-loop-006,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.9
31,3,v18-loop-006,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,0,0,0.92
32,3,v18-loop-006,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.82
33,3,v18-loop-006,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.86
34,3,v18-loop-006,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.98
35,3,v18-loop-006,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,1.0
36,4,v18-loop-007,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.86
37,4,v18-loop-007,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.86
38,4,v18-loop-007,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,0,0.94
39,4,v18-loop-007,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
40,4,v18-loop-007,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.82
41,4,v18-loop-007,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,0.86
42,4,v18-loop-008,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,1.0
43,4,v18-loop-008,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.94
44,4,v18-loop-008,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.94
45,4,v18-loop-008,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
46,4,v18-loop-008,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.9
47,4,v18-loop-008,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,0.94
48,5,v18-loop-009,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.86
49,5,v18-loop-009,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.9
50,5,v18-loop-009,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.9
51,5,v18-loop-009,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.98
52,5,v18-loop-009,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,0.82
53,5,v18-loop-009,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.86
