tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_animation
0,1,riverbend_roofward,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,listening tilt,flower-node,True
1,1,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
2,1,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
3,1,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,listening tilt,ambient-rate,True
4,1,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,flower-node,True
5,1,central_repair_ring,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,listening tilt,ambient-rate,True
6,1,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,animation-pulse,True
7,1,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
8,1,archive_signal,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,flower-node,True
9,1,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
10,1,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,animation-pulse,True
11,1,central_repair_ring,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,listening tilt,animation-pulse,True
12,2,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
13,2,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,animation-pulse,True
14,2,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
15,2,signal_orchard,idle route poses,map room hum,oil paper,cool shared-session air,dry floor,guarded crossed arms,animation-pulse,True
