seed,continuity_id,session_id,branch_id,hint_id,household,resident,prior_status,return_status,maintenance_cost,avatar_commanded,source_practice_id,ordinary_action_affected,expression_marker
36217,36217-HRC-01-01,36217-HRS-01,36217-AHB-001-1,36217-AHD-001,house_1,Milo,taboo,warning_persisted,0,False,36217-EPG-001,schedule_mentions_branch,keeps distance and points to the old place
36217,36217-HRC-01-02,36217-HRS-01,36217-AHB-001-2,36217-AHD-001,house_2,Sera,rejected,forgotten,0,False,36217-EPG-001,schedule_mentions_branch,looks unsure and asks another resident
36217,36217-HRC-01-03,36217-HRS-01,36217-AHB-001-3,36217-AHD-001,house_3,Tovan,ritualized,remembered_ritual,1,False,36217-EPG-001,schedule_mentions_branch,moves slowly while carrying upkeep material
36217,36217-HRC-01-04,36217-HRS-01,36217-AHB-002-1,36217-AHD-002,house_1,Sera,disputed,still_disputed,0,False,36217-EPG-002,schedule_mentions_branch,hesitates before repeating the branch story
36217,36217-HRC-01-05,36217-HRS-01,36217-AHB-002-2,36217-AHD-002,house_2,Tovan,useful_practice,persisted,0,False,36217-EPG-002,schedule_mentions_branch,faces the avatar and names the remembered branch
36217,36217-HRC-01-06,36217-HRS-01,36217-AHB-002-3,36217-AHD-002,house_3,Nia,taboo,warning_persisted,0,False,36217-EPG-002,schedule_mentions_branch,keeps distance and points to the old place
36217,36217-HRC-02-01,36217-HRS-02,36217-AHB-001-1,36217-AHD-001,house_1,Milo,taboo,ritual_warning,1,False,36217-EPG-001,help_prioritizes_upkeep,keeps distance and points to the old place
36217,36217-HRC-02-02,36217-HRS-02,36217-AHB-001-2,36217-AHD-001,house_2,Sera,rejected,forgotten,0,False,36217-EPG-001,help_prioritizes_upkeep,looks unsure and asks another resident
36217,36217-HRC-02-03,36217-HRS-02,36217-AHB-001-3,36217-AHD-001,house_3,Tovan,ritualized,remembered_ritual,1,False,36217-EPG-001,help_prioritizes_upkeep,moves slowly while carrying upkeep material
36217,36217-HRC-02-04,36217-HRS-02,36217-AHB-002-1,36217-AHD-002,house_1,Sera,disputed,forgotten,0,False,36217-EPG-002,help_prioritizes_upkeep,looks unsure and asks another resident
36217,36217-HRC-02-05,36217-HRS-02,36217-AHB-002-2,36217-AHD-002,house_2,Tovan,useful_practice,needs_maintenance,2,False,36217-EPG-002,help_prioritizes_upkeep,moves slowly while carrying upkeep material
36217,36217-HRC-02-06,36217-HRS-02,36217-AHB-002-3,36217-AHD-002,house_3,Nia,taboo,ritual_warning,1,False,36217-EPG-002,help_prioritizes_upkeep,keeps distance and points to the old place
36217,36217-HRC-03-01,36217-HRS-03,36217-AHB-001-1,36217-AHD-001,house_1,Milo,taboo,warning_persisted,0,False,36217-EPG-001,help_prioritizes_upkeep,keeps distance and points to the old place
36217,36217-HRC-03-02,36217-HRS-03,36217-AHB-001-2,36217-AHD-001,house_2,Sera,rejected,forgotten,0,False,36217-EPG-001,help_prioritizes_upkeep,looks unsure and asks another resident
36217,36217-HRC-03-03,36217-HRS-03,36217-AHB-001-3,36217-AHD-001,house_3,Tovan,ritualized,remembered_ritual,1,False,36217-EPG-001,help_prioritizes_upkeep,moves slowly while carrying upkeep material
36217,36217-HRC-03-04,36217-HRS-03,36217-AHB-002-1,36217-AHD-002,house_1,Sera,disputed,forgotten,0,False,36217-EPG-002,help_prioritizes_upkeep,looks unsure and asks another resident
36217,36217-HRC-03-05,36217-HRS-03,36217-AHB-002-2,36217-AHD-002,house_2,Tovan,useful_practice,needs_maintenance,2,False,36217-EPG-002,help_prioritizes_upkeep,moves slowly while carrying upkeep material
36217,36217-HRC-03-06,36217-HRS-03,36217-AHB-002-3,36217-AHD-002,house_3,Nia,taboo,warning_persisted,0,False,36217-EPG-002,help_prioritizes_upkeep,keeps distance and points to the old place
36231,36231-HRC-01-01,36231-HRS-01,36231-AHB-003-1,36231-AHD-003,house_3,Ari,disputed,still_disputed,0,False,36231-EPG-003,schedule_mentions_branch,hesitates before repeating the branch story
36231,36231-HRC-01-02,36231-HRS-01,36231-AHB-003-2,36231-AHD-003,house_0,Fay,useful_practice,persisted,0,False,36231-EPG-003,schedule_mentions_branch,faces the avatar and names the remembered branch
36231,36231-HRC-01-03,36231-HRS-01,36231-AHB-003-3,36231-AHD-003,house_1,Milo,taboo,warning_persisted,0,False,36231-EPG-003,schedule_mentions_branch,keeps distance and points to the old place
36231,36231-HRC-01-04,36231-HRS-01,36231-AHB-004-1,36231-AHD-004,house_3,Fay,rejected,forgotten,0,False,36231-EPG-004,schedule_mentions_branch,looks unsure and asks another resident
36231,36231-HRC-01-05,36231-HRS-01,36231-AHB-004-2,36231-AHD-004,house_0,Milo,ritualized,remembered_ritual,1,False,36231-EPG-004,schedule_mentions_branch,moves slowly while carrying upkeep material
36231,36231-HRC-01-06,36231-HRS-01,36231-AHB-004-3,36231-AHD-004,house_1,Sera,disputed,still_disputed,0,False,36231-EPG-004,schedule_mentions_branch,hesitates before repeating the branch story
36231,36231-HRC-02-01,36231-HRS-02,36231-AHB-003-1,36231-AHD-003,house_3,Ari,disputed,forgotten,0,False,36231-EPG-003,help_prioritizes_upkeep,looks unsure and asks another resident
36231,36231-HRC-02-02,36231-HRS-02,36231-AHB-003-2,36231-AHD-003,house_0,Fay,useful_practice,persisted,0,False,36231-EPG-003,help_prioritizes_upkeep,faces the avatar and names the remembered branch
36231,36231-HRC-02-03,36231-HRS-02,36231-AHB-003-3,36231-AHD-003,house_1,Milo,taboo,ritual_warning,1,False,36231-EPG-003,help_prioritizes_upkeep,keeps distance and points to the old place
36231,36231-HRC-02-04,36231-HRS-02,36231-AHB-004-1,36231-AHD-004,house_3,Fay,rejected,forgotten,0,False,36231-EPG-004,help_prioritizes_upkeep,looks unsure and asks another resident
