snapshot_id,event_id,agent_id,tick,self_confidence,felt_respect,autonomy_pressure,social_safety,attachment_security,status_concern,boundary_pressure,trust_in_avatar,recent_ego_wound,recent_ego_repair,self_story_tail,action_tendency
snap_ev_ari_1,ev_ari_1,ari,10,0.5716,0.639,0.4895,0.556,0.5512,0.5516,0.4558,0.4808,Gabriel caused command_pressure around wet crossing,,I keep the west route safe. | I work better when people ask before touching my tools. | Gabriel crossed my boundary around wet crossing.,"hesitate, name boundary, keep distance"
snap_ev_ari_2,ev_ari_2,ari,17,0.5188,0.5265,0.6105,0.524,0.544,0.6016,0.5878,0.3796,Gabriel caused ownership_violation around bronze spanner,,I work better when people ask before touching my tools. | Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around bronze spanner.,"hesitate, name boundary, keep distance"
snap_ev_ari_3,ev_ari_3,ari,24,0.4804,0.4005,0.693,0.5,0.5224,0.7376,0.6778,0.3796,Mara caused public_misread around west-route repair keeper,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around bronze spanner. | Mara crossed my boundary around west-route repair keeper.,refuse and offer safer alternative
snap_ev_ari_4,ev_ari_4,ari,31,0.4792,0.4005,0.693,0.488,0.5224,0.7376,0.6778,0.3796,,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around bronze spanner. | Mara crossed my boundary around west-route repair keeper.,refuse and offer safer alternative
snap_ev_ari_5,ev_ari_5,ari,38,0.5388,0.5355,0.545,0.569,0.5714,0.6776,0.48892,0.4996,,Gabriel repaired respect through repair_respect,Gabriel crossed my boundary around bronze spanner. | Mara crossed my boundary around west-route repair keeper. | Gabriel respected my choice around bronze spanner.,"hesitate, name boundary, keep distance"
snap_ev_ari_6,ev_ari_6,ari,45,0.5848,0.612,0.4662,0.6249,0.638,0.6436,0.391488,0.4996,,Fay repaired respect through trusted_help,Mara crossed my boundary around west-route repair keeper. | Gabriel respected my choice around bronze spanner. | Fay respected my choice around west-route repair keeper project.,continue project with mild social opening
snap_ev_fay_1,ev_fay_1,fay,52,0.5016,0.729,0.4735,0.556,0.5996,0.4872,0.4337,0.4808,Gabriel caused command_pressure around wet crossing,,I notice who is cold before they ask. | The seed bowl is not just a bowl; it is my promise. | Gabriel crossed my boundary around wet crossing.,continue project with mild social opening
snap_ev_fay_2,ev_fay_2,fay,59,0.4488,0.6165,0.5945,0.524,0.5924,0.5372,0.5657,0.3796,Gabriel caused ownership_violation around seed bowl,,The seed bowl is not just a bowl; it is my promise. | Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around seed bowl.,"hesitate, name boundary, keep distance"
snap_ev_fay_3,ev_fay_3,fay,66,0.4104,0.4905,0.677,0.5,0.5708,0.6732,0.6557,0.3796,Mara caused public_misread around shelter garden caretaker,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around seed bowl. | Mara crossed my boundary around shelter garden caretaker.,refuse and offer safer alternative
snap_ev_fay_4,ev_fay_4,fay,73,0.4092,0.4905,0.677,0.488,0.5708,0.6732,0.6557,0.3796,,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around seed bowl. | Mara crossed my boundary around shelter garden caretaker.,refuse and offer safer alternative
