seed,choice_id,actor,reason,recovery_path,permanent_penalty
36217,36217-SHC-01,Milo,unrecovered stochastic harm is still pending,acknowledge help and share credit,False
36217,36217-SHC-06,Ari,unrecovered stochastic harm is still pending,patch leak and rest near dry place,False
36231,36231-SHC-01,Tovan,unrecovered stochastic harm is still pending,protect quiet rest and resume slowly,False
36231,36231-SHC-06,Tovan,unrecovered stochastic harm is still pending,re-tie tool lashing and return focus,False
36247,36247-SHC-01,Milo,unrecovered stochastic harm is still pending,mediate disagreement and name source boundary,False
36247,36247-SHC-06,Ari,unrecovered stochastic harm is still pending,re-tie tool lashing and return focus,False
36263,36263-SHC-01,Fay,unrecovered stochastic harm is still pending,patch leak and rest near dry place,False
36263,36263-SHC-06,Ari,unrecovered stochastic harm is still pending,patch leak and rest near dry place,False
36281,36281-SHC-01,Fay,unrecovered stochastic harm is still pending,re-tie tool lashing and return focus,False
36281,36281-SHC-06,Tovan,unrecovered stochastic harm is still pending,re-tie tool lashing and return focus,False
36307,36307-SHC-01,Fay,unrecovered stochastic harm is still pending,patch leak and rest near dry place,False
36307,36307-SHC-06,Tovan,unrecovered stochastic harm is still pending,re-tie tool lashing and return focus,False
