criterion,passed,score,evidence
report_351_remembered_obligation_gate_passing,True,1.0,Report 351 verdict=pass weakest=1.0
source_exposes_public_obligation_ledger,True,1.0,app.js exposes public obligationLedger and selection state
visible_obligation_selector_and_actions_wired,True,1.0,"index.html exposes selector, resolve, defer, and visible list"
bounded_resolve_defer_source_actions,True,1.0,app.js has bounded resolve/defer actions with resident history events
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v112_primary_shell_selectable_obligation_resolution_browser_smoke.json
browser_smoke_used_maintained_shell,True,1.0,http://127.0.0.1:8772/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html
browser_smoke_created_pending_obligation_before_action,True,1.0,pending status=open stage=advanced list=ari-awning-followup: open / advanced / Ari obligation open: Ari wants the avatar to check the awning repair after returning / follow-up advanced / 2 return(s)
obligation_did_not_auto_resolve_on_return,True,1.0,ari-awning-followup: open / advanced / Ari obligation open: Ari wants the avatar to check the awning repair after returning / follow-up advanced / 2 return(s)
defer_action_changes_selected_obligation,True,1.0,deferred status=deferred list=ari-awning-followup: deferred / deferred / Ari obligation deferred by avatar: Ari wants the avatar to check the awning repair after returning / due after replay row 6
resolve_action_changes_selected_obligation,True,1.0,resolved status=resolved list=ari-awning-followup: resolved / resolved / Ari obligation resolved by avatar help: Ari wants the avatar to check the awning repair after returning
resident_memory_records_resolution,True,1.0,memory=resolved obligation: Ari wants the avatar to check the awning repair after returning trust=0.616->0.634
replay_and_history_record_bounded_actions,True,1.0,* Ari now: debt 0 / trust 0.634 / progress 0.430 / memory: resolved obligation: Ari wants the avatar to check the awning repair after returning |   t3 promise follow-up: advanced remembered obligation after 2 return(s) -> debt 1 trust 0.622 progress 0.402 |   t4 obligation deferred: bounded action deferred selected follow-up -> debt 1 trust 0.616 progress 0.406 |   t5 obligation resolved: bounded action resolved selected follow-up -> debt 0 trust 0.634 progress 0.43
browser_console_clean,True,1.0,console error count=0
experiment_index_includes_report_352,True,1.0,scripts/run_experiments.py includes Report 352 module
claim_boundary_preserved,True,1.0,"Browser-local selectable obligation resolution behavior over the maintained v61 shell only; no LLM call, subjective consciousness, real consent, autonomous natural language, moral patienthood, production persistence, hosted URL proof, complete 3D engine, finished gameplay, or metaphysical claim."
