epoch_index,lineage,language_branch,divergence_index,mutual_intelligibility,semantic_retention,ritual_continuity,boundary_clause_retention,lineage_story
1,Hearthline,hearthline-ori-01,0.136988,0.989665,1.0,0.809299,0.886751,Hearthline diverges through hearth ceramics while retaining lum meaning.
1,Routeline,routeline-nari-01,0.168988,0.959425,0.999582,0.788299,0.922551,Routeline diverges through stone bridge joints while retaining tek meaning.
1,Marketline,marketline-keth-01,0.200988,0.949185,0.986822,0.792299,0.871851,Marketline diverges through measure weights while retaining melo meaning.
1,Ledgerline,ledgerline-vonn-01,0.232988,0.929345,0.998062,0.784299,0.932351,Ledgerline diverges through seed ledgers while retaining nari meaning.
1,Orchardline,orchardline-melo-01,0.264988,0.925505,0.973302,0.796299,0.866051,Orchardline diverges through water terraces while retaining lum meaning.
1,Rainline,rainline-vonn-01,0.296988,0.904065,0.981542,0.786299,0.922651,Rainline diverges through weather bells while retaining sova meaning.
2,Hearthline,hearthline-sova-02,0.152452,0.98317,1.0,0.797037,0.885977,Hearthline diverges through hearth ceramics while retaining lum meaning.
2,Routeline,routeline-keth-02,0.184452,0.95293,0.996799,0.776037,0.921777,Routeline diverges through stone bridge joints while retaining tek meaning.
2,Marketline,marketline-vonn-02,0.216452,0.94269,0.984039,0.780037,0.871077,Marketline diverges through measure weights while retaining melo meaning.
2,Ledgerline,ledgerline-sova-02,0.248452,0.92285,0.995279,0.772037,0.931577,Ledgerline diverges through seed ledgers while retaining nari meaning.
2,Orchardline,orchardline-tek-02,0.280452,0.91901,0.970519,0.784037,0.865277,Orchardline diverges through water terraces while retaining lum meaning.
2,Rainline,rainline-nari-02,0.312452,0.89757,0.978759,0.774037,0.921877,Rainline diverges through weather bells while retaining sova meaning.
3,Hearthline,hearthline-lum-03,0.154026,0.982509,1.0,0.806998,0.885899,Hearthline diverges through hearth ceramics while retaining lum meaning.
3,Routeline,routeline-tek-03,0.186026,0.952269,0.996515,0.785998,0.921699,Routeline diverges through stone bridge joints while retaining tek meaning.
3,Marketline,marketline-melo-03,0.218026,0.942029,0.983755,0.789998,0.870999,Marketline diverges through measure weights while retaining melo meaning.
3,Ledgerline,ledgerline-nari-03,0.250026,0.922189,0.994995,0.781998,0.931499,Ledgerline diverges through seed ledgers while retaining nari meaning.
3,Orchardline,orchardline-lum-03,0.282026,0.918349,0.970235,0.793998,0.865199,Orchardline diverges through water terraces while retaining lum meaning.
3,Rainline,rainline-sova-03,0.314026,0.896909,0.978475,0.783998,0.921799,Rainline diverges through weather bells while retaining sova meaning.
4,Hearthline,hearthline-ori-04,0.161936,0.979187,1.0,0.806822,0.885503,Hearthline diverges through hearth ceramics while retaining lum meaning.
4,Routeline,routeline-nari-04,0.193936,0.948947,0.995092,0.785822,0.921303,Routeline diverges through stone bridge joints while retaining tek meaning.
4,Marketline,marketline-keth-04,0.225936,0.938707,0.982332,0.789822,0.870603,Marketline diverges through measure weights while retaining melo meaning.
4,Ledgerline,ledgerline-vonn-04,0.257936,0.918867,0.993572,0.781822,0.931103,Ledgerline diverges through seed ledgers while retaining nari meaning.
