tick_id,day,agent_id,talk_button_id,clicked_to_talk,reply_line,reply_type,reply_visible,references_body_state,references_memory,private_workspace_hidden,localstorage_reply_written
0,1,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,False,True,False,True,True
2,1,Nia,talk-Nia,True,Energy low but steady; comfort is 0.51 and safety is 0.62.,body_status,True,True,False,True,True
3,1,Milo,talk-Milo,True,Energy low but steady; comfort is 0.45 and safety is 0.62.,body_status,True,True,False,True,True
5,1,Juno,talk-Juno,True,Gabriel stepped back from the sparks.,memory_recall,True,False,True,True,True
7,1,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
9,1,Milo,talk-Milo,True,Energy low but steady; comfort is 0.47 and safety is 0.63.,body_status,True,True,False,True,True
10,1,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
12,2,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
14,2,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
15,2,Milo,talk-Milo,True,Energy low but steady; comfort is 0.48 and safety is 0.65.,body_status,True,True,False,True,True
17,2,Juno,talk-Juno,True,That distance helps. I can repair again.,recovery,True,True,False,True,True
19,2,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
21,2,Milo,talk-Milo,True,Energy low but steady; comfort is 0.50 and safety is 0.66.,body_status,True,True,False,True,True
22,2,Ivo,talk-Ivo,True,I can bring seeds if we keep them dry.,help_response,True,False,False,True,True
24,3,Ari,talk-Ari,True,Gabriel waited near the ridge.,memory_recall,True,False,True,True,True
26,3,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
27,3,Milo,talk-Milo,True,Energy low but steady; comfort is 0.51 and safety is 0.68.,body_status,True,True,False,True,True
29,3,Juno,talk-Juno,True,Energy low but steady; comfort is 0.53 and safety is 0.67.,body_status,True,True,False,True,True
31,3,Fay,talk-Fay,True,Gabriel slowed down after I hesitated.,memory_recall,False,False,True,True,True
