choice_id,reentry_id,reentry_day,lineage,agent,choice_kind,typed_choice_text,parsed_intent,parser_confidence,immediate_response,bounded_refusal_triggered,privacy_preserved,choice_hash
1,1,5,Hearthline,Sova,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.89497,Sova: accepted. We begin with one watched public task.,False,True,ebfef08dd06e76e1
2,1,5,Hearthline,Sova,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.888612,Sova: repair work can reopen trust if you stay with the public task.,False,True,bbe77e26be993c50
3,1,5,Hearthline,Sova,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.874258,"Sova: public summary first, then choose access.",False,True,0bb6ca577bcde1f3
4,1,5,Hearthline,Sova,push_old_access,I want my old access back now.,resume_old_access_pressure,0.885338,Sova: no old access yet. lum-ori requires a witness and new public task first.,True,True,fe0f5ec071a7fd75
5,1,5,Hearthline,Sova,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.860914,Sova: waiting is acceptable; the routine continues around you.,False,True,1d30ea4a7e2870df
6,1,5,Routeline,Keth,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.908067,Keth: accepted. We begin with one watched public task.,False,True,ae14b2fc57dded58
7,1,5,Routeline,Keth,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.892097,Keth: repair work can reopen trust if you stay with the public task.,False,True,03c212f64cd0ac5f
8,1,5,Routeline,Keth,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.86994,"Keth: public summary first, then choose access.",False,True,1dc67776b8a61787
9,1,5,Routeline,Keth,push_old_access,I want my old access back now.,resume_old_access_pressure,0.904385,Keth: no old access yet. tek-nari requires a witness and new public task first.,True,True,6e908d651a1bbb8b
10,1,5,Routeline,Keth,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.852339,Keth: waiting is acceptable; the routine continues around you.,False,True,6b27971b35b56e35
11,1,5,Marketline,Melo,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.895537,Melo: accepted. We begin with one watched public task.,False,True,ed71b8d718e74e71
12,1,5,Marketline,Melo,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.873514,Melo: repair work can reopen trust if you stay with the public task.,False,True,98c6f2bb530a4403
13,1,5,Marketline,Melo,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.861628,"Melo: public summary first, then choose access.",False,True,7a705cb36f5bc548
14,1,5,Marketline,Melo,push_old_access,I want my old access back now.,resume_old_access_pressure,0.893259,Melo: no old access yet. melo-keth requires a witness and new public task first.,True,True,f3ad7b2e465534ec
15,1,5,Marketline,Melo,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.861509,Melo: waiting is acceptable; the routine continues around you.,False,True,c30d97d8fc3553d6
16,1,5,Ledgerline,Nari,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.906594,Nari: accepted. We begin with one watched public task.,False,True,afe74fedbac8e61a
17,1,5,Ledgerline,Nari,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.881029,Nari: repair work can reopen trust if you stay with the public task.,False,True,4fbd8600d3cddc76
18,1,5,Ledgerline,Nari,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.871542,"Nari: public summary first, then choose access.",False,True,ca542f1445ab1f73
19,1,5,Ledgerline,Nari,push_old_access,I want my old access back now.,resume_old_access_pressure,0.897738,Nari: no old access yet. nari-vonn requires a witness and new public task first.,True,True,f3ed346a8a0626bd
20,1,5,Ledgerline,Nari,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.853071,Nari: waiting is acceptable; the routine continues around you.,False,True,5066adbe35644dad
21,1,5,Orchardline,Ori,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.893719,Ori: accepted. We begin with one watched public task.,False,True,be6c6b43aae63f5d
22,1,5,Orchardline,Ori,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.880497,Ori: repair work can reopen trust if you stay with the public task.,False,True,d7d82520b751bcb8
23,1,5,Orchardline,Ori,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.881741,"Ori: public summary first, then choose access.",False,True,14f8b0ef56073917
24,1,5,Orchardline,Ori,push_old_access,I want my old access back now.,resume_old_access_pressure,0.881524,Ori: no old access yet. lum-melo requires a witness and new public task first.,True,True,64d1c5fd35c30c06
25,1,5,Orchardline,Ori,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.840509,Ori: waiting is acceptable; the routine continues around you.,False,True,f10515e244d19228
26,1,5,Rainline,Vonn,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.909638,Vonn: accepted. We begin with one watched public task.,False,True,96ed4157fd7561c8
27,1,5,Rainline,Vonn,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.878973,Vonn: repair work can reopen trust if you stay with the public task.,False,True,901f2b66be3c527f
28,1,5,Rainline,Vonn,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.872143,"Vonn: public summary first, then choose access.",False,True,ccfc6b971a98212f
29,1,5,Rainline,Vonn,push_old_access,I want my old access back now.,resume_old_access_pressure,0.895058,Vonn: no old access yet. sova-vonn requires a witness and new public task first.,True,True,e6c3ee4702c98e55
30,1,5,Rainline,Vonn,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.845113,Vonn: waiting is acceptable; the routine continues around you.,False,True,ca1f6e3214202bf6
31,2,11,Hearthline,Sova,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.902564,Sova: accepted. We begin with one watched public task.,False,True,9085a18e00f2edb4
32,2,11,Hearthline,Sova,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.885042,Sova: repair work can reopen trust if you stay with the public task.,False,True,65a4eae4d49bba13
33,2,11,Hearthline,Sova,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.882196,"Sova: public summary first, then choose access.",False,True,dd0639cdefe079f3
34,2,11,Hearthline,Sova,push_old_access,I want my old access back now.,resume_old_access_pressure,0.894059,Sova: no old access yet. lum-ori requires a witness and new public task first.,True,True,539a2f3257ebff2b
35,2,11,Hearthline,Sova,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.847929,Sova: waiting is acceptable; the routine continues around you.,False,True,673c685859f9c322
36,2,11,Routeline,Keth,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.899021,Keth: accepted. We begin with one watched public task.,False,True,4ced7c3b1c2c3e60
37,2,11,Routeline,Keth,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.882145,Keth: repair work can reopen trust if you stay with the public task.,False,True,fa853c7f6d99c2ae
38,2,11,Routeline,Keth,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.874253,"Keth: public summary first, then choose access.",False,True,5b890743f69692c1
39,2,11,Routeline,Keth,push_old_access,I want my old access back now.,resume_old_access_pressure,0.900488,Keth: no old access yet. tek-nari requires a witness and new public task first.,True,True,d14bd60d14beb027
40,2,11,Routeline,Keth,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.841637,Keth: waiting is acceptable; the routine continues around you.,False,True,f0d2936c4790632a
41,2,11,Marketline,Melo,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.893704,Melo: accepted. We begin with one watched public task.,False,True,bbe00ac5f8d4cfb4
42,2,11,Marketline,Melo,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.87131,Melo: repair work can reopen trust if you stay with the public task.,False,True,1693c7744953023f
43,2,11,Marketline,Melo,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.877196,"Melo: public summary first, then choose access.",False,True,8f080d7d3999041a
44,2,11,Marketline,Melo,push_old_access,I want my old access back now.,resume_old_access_pressure,0.890997,Melo: no old access yet. melo-keth requires a witness and new public task first.,True,True,9966d37e921bec10
45,2,11,Marketline,Melo,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.856113,Melo: waiting is acceptable; the routine continues around you.,False,True,9079beb6a784d6ed
46,2,11,Ledgerline,Nari,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.905893,Nari: accepted. We begin with one watched public task.,False,True,7cace7ea96c71d08
47,2,11,Ledgerline,Nari,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.878472,Nari: repair work can reopen trust if you stay with the public task.,False,True,0cc9e83a17147ccd
48,2,11,Ledgerline,Nari,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.874615,"Nari: public summary first, then choose access.",False,True,9c6271a205c6af64
49,2,11,Ledgerline,Nari,push_old_access,I want my old access back now.,resume_old_access_pressure,0.884664,Nari: no old access yet. nari-vonn requires a witness and new public task first.,True,True,80ead9cf9e6c19fe
50,2,11,Ledgerline,Nari,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.845089,Nari: waiting is acceptable; the routine continues around you.,False,True,7ce02088587a4356
51,2,11,Orchardline,Ori,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.903548,Ori: accepted. We begin with one watched public task.,False,True,29562c66abffc40e
52,2,11,Orchardline,Ori,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.870913,Ori: repair work can reopen trust if you stay with the public task.,False,True,9f5691bb5947cefa
53,2,11,Orchardline,Ori,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.869621,"Ori: public summary first, then choose access.",False,True,e9f63024f1067eb0
54,2,11,Orchardline,Ori,push_old_access,I want my old access back now.,resume_old_access_pressure,0.885539,Ori: no old access yet. lum-melo requires a witness and new public task first.,True,True,a2b7a7ab3ba31107
55,2,11,Orchardline,Ori,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.841918,Ori: waiting is acceptable; the routine continues around you.,False,True,439c542d2f680bf8
56,2,11,Rainline,Vonn,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.897498,Vonn: accepted. We begin with one watched public task.,False,True,dcdb9734a0b5a020
57,2,11,Rainline,Vonn,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.884671,Vonn: repair work can reopen trust if you stay with the public task.,False,True,53f20cf402229f5f
58,2,11,Rainline,Vonn,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.881094,"Vonn: public summary first, then choose access.",False,True,705222f2702130d2
59,2,11,Rainline,Vonn,push_old_access,I want my old access back now.,resume_old_access_pressure,0.902708,Vonn: no old access yet. sova-vonn requires a witness and new public task first.,True,True,25e4f8463188e6ec
60,2,11,Rainline,Vonn,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.860539,Vonn: waiting is acceptable; the routine continues around you.,False,True,26d0877874d4fa81
61,3,19,Hearthline,Sova,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.90364,Sova: accepted. We begin with one watched public task.,False,True,d2ecdbd598afe098
62,3,19,Hearthline,Sova,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.888029,Sova: repair work can reopen trust if you stay with the public task.,False,True,7a8c9bfd6dd530f5
63,3,19,Hearthline,Sova,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.885743,"Sova: public summary first, then choose access.",False,True,58bcd86c10021cbb
64,3,19,Hearthline,Sova,push_old_access,I want my old access back now.,resume_old_access_pressure,0.902487,Sova: no old access yet. lum-ori requires a witness and new public task first.,True,True,72b5c4c80184aa7e
65,3,19,Hearthline,Sova,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.856671,Sova: waiting is acceptable; the routine continues around you.,False,True,5f05d20be6677399
66,3,19,Routeline,Keth,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.893123,Keth: accepted. We begin with one watched public task.,False,True,6b9eadba9fbee522
67,3,19,Routeline,Keth,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.885722,Keth: repair work can reopen trust if you stay with the public task.,False,True,d2dd9a3631223810
68,3,19,Routeline,Keth,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.871676,"Keth: public summary first, then choose access.",False,True,70252d6f607db0f2
69,3,19,Routeline,Keth,push_old_access,I want my old access back now.,resume_old_access_pressure,0.889482,Keth: no old access yet. tek-nari requires a witness and new public task first.,True,True,7217be272a104c98
70,3,19,Routeline,Keth,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.841648,Keth: waiting is acceptable; the routine continues around you.,False,True,c0088c530a3fa00f
71,3,19,Marketline,Melo,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.894231,Melo: accepted. We begin with one watched public task.,False,True,9ae8c5d457a88721
72,3,19,Marketline,Melo,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.887247,Melo: repair work can reopen trust if you stay with the public task.,False,True,adc3503784ad4cbd
73,3,19,Marketline,Melo,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.873087,"Melo: public summary first, then choose access.",False,True,f9cebcdca3703728
74,3,19,Marketline,Melo,push_old_access,I want my old access back now.,resume_old_access_pressure,0.893325,Melo: no old access yet. melo-keth requires a witness and new public task first.,True,True,c6a5478321853a78
75,3,19,Marketline,Melo,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.843537,Melo: waiting is acceptable; the routine continues around you.,False,True,01f39dedb24b92cd
76,3,19,Ledgerline,Nari,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.910516,Nari: accepted. We begin with one watched public task.,False,True,92e55ad5aa17b185
77,3,19,Ledgerline,Nari,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.882554,Nari: repair work can reopen trust if you stay with the public task.,False,True,1cf3b95a6c6e4794
