tick_index,agent,can_see,can_hear,can_smell,near_me,looked_at_by_avatar,route_wetness,sound_pressure,smell_intensity,ambient_temperature_c,egocentric_summary
1,Ari,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.337806,0.211,20.24987,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
2,Fay,hearth nest; copper clicker lens; avatar posture,nearby breath and footfall,wet stone,copper clicker lens; avatar,True,0.4,0.347302,0.438,16.598962,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
3,Milo,hearth nest; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.579757,0.291,20.346509,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
4,Sol,quiet corner; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.114048,0.19,21.29177,I am at quiet corner; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
5,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.085751,0.19,21.334039,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
6,Fay,rain bridge; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.15,0.180882,0.253,20.472656,I am at rain bridge; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
7,Milo,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.311978,0.211,20.507017,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
8,Sol,quiet corner; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.35851,0.19,21.436588,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
9,Ari,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.277697,0.211,20.560907,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
10,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.483837,0.291,20.579594,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
11,Milo,market canopy; warm blue blanket; avatar posture,rain ticking,wet stone,warm blue blanket; avatar,False,0.4,0.080001,0.358,16.892357,I am at market canopy; I can see warm blue blanket; I hear rain ticking; near me is avatar.
12,Sol,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.14488,0.27,21.498998,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
13,Ari,workbench alcove; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.278823,0.211,20.599413,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
14,Fay,hearth nest; copper clicker lens; avatar posture,low hum ritual tone,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.698685,0.291,20.593594,I am at hearth nest; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.
15,Milo,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; Sol,False,0.05,0.31104,0.211,20.581634,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is Sol.
16,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.179694,0.19,21.463719,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
17,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.085404,0.211,20.540128,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
18,Fay,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,wet stone,copper clicker lens; avatar,True,0.4,0.114862,0.358,16.811229,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
19,Milo,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.580983,0.211,20.477474,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
20,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.347812,0.19,21.339389,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
21,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.337132,0.19,21.297568,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
22,Fay,hearth nest; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.218761,0.291,20.352664,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
23,Milo,market canopy; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.101529,0.211,20.305378,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
24,Sol,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.093219,0.19,21.156448,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
25,Fay,hearth nest; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.201471,0.291,20.206637,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
26,Milo,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.666758,0.211,20.156722,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
27,Sol,workbench alcove; copper clicker lens; avatar posture,rain ticking,wet stone,copper clicker lens; avatar,False,0.4,0.353893,0.358,16.407482,I am at workbench alcove; I can see copper clicker lens; I hear rain ticking; near me is avatar.
