update_id,utterance_id,agent_id,day,old_goal,new_goal,update_reason,goal_delta,private_workspace_boundary
gu_u_1_ka60,u_1_ka60,ka60,1,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary; avatar request adds prepare_fair_exchange,parsed trade with confidence 0.93,0.05,do_not_dump_private_workspace
gu_u_1_mu61,u_1_mu61,mu61,1,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds accept_help_if_boundary_clear,parsed help with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_1_lo62,u_1_lo62,lo62,1,advance fair count market without violating household boundary,advance fair count market without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_1_sa63,u_1_sa63,sa63,1,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary; avatar request adds repair_relationship,parsed apology with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_1_ni64,u_1_ni64,ni64,1,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
gu_u_2_ka60,u_2_ka60,ka60,2,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary; avatar request adds accept_help_if_boundary_clear,parsed help with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_2_mu61,u_2_mu61,mu61,2,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_2_lo62,u_2_lo62,lo62,2,advance fair count market without violating household boundary,advance fair count market without violating household boundary; avatar request adds repair_relationship,parsed apology with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_2_sa63,u_2_sa63,sa63,2,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
gu_u_2_ni64,u_2_ni64,ni64,2,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary; avatar request adds explain_goal_publicly,parsed greet with confidence 0.76,0.05,do_not_dump_private_workspace
gu_u_3_ka60,u_3_ka60,ka60,3,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_3_mu61,u_3_mu61,mu61,3,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds repair_relationship,parsed apology with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_3_lo62,u_3_lo62,lo62,3,advance fair count market without violating household boundary,advance fair count market without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
gu_u_3_sa63,u_3_sa63,sa63,3,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary; avatar request adds explain_goal_publicly,parsed greet with confidence 0.76,0.05,do_not_dump_private_workspace
gu_u_3_ni64,u_3_ni64,ni64,3,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary; avatar request adds prepare_fair_exchange,parsed trade with confidence 0.93,0.05,do_not_dump_private_workspace
gu_u_5_ka60,u_5_ka60,ka60,5,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
