tick,day,resident,phrase_key,resident_reply_key,reply_text,schedule_reference,memory_reference,debt_reference,no_llm_call,no_autonomous_language_claim,private_workspace_hidden
0,1,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d001:s00,water carry,True,True,True
1,1,Nia,offer_help,accepts_bounded_help,Nia accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:repair_promise:d001:s01,repair promise,True,True,True
2,1,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:missed_greeting:d001:s02,missed greeting,True,True,True
3,1,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:care_favor:d001:s03,care favor,True,True,True
4,1,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:route_warning:d001:s04,route warning,True,True,True
5,1,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:tool_loan:d001:s05,tool loan,True,True,True
6,1,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:water_carry:d001:s06,water carry,True,True,True
7,1,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:repair_promise:d001:s07,repair promise,True,True,True
8,1,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:missed_greeting:d001:s08,missed greeting,True,True,True
9,1,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:care_favor:d001:s09,care favor,True,True,True
10,1,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:route_warning:d001:s10,route warning,True,True,True
11,1,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:tool_loan:d001:s11,tool loan,True,True,True
12,1,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:water_carry:d001:s12,water carry,True,True,True
13,1,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:repair_promise:d001:s13,repair promise,True,True,True
14,1,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:missed_greeting:d001:s14,missed greeting,True,True,True
15,1,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:care_favor:d001:s15,care favor,True,True,True
16,1,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:route_warning:d001:s16,route warning,True,True,True
17,1,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:tool_loan:d001:s17,tool loan,True,True,True
18,2,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:repair_promise:d002:s00,repair promise,True,True,True
19,2,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:missed_greeting:d002:s01,missed greeting,True,True,True
20,2,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:care_favor:d002:s02,care favor,True,True,True
21,2,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:route_warning:d002:s03,route warning,True,True,True
22,2,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:tool_loan:d002:s04,tool loan,True,True,True
23,2,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:water_carry:d002:s05,water carry,True,True,True
24,2,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:repair_promise:d002:s06,repair promise,True,True,True
25,2,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:missed_greeting:d002:s07,missed greeting,True,True,True
26,2,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:care_favor:d002:s08,care favor,True,True,True
27,2,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:route_warning:d002:s09,route warning,True,True,True
28,2,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:tool_loan:d002:s10,tool loan,True,True,True
29,2,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:water_carry:d002:s11,water carry,True,True,True
30,2,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:repair_promise:d002:s12,repair promise,True,True,True
31,2,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:missed_greeting:d002:s13,missed greeting,True,True,True
32,2,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:care_favor:d002:s14,care favor,True,True,True
33,2,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:route_warning:d002:s15,route warning,True,True,True
34,2,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:tool_loan:d002:s16,tool loan,True,True,True
35,2,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:water_carry:d002:s17,water carry,True,True,True
36,3,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:missed_greeting:d003:s00,missed greeting,True,True,True
37,3,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:care_favor:d003:s01,care favor,True,True,True
38,3,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:route_warning:d003:s02,route warning,True,True,True
39,3,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:tool_loan:d003:s03,tool loan,True,True,True
40,3,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:water_carry:d003:s04,water carry,True,True,True
41,3,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:repair_promise:d003:s05,repair promise,True,True,True
42,3,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:missed_greeting:d003:s06,missed greeting,True,True,True
43,3,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:care_favor:d003:s07,care favor,True,True,True
44,3,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:route_warning:d003:s08,route warning,True,True,True
45,3,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:tool_loan:d003:s09,tool loan,True,True,True
46,3,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:water_carry:d003:s10,water carry,True,True,True
47,3,Sera,ask_schedule,accepts_bounded_help,Sera accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:repair_promise:d003:s11,repair promise,True,True,True
48,3,Tovan,offer_help,explains_debt,Tovan explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:missed_greeting:d003:s12,missed greeting,True,True,True
49,3,Nia,apologize,declines_politely,Nia declines politely; phrase=apologize; no generated open chat.,map safe route,v60:nia:care_favor:d003:s13,care favor,True,True,True
50,3,Ari,ask_debt,names_current_task,Ari names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:route_warning:d003:s14,route warning,True,True,True
51,3,Fay,thank,asks_for_space,Fay asks for space; phrase=thank; no generated open chat.,recover focus,v60:fay:tool_loan:d003:s15,tool loan,True,True,True
52,3,Milo,request_space,thanks_briefly,Milo thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:milo:water_carry:d003:s16,water carry,True,True,True
53,3,Sera,greet,greets_cautiously,Sera greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:sera:repair_promise:d003:s17,repair promise,True,True,True
54,4,Tovan,offer_help,thanks_briefly,Tovan thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:care_favor:d004:s00,care favor,True,True,True
55,4,Nia,apologize,greets_cautiously,Nia greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:nia:route_warning:d004:s01,route warning,True,True,True
56,4,Ari,ask_debt,accepts_bounded_help,Ari accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:tool_loan:d004:s02,tool loan,True,True,True
57,4,Fay,thank,explains_debt,Fay explains debt; phrase=thank; no generated open chat.,recover focus,v60:fay:water_carry:d004:s03,water carry,True,True,True
58,4,Milo,request_space,declines_politely,Milo declines politely; phrase=request_space; no generated open chat.,repair awning,v60:milo:repair_promise:d004:s04,repair promise,True,True,True
59,4,Sera,greet,names_current_task,Sera names current task; phrase=greet; no generated open chat.,sort herbs,v60:sera:missed_greeting:d004:s05,missed greeting,True,True,True
60,4,Tovan,ask_schedule,asks_for_space,Tovan asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:care_favor:d004:s06,care favor,True,True,True
61,4,Nia,offer_help,thanks_briefly,Nia thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:route_warning:d004:s07,route warning,True,True,True
62,4,Ari,apologize,greets_cautiously,Ari greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:ari:tool_loan:d004:s08,tool loan,True,True,True
63,4,Fay,ask_debt,accepts_bounded_help,Fay accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:water_carry:d004:s09,water carry,True,True,True
64,4,Milo,thank,explains_debt,Milo explains debt; phrase=thank; no generated open chat.,recover focus,v60:milo:repair_promise:d004:s10,repair promise,True,True,True
65,4,Sera,request_space,declines_politely,Sera declines politely; phrase=request_space; no generated open chat.,repair awning,v60:sera:missed_greeting:d004:s11,missed greeting,True,True,True
66,4,Tovan,greet,names_current_task,Tovan names current task; phrase=greet; no generated open chat.,sort herbs,v60:tovan:care_favor:d004:s12,care favor,True,True,True
67,4,Nia,ask_schedule,asks_for_space,Nia asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:route_warning:d004:s13,route warning,True,True,True
68,4,Ari,offer_help,thanks_briefly,Ari thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:tool_loan:d004:s14,tool loan,True,True,True
69,4,Fay,apologize,greets_cautiously,Fay greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:fay:water_carry:d004:s15,water carry,True,True,True
70,4,Milo,ask_debt,accepts_bounded_help,Milo accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:repair_promise:d004:s16,repair promise,True,True,True
71,4,Sera,thank,explains_debt,Sera explains debt; phrase=thank; no generated open chat.,recover focus,v60:sera:missed_greeting:d004:s17,missed greeting,True,True,True
72,5,Tovan,greet,accepts_bounded_help,Tovan accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:tovan:route_warning:d005:s00,route warning,True,True,True
73,5,Nia,ask_schedule,explains_debt,Nia explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:tool_loan:d005:s01,tool loan,True,True,True
74,5,Ari,offer_help,declines_politely,Ari declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:water_carry:d005:s02,water carry,True,True,True
75,5,Fay,apologize,names_current_task,Fay names current task; phrase=apologize; no generated open chat.,map safe route,v60:fay:repair_promise:d005:s03,repair promise,True,True,True
76,5,Milo,ask_debt,asks_for_space,Milo asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:missed_greeting:d005:s04,missed greeting,True,True,True
77,5,Sera,thank,thanks_briefly,Sera thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:sera:care_favor:d005:s05,care favor,True,True,True
78,5,Tovan,request_space,greets_cautiously,Tovan greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:tovan:route_warning:d005:s06,route warning,True,True,True
79,5,Nia,greet,accepts_bounded_help,Nia accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:nia:tool_loan:d005:s07,tool loan,True,True,True
80,5,Ari,ask_schedule,explains_debt,Ari explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:water_carry:d005:s08,water carry,True,True,True
81,5,Fay,offer_help,declines_politely,Fay declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:repair_promise:d005:s09,repair promise,True,True,True
82,5,Milo,apologize,names_current_task,Milo names current task; phrase=apologize; no generated open chat.,map safe route,v60:milo:missed_greeting:d005:s10,missed greeting,True,True,True
83,5,Sera,ask_debt,asks_for_space,Sera asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:care_favor:d005:s11,care favor,True,True,True
84,5,Tovan,thank,thanks_briefly,Tovan thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:tovan:route_warning:d005:s12,route warning,True,True,True
85,5,Nia,request_space,greets_cautiously,Nia greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:nia:tool_loan:d005:s13,tool loan,True,True,True
86,5,Ari,greet,accepts_bounded_help,Ari accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:ari:water_carry:d005:s14,water carry,True,True,True
87,5,Fay,ask_schedule,explains_debt,Fay explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:repair_promise:d005:s15,repair promise,True,True,True
88,5,Milo,offer_help,declines_politely,Milo declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:missed_greeting:d005:s16,missed greeting,True,True,True
89,5,Sera,apologize,names_current_task,Sera names current task; phrase=apologize; no generated open chat.,map safe route,v60:sera:care_favor:d005:s17,care favor,True,True,True
90,6,Tovan,thank,declines_politely,Tovan declines politely; phrase=thank; no generated open chat.,recover focus,v60:tovan:tool_loan:d006:s00,tool loan,True,True,True
91,6,Nia,request_space,names_current_task,Nia names current task; phrase=request_space; no generated open chat.,repair awning,v60:nia:water_carry:d006:s01,water carry,True,True,True
92,6,Ari,greet,asks_for_space,Ari asks for space; phrase=greet; no generated open chat.,sort herbs,v60:ari:repair_promise:d006:s02,repair promise,True,True,True
93,6,Fay,ask_schedule,thanks_briefly,Fay thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:missed_greeting:d006:s03,missed greeting,True,True,True
94,6,Milo,offer_help,greets_cautiously,Milo greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:care_favor:d006:s04,care favor,True,True,True
95,6,Sera,apologize,accepts_bounded_help,Sera accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:sera:route_warning:d006:s05,route warning,True,True,True
96,6,Tovan,ask_debt,explains_debt,Tovan explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:tool_loan:d006:s06,tool loan,True,True,True
97,6,Nia,thank,declines_politely,Nia declines politely; phrase=thank; no generated open chat.,recover focus,v60:nia:water_carry:d006:s07,water carry,True,True,True
98,6,Ari,request_space,names_current_task,Ari names current task; phrase=request_space; no generated open chat.,repair awning,v60:ari:repair_promise:d006:s08,repair promise,True,True,True
99,6,Fay,greet,asks_for_space,Fay asks for space; phrase=greet; no generated open chat.,sort herbs,v60:fay:missed_greeting:d006:s09,missed greeting,True,True,True
100,6,Milo,ask_schedule,thanks_briefly,Milo thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:care_favor:d006:s10,care favor,True,True,True
101,6,Sera,offer_help,greets_cautiously,Sera greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:route_warning:d006:s11,route warning,True,True,True
102,6,Tovan,apologize,accepts_bounded_help,Tovan accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:tovan:tool_loan:d006:s12,tool loan,True,True,True
103,6,Nia,ask_debt,explains_debt,Nia explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:water_carry:d006:s13,water carry,True,True,True
104,6,Ari,thank,declines_politely,Ari declines politely; phrase=thank; no generated open chat.,recover focus,v60:ari:repair_promise:d006:s14,repair promise,True,True,True
105,6,Fay,request_space,names_current_task,Fay names current task; phrase=request_space; no generated open chat.,repair awning,v60:fay:missed_greeting:d006:s15,missed greeting,True,True,True
106,6,Milo,greet,asks_for_space,Milo asks for space; phrase=greet; no generated open chat.,sort herbs,v60:milo:care_favor:d006:s16,care favor,True,True,True
107,6,Sera,ask_schedule,thanks_briefly,Sera thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:route_warning:d006:s17,route warning,True,True,True
108,7,Tovan,apologize,asks_for_space,Tovan asks for space; phrase=apologize; no generated open chat.,map safe route,v60:tovan:water_carry:d007:s00,water carry,True,True,True
109,7,Nia,ask_debt,thanks_briefly,Nia thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:repair_promise:d007:s01,repair promise,True,True,True
110,7,Ari,thank,greets_cautiously,Ari greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:ari:missed_greeting:d007:s02,missed greeting,True,True,True
111,7,Fay,request_space,accepts_bounded_help,Fay accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:fay:care_favor:d007:s03,care favor,True,True,True
112,7,Milo,greet,explains_debt,Milo explains debt; phrase=greet; no generated open chat.,sort herbs,v60:milo:route_warning:d007:s04,route warning,True,True,True
113,7,Sera,ask_schedule,declines_politely,Sera declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:tool_loan:d007:s05,tool loan,True,True,True
114,7,Tovan,offer_help,names_current_task,Tovan names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:water_carry:d007:s06,water carry,True,True,True
115,7,Nia,apologize,asks_for_space,Nia asks for space; phrase=apologize; no generated open chat.,map safe route,v60:nia:repair_promise:d007:s07,repair promise,True,True,True
116,7,Ari,ask_debt,thanks_briefly,Ari thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:missed_greeting:d007:s08,missed greeting,True,True,True
117,7,Fay,thank,greets_cautiously,Fay greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:fay:care_favor:d007:s09,care favor,True,True,True
118,7,Milo,request_space,accepts_bounded_help,Milo accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:milo:route_warning:d007:s10,route warning,True,True,True
119,7,Sera,greet,explains_debt,Sera explains debt; phrase=greet; no generated open chat.,sort herbs,v60:sera:tool_loan:d007:s11,tool loan,True,True,True
