tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_branch
0,1,riverbend_roofward,single active branch,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
1,1,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
2,1,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
3,1,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
4,1,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
5,1,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
6,1,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
7,1,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
8,1,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
9,1,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
10,1,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
11,1,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
12,1,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
13,1,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
14,1,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
15,2,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
16,2,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
17,2,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
18,2,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
19,2,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
20,2,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
21,2,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
22,2,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
23,2,central_repair_ring,single active branch,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
24,2,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
25,2,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
26,2,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
27,2,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
28,2,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
29,2,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,ambient-rate,True
30,3,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
31,3,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
