tick_index,agent,event_kind,body_summary,egocentric_summary,ego_summary,public_workspace_hint,memory_id,visible_behavior,refusal_or_recovery,trace_integrity_token
1,Ari,avatar_approach,energy=0.792; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.236; respect=0.585,private,r241-ari-001,Ari: focused; tracks nearby task; nonverbal,ordinary,r241:1:Ari:r241-ari-001:2.301
2,Fay,wet_route_request,energy=0.704; pain=0.140; comfort=0.500; safety=0.588,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.835; boundary=0.389; respect=0.391,private,r241-fay-002,Fay: focused; tracks nearby task; nonverbal,ordinary,r241:2:Fay:r241-fay-002:2.444
3,Milo,interrupt_repair,energy=0.745; pain=0.290; comfort=0.490; safety=0.524,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.710; respect=0.305,help_with_pain / guarded,r241-milo-003,Milo: guarded; checks exits before answering; bounded refusal,refusal,r241:3:Milo:r241-milo-003:2.57
4,Sol,give_space,energy=0.926; pain=0.000; comfort=0.860; safety=0.808,I am at quiet corner; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.083; respect=0.769,attachment_and_trust / comforted,r241-sol-004,Sol: comforted; turns toward avatar; soft repair,recovery,r241:4:Sol:r241-sol-004:2.669
5,Ari,return_tool,energy=0.925; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.252; respect=0.823,attachment_and_trust / comforted,r241-ari-005,Ari: comforted; turns toward avatar; soft repair,recovery,r241:5:Ari:r241-ari-005:2.736
6,Fay,praise_work,energy=0.794; pain=0.040; comfort=0.670; safety=0.698,I am at rain bridge; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.051; respect=0.754,attachment_and_trust / comforted,r241-fay-006,Fay: comforted; tracks nearby task; brief self-report,ordinary,r241:6:Fay:r241-fay-006:2.766
7,Milo,misname,energy=0.792; pain=0.120; comfort=0.540; safety=0.524,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.670; respect=0.345,respect_for_boundary / guarded,r241-milo-007,Milo: guarded; checks exits before answering; brief self-report,ordinary,r241:7:Milo:r241-milo-007:2.757
8,Sol,apologize,energy=0.918; pain=0.000; comfort=0.860; safety=0.808,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.053; respect=0.804,attachment_and_trust / comforted,r241-sol-008,Sol: comforted; turns toward avatar; soft repair,recovery,r241:8:Sol:r241-sol-008:2.711
9,Ari,agent_help_request,energy=0.733; pain=0.210; comfort=0.620; safety=0.691,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.092; respect=0.753,attachment_and_trust / comforted,r241-ari-009,Ari: comforted; tracks nearby task; brief self-report,ordinary,r241:9:Ari:r241-ari-009:2.63
10,Fay,crowded_market,energy=0.777; pain=0.120; comfort=0.540; safety=0.518,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.560; respect=0.439,private,r241-fay-010,Fay: startled; checks exits before answering; nonverbal,ordinary,r241:10:Fay:r241-fay-010:2.518
11,Milo,cold_rain,energy=0.680; pain=0.140; comfort=0.500; safety=0.594,I am at market canopy; I can see warm blue blanket; I hear rain ticking; near me is avatar.,self_relevance=0.615; boundary=0.362; respect=0.433,private,r241-milo-011,Milo: focused; tracks nearby task; nonverbal,ordinary,r241:11:Milo:r241-milo-011:2.384
