tick_id,agent_id,replay_event,payload_hash,dom_selector,expected_public_state,observed_public_state,replay_exportable,deterministic_order
0,Ari,avatar_text_input,v35-807763,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,1
0,Ari,click_to_talk_reply,v35-501017,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,2
2,Nia,avatar_text_input,v35-915079,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,3
2,Nia,click_to_talk_reply,v35-320655,#talk-Nia,Energy low but steady; comfort is 0.51 and safety is 0.62.,Energy low but steady; comfort is 0.51 and safety is 0.62.,True,4
3,Milo,click_to_talk_reply,v35-346776,#talk-Milo,Energy low but steady; comfort is 0.45 and safety is 0.62.,Energy low but steady; comfort is 0.45 and safety is 0.62.,True,5
5,Juno,avatar_text_input,v35-942994,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,6
5,Juno,click_to_talk_reply,v35-065259,#talk-Juno,Gabriel stepped back from the sparks.,Gabriel stepped back from the sparks.,True,7
7,Fay,avatar_text_input,v35-809440,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,8
7,Fay,click_to_talk_reply,v35-277577,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,9
9,Milo,click_to_talk_reply,v35-348328,#talk-Milo,Energy low but steady; comfort is 0.47 and safety is 0.63.,Energy low but steady; comfort is 0.47 and safety is 0.63.,True,10
10,Ivo,avatar_text_input,v35-038121,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,11
10,Ivo,click_to_talk_reply,v35-368193,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,12
12,Ari,avatar_text_input,v35-900391,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,13
12,Ari,click_to_talk_reply,v35-279511,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,14
14,Nia,avatar_text_input,v35-141850,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,15
14,Nia,click_to_talk_reply,v35-419168,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,16
