tick_id,day,tick,avatar_zone,active_infrastructure,household_panel,building_panel,tool_panel,skill_panel,failure_panel,ecology_panel,save_restore_key,replay_key,boundary_note
0,1,0,warm workshop,river_mill_bridge,West House planks: 22.00,River mill bridge durability 0.85,drawknife condition 0.94,Ari carpentry 0.34,stable,bank_stability 0.57,ssrm_v27_infrastructure_state_seed_20260880,v27-317801,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
1,1,1,archive bench,roof_greenhouse_cistern,Roof House water: 42.00,Roof greenhouse cistern durability 0.82,glass tongs condition 0.81,Fay cultivation 0.38,stable,humidity 0.52,ssrm_v27_infrastructure_state_seed_20260880,v27-355093,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
2,1,2,signal yard,archive_public_kiosk,Archive House paper: 18.20,Archive public kiosk durability 0.79,binding awl condition 0.78,Nia recordkeeping 0.43,stable,notice_accuracy 0.51,ssrm_v27_infrastructure_state_seed_20260880,v27-341384,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
3,1,3,river path,dusk_signal_workshop,Signal House oil: 16.00,Dusk signal workshop durability 0.77,wire crimper condition 0.76,Milo signalcraft 0.46,stable,night_calm 0.55,ssrm_v27_infrastructure_state_seed_20260880,v27-307686,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
4,1,4,roof path,river_mill_bridge,West House planks: 22.00,River mill bridge durability 0.85,drawknife condition 0.94,Ari carpentry 0.34,stable,bank_stability 0.57,ssrm_v27_infrastructure_state_seed_20260880,v27-318096,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
5,1,5,market commons,roof_greenhouse_cistern,Roof House water: 42.17,Roof greenhouse cistern durability 0.81,glass tongs condition 0.80,Fay cultivation 0.39,stable,humidity 0.54,ssrm_v27_infrastructure_state_seed_20260880,v27-378136,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
6,1,6,wood bay,archive_public_kiosk,Archive House paper: 18.20,Archive public kiosk durability 0.78,binding awl condition 0.78,Nia recordkeeping 0.43,stable,notice_accuracy 0.50,ssrm_v27_infrastructure_state_seed_20260880,v27-341529,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
7,1,7,warm workshop,dusk_signal_workshop,Signal House oil: 16.00,Dusk signal workshop durability 0.76,wire crimper condition 0.76,Milo signalcraft 0.46,stable,night_calm 0.56,ssrm_v27_infrastructure_state_seed_20260880,v27-302092,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
8,1,8,archive bench,river_mill_bridge,West House planks: 22.13,River mill bridge durability 0.83,drawknife condition 0.93,Ari carpentry 0.35,stable,bank_stability 0.57,ssrm_v27_infrastructure_state_seed_20260880,v27-339527,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
9,1,9,signal yard,roof_greenhouse_cistern,Roof House water: 42.17,Roof greenhouse cistern durability 0.80,glass tongs condition 0.80,Fay cultivation 0.39,stable,humidity 0.54,ssrm_v27_infrastructure_state_seed_20260880,v27-378151,"deterministic browser-local household/workshop economy infrastructure scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
