channel,passed,score,evidence,failure_if_false
report_331_reload_persistence_gate_passed,True,1.0,Report 331 verdict=pass weakest=1.0,Report 332 would not be grounded in a passing reload-persistence gate
pre_patch_readability_defect_found,True,1.0,persisted re-prepared handoff requires raw JSON inspection for at least one reviewer-critical fact; visible non-JSON handoff text does not say the payload is resume-bound,Report 332 would not be tied to an observed visible-readability defect
readable_summary_source_generated,True,1.0,primary launcher generator and emitted JS contain readableHandoffSummary and exported previewReadableSummary,regeneration would remove the readable restart summary
stale_warning_explains_payload_and_current_kinds,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed. Payload is clean while current shell is resume. Re-run Prepare outside-review handoff.",stale recovery warning does not explain clean-vs-resume mismatch in visible text
visible_summary_mentions_fresh,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not say the payload is fresh
visible_summary_mentions_resume,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not say the payload is resume-bound
visible_summary_mentions_checklist,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not summarize checklist completion
visible_summary_mentions_recorder,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not summarize manual recorder/export evidence
visible_summary_mentions_shell_evidence,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not summarize shell reviewer-pass/receipt/replay evidence
visible_summary_mentions_next_action,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,visible handoff summary does not give a reviewer an actionable next step
visible_summary_complete_without_json,True,1.0,"readableScore=1 checks={'hasReadableAction': True, 'hasReadableChecklist': True, 'hasReadableFresh': True, 'hasReadableRecorder': True, 'hasReadableResume': True, 'hasReadableShell': True}",cold reviewer still needs raw JSON to recover one or more restart facts
raw_json_preview_still_available,True,1.0,"{'boundary': 'outside-review-handoff-freshness-public-local-only', 'currentHandoffKind': 'resume', 'currentHandoffRecordedAt': '2026-06-18T09:19:02.691Z', 'currentManualRecordCount': 1, 'currentReplayRows': 16, 'fresh': True, 'mismatches': [], 'payloadHandoffKind': 'resume', 'payloadHandoffRecordedAt': '2026-06-18T09:19:02.691Z', 'payloadManualRecordCount': 1, 'payloadReplayRows': 16}",readable summary replaced the inspectable raw JSON audit payload
preview_readable_summary_exported,True,1.0,Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: inspect or download Prepared outside-review handoff.,raw preview does not preserve the same readable summary for audit/export inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],readable restart browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local readable handoff restart bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local review UX and evidence readability hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local review-readability hardening
