tick_id,day,time_s,layer,avatar_state,schedule_state,body_state,object_transform_state,dialogue_state,saved_state,visible_world_state,frequency_hz,flower_node
rt-xf-01,1,18.0,object_transformation,near transform reed drying bundle split,actor roka; skill reed sorting and distance timing,energy cost 0.08,"loose reeds,rain cloth,blue stone warmth -> dry loose reed strips; waste mud flecks,wet cloth drip",Roka names tied bundle boundary; loose reeds only,transform:reed-dry:day1,sort loose reeds; comb mud; lay across warm blue stone; mark tied bundle untouched,251.552,4
rt-xf-02,1,27.0,object_transformation,near transform chalk arc repair mark,actor ariq; skill timed lift and sound check,energy cost 0.12,"chalk cord,flat stone,bridge dust -> wide chalk arc,unsafe edge mark; waste chalk dust,stone grit",bell has rung; Roka foot line visible,transform:chalk-arc:day1,hold cord; draw wide arc; tap stone; mark unsafe hollow edge,261.122,5
rt-typed-01,1,31.0,typed_dialogue,Can I help with the stone now?,route ariq; intent task_help,arousal -0.02 after wait,chalk cord active,body timing public; pain private; reply: After the bell. Hold the chalk cord first.,Ariq remembers Gabriel asked before lifting.,accepted_conditionally,343.25,10
rt-xf-03,1,39.0,object_transformation,near transform water pause care kit,actor fayen; skill care timing,energy cost 0.05,"water cups,herb shade,clean cloth -> care kit staged; waste used water,cloth dampness",pause accepted before work resumes,transform:care-kit:day1,fill cups; cool cloth; ring bell once; place kit outside work lane,270.416,6
rt-typed-02,1,44.0,typed_dialogue,"Roka, which reeds are mine to carry?",route roka; intent boundary_query,control +0.04,loose reeds allowed,child-work bundle boundary; reply: Loose reeds only. The tied bundle stays with me.,Roka remembers Gabriel asked instead of guessing.,accepted,350.5,11
rt-sch-001,1,60.0,agent_schedule,avatar can interrupt or observe,fayen dawn: check cups; active,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",fayen schedule day 1 dawn persisted,on schedule,114.25,6
rt-sch-021,1,60.0,agent_schedule,avatar can interrupt or observe,noro dawn: count knots; active,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",noro schedule day 1 dawn persisted,on schedule,159.25,2
rt-body-001,1,121.5,body_state,avatar sees public body marker only,care pacing,energy 0.72; fatigue 0.28; pain 0.14; breath 14.0,"water, shade, posture bell",private body details remain sealed unless public wording is used,body-public:fayen:day1,slows hands and lowers voice,191.75,8
rt-body-002,1,123.0,body_state,avatar sees public body marker only,stone effort,energy 0.61; fatigue 0.39; pain 0.26; breath 18.0,"bell, breath count, helper lift",private body details remain sealed unless public wording is used,body-public:ariq:day1,kneels before lifting,195.5,9
rt-body-003,1,124.5,body_state,avatar sees public body marker only,threshold vigilance,energy 0.68; fatigue 0.25; pain 0.08; breath 13.0,"step back, object-only wording",private body details remain sealed unless public wording is used,body-public:nian:day1,still shoulders at flap,199.25,10
