summary_id,reentry_id,reentry_day,absence_length_days,lineage,agent,public_changes_count,schedule_changes_count,relationship_change,technology_change,welfare_change,public_summary,private_workspace_sealed,summary_specificity
1,1,5,1,Hearthline,Sova,3,1,warmer,hearth ceramics access updated under public witness rule,sleep rhythm remained stable,"Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",True,0.853729
2,1,5,1,Routeline,Keth,4,2,steady,stone bridge joints access updated under public witness rule,sleep rhythm remained stable,"Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.86512
3,1,5,1,Marketline,Melo,5,1,steady,measure weights access updated under public witness rule,sleep rhythm remained stable,"Melo: while you were away 1 days, 5 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.883041
4,1,5,1,Ledgerline,Nari,3,2,steady,seed ledgers access updated under public witness rule,sleep rhythm remained stable,"Nari: while you were away 1 days, 3 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.854909
5,1,5,1,Orchardline,Ori,4,1,steady,water terraces access updated under public witness rule,sleep rhythm remained stable,"Ori: while you were away 1 days, 4 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.860962
6,1,5,1,Rainline,Vonn,5,2,steady,weather bells access updated under public witness rule,sleep rhythm remained stable,"Vonn: while you were away 1 days, 5 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.889429
7,2,11,2,Hearthline,Sova,4,2,warmer,hearth ceramics access updated under public witness rule,sleep rhythm remained stable,"Sova: while you were away 2 days, 4 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.",True,0.861257
8,2,11,2,Routeline,Keth,5,3,steady,stone bridge joints access updated under public witness rule,sleep rhythm remained stable,"Keth: while you were away 2 days, 5 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.876822
9,2,11,2,Marketline,Melo,6,2,steady,measure weights access updated under public witness rule,sleep rhythm remained stable,"Melo: while you were away 2 days, 6 public changes occurred; measure weights access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.894614
10,2,11,2,Ledgerline,Nari,4,3,steady,seed ledgers access updated under public witness rule,sleep rhythm remained stable,"Nari: while you were away 2 days, 4 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.866724
11,2,11,2,Orchardline,Ori,5,2,steady,water terraces access updated under public witness rule,sleep rhythm remained stable,"Ori: while you were away 2 days, 5 public changes occurred; water terraces access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.868243
12,2,11,2,Rainline,Vonn,6,3,steady,weather bells access updated under public witness rule,sleep rhythm remained stable,"Vonn: while you were away 2 days, 6 public changes occurred; weather bells access updated under public witness rule; relationship is steady; sleep rhythm remained stable.",True,0.901207
13,3,19,3,Hearthline,Sova,5,2,warmer,hearth ceramics access updated under public witness rule,rest debt noted before work resumes,"Sova: while you were away 3 days, 5 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; rest debt noted before work resumes.",True,0.862273
14,3,19,3,Routeline,Keth,6,3,steady,stone bridge joints access updated under public witness rule,rest debt noted before work resumes,"Keth: while you were away 3 days, 6 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.877974
