tick_id,day,settlement_id,resident_id,custom_or_law,restricted_object,avatar_choice,allowed_state,consequence,trust_before,trust_after,custom_visible_before_choice,refusal_or_warning_respected,local_history_preserved
0,1,lichen_bridge,Kio,ask before signal bell,meal ledger,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.568,0.558,True,True,True
1,1,orchid_engine,Cai,keep gear wash lane open,valve key,wait_for_resident_lead,observed,no custom violation,0.57,0.572,True,True,True
2,1,moss_ward,Milo,ask before touching rain clay,blanket loom,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.58,0.59,True,True,True
3,1,glass_harbor,Sera,ask before lifting nets,fog catcher,offer_greeting,observed,no custom violation,0.596,0.598,True,True,True
4,1,cinder_garden,Juno,cool stone is shared,seed tray,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.556,0.566,True,True,True
5,1,lichen_bridge,Luma,do not step on tension rope,rope kit,repeat_local_phrase,observed,no custom violation,0.586,0.588,True,True,True
6,1,orchid_engine,Dax,ask before orchid lamp,gear basin,offer_trade_good,observed,no custom violation,0.562,0.564,True,True,True
7,1,moss_ward,Tala,leave door-watch path clear,rain jar,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.558,0.54,True,True,True
8,1,glass_harbor,Nia,do not dim public lamp,net spool,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.6,0.61,True,True,True
9,1,cinder_garden,Pax,ask before shade pole,cool bowl,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.552,0.562,True,True,True
10,1,lichen_bridge,Rin,meal room first for strangers,signal bell,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.568,0.558,True,True,True
11,1,orchid_engine,Eli,do not turn valve key,orchid lamp,wait_for_resident_lead,observed,no custom violation,0.57,0.572,True,True,True
12,1,moss_ward,Ari,step around blanket circle,root archive,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.58,0.59,True,True,True
13,1,glass_harbor,Oren,leave fog catcher capped,brass lantern,offer_greeting,observed,no custom violation,0.596,0.598,True,True,True
14,1,cinder_garden,Vale,do not cross seed rows,shade pole,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.556,0.566,True,True,True
15,1,lichen_bridge,Sol,ask before signal bell,meal ledger,repeat_local_phrase,observed,no custom violation,0.586,0.588,True,True,True
16,1,orchid_engine,Bea,keep gear wash lane open,valve key,offer_trade_good,observed,no custom violation,0.562,0.564,True,True,True
17,1,moss_ward,Fay,ask before touching rain clay,blanket loom,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.558,0.54,True,True,True
18,2,cinder_garden,Juno,cool stone is shared,seed tray,wait_for_resident_lead,observed,no custom violation,0.576,0.578,True,True,True
19,2,lichen_bridge,Luma,do not step on tension rope,rope kit,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.598,0.608,True,True,True
20,2,orchid_engine,Dax,ask before orchid lamp,gear basin,offer_greeting,observed,no custom violation,0.57,0.572,True,True,True
21,2,moss_ward,Tala,leave door-watch path clear,rain jar,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.546,0.556,True,True,True
22,2,glass_harbor,Nia,do not dim public lamp,net spool,repeat_local_phrase,observed,no custom violation,0.616,0.618,True,True,True
23,2,cinder_garden,Pax,ask before shade pole,cool bowl,offer_trade_good,observed,no custom violation,0.564,0.566,True,True,True
24,2,lichen_bridge,Rin,meal room first for strangers,signal bell,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.546,0.528,True,True,True
25,2,orchid_engine,Eli,do not turn valve key,orchid lamp,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.582,0.592,True,True,True
