channel,passed,score,evidence,failure_if_false
report_336_closed_origin_gate_passed,True,1.0,Report 336 verdict=pass weakest=1.0,hard-reload continuity would not be grounded in a passing closed-origin-tab handoff gate
hard_reload_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain prepared handoff continue/download machinery",regeneration would remove the visible prepared handoff path
original_tab_prepared_fresh_resume_before_close,True,1.0,"kind=resume fresh=True status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",the preparing tab did not create a visible fresh resume handoff before close
original_preparing_tab_closed,True,1.0,originalTabId=7 closed=True,the proof did not close the preparing tab before fresh-tab reload
fresh_tab_before_reload_shows_prepared_handoff,True,1.0,"kind=resume status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",fresh tab did not show the prepared handoff before reload
fresh_tab_after_reload_shows_prepared_handoff,True,1.0,"kind=resume status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",reloaded fresh tab does not render the prepared handoff
fresh_tab_after_reload_status_fresh_resume,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",reloaded fresh tab status does not classify the handoff as fresh resume
fresh_tab_after_reload_controls_available,True,1.0,Continue from prepared resume handoffDownload prepared outside-review handoff JSON,reloaded fresh tab lacks continue/download controls
fresh_tab_after_reload_visible_handoff_timestamp_matches_original,True,1.0,original=2026-06-18T09:51:06.171Z afterReload=2026-06-18T09:51:06.171Z,reloaded fresh tab shows a different visible handoff timestamp than the preparing tab
fresh_tab_after_reload_payload_timestamp_matches_original,True,1.0,original=2026-06-18T09:51:06.171Z afterReload=2026-06-18T09:51:06.171Z,reloaded fresh tab preview freshness points at a different current handoff timestamp
fresh_tab_after_reload_continue_reaches_shell,True,1.0,url=http://127.0.0.1:8799/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63 reviewer=True runPass=True,reloaded fresh tab continue action does not reach the maintained reviewer shell
fresh_tab_after_reload_return_to_launcher_visible,True,1.0,http://127.0.0.1:8799/visualizations/ssrm_3d_browser_world_primary_demo/index.html#outsideReviewChecklist,continued session from reloaded fresh tab cannot return visibly to the launcher
fresh_tab_after_reload_refresh_keeps_handoff_fresh,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",refreshing shell evidence after hard-reload continue-return makes the handoff stale
fresh_tab_after_reload_after_return_timestamp_unchanged,True,1.0,original=2026-06-18T09:51:06.171Z afterReturn=2026-06-18T09:51:06.171Z,hard-reload continue-return changes the visible prepared handoff timestamp
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status/actions and visible handoff preview JSON, not raw storage keys",hard-reload proof relies on privileged storage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],hard-reload browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local closed-origin-tab hard-reload handoff continuity bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local page-lifecycle handoff hygiene and visible review continuity, not external validation or evidence of inner experience.",report boundary implies more than browser-local page-lifecycle handoff continuity
