channel,passed,score,evidence,failure_if_false
report_330_reprepare_gate_passed,True,1.0,Report 330 verdict=pass weakest=1.0,Report 331 would not be grounded in a passing reprepare-continuity gate
freshness_source_still_present,True,1.0,primary launcher generator and emitted JS still contain freshness preview and completion terms,reload persistence evidence could be tied to stale generated assets
clean_payload_fresh_before_resume,True,1.0,"{'boundary': 'outside-review-handoff-freshness-public-local-only', 'currentHandoffKind': 'clean', 'currentHandoffRecordedAt': '2026-06-18T09:11:08.661Z', 'currentManualRecordCount': 1, 'currentReplayRows': 16, 'fresh': True, 'mismatches': [], 'payloadHandoffKind': 'clean', 'payloadHandoffRecordedAt': '2026-06-18T09:11:08.661Z', 'payloadManualRecordCount': 1, 'payloadReplayRows': 16}",the baseline clean handoff was not fresh before the reload/resume path
stale_warning_seen_before_reprepare,True,1.0,bodyHasStaleWarning=True bodyHasReRunWarning=True,the test did not actually pass through the stale-payload recovery path
reprepare_fresh_before_reload,True,1.0,"{'boundary': 'outside-review-handoff-freshness-public-local-only', 'currentHandoffKind': 'resume', 'currentHandoffRecordedAt': '2026-06-18T09:11:13.540Z', 'currentManualRecordCount': 1, 'currentReplayRows': 16, 'fresh': True, 'mismatches': [], 'payloadHandoffKind': 'resume', 'payloadHandoffRecordedAt': '2026-06-18T09:11:13.540Z', 'payloadManualRecordCount': 1, 'payloadReplayRows': 16}",the payload was not fresh before the persistence reload
reprepare_resume_before_reload,True,1.0,handoffKind=resume shellKind=resume,the re-prepared payload was not the current resume handoff before reload
persisted_payload_visible_after_reload,True,1.0,bodyHasNoHandoffText=False parsedBoundaryCount=3,another launcher reload loses the prepared handoff preview
persisted_payload_fresh_after_reload,True,1.0,"{'boundary': 'outside-review-handoff-freshness-public-local-only', 'currentHandoffKind': 'resume', 'currentHandoffRecordedAt': '2026-06-18T09:11:13.540Z', 'currentManualRecordCount': 1, 'currentReplayRows': 16, 'fresh': True, 'mismatches': [], 'payloadHandoffKind': 'resume', 'payloadHandoffRecordedAt': '2026-06-18T09:11:13.540Z', 'payloadManualRecordCount': 1, 'payloadReplayRows': 16}",the reloaded persisted payload is stale or carries freshness mismatches
persisted_payload_uses_resume_after_reload,True,1.0,payload=resume shell=resume,the persisted payload falls back to the old clean handoff after reload
persisted_completion_ready_after_reload,True,1.0,completionReady=True completionShellKind=resume,reviewed handoff completion readiness is lost after reload
persisted_checklist_after_reload,True,1.0,completed checklist items=7,completed outside-review checklist state is lost after reload
persisted_recorder_after_reload,True,1.0,manualRecords=1 recorderExportRecordCount=1,manual recorder evidence is lost after reload
persisted_shell_evidence_after_reload,True,1.0,reviewerPassSeen=True receiptAllPass=True replayExportReady=True,"reviewer pass, all-pass receipt, or replay export evidence is lost after reload"
no_stale_warning_after_reload,True,1.0,bodyHasStaleWarning=False bodyHasReRunWarning=False,a successful reprepare still looks stale after another reload
browser_console_clean,True,1.0,consoleErrors=0 messages=[],reload-persistence browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local re-prepared handoff reload persistence only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local review-evidence persistence hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local review-evidence persistence
