tick,day,conflict_id,avatar_decision,affected_agents,decision_kind,visible_options,typed_decision_confidence,public_reason,resolved_live,creates_later_obligation
0,1,v16-conflict-d01-t00,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
1,1,v16-conflict-d01-t01,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
2,1,v16-conflict-d01-t02,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
3,1,v16-conflict-d01-t03,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
4,1,v16-conflict-d01-t04,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8246,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
5,1,v16-conflict-d01-t05,split_access,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
6,1,v16-conflict-d01-t06,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
7,1,v16-conflict-d01-t07,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
8,1,v16-conflict-d01-t08,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
9,1,v16-conflict-d01-t09,rotate_priority,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
10,1,v16-conflict-d01-t10,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.875,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
11,1,v16-conflict-d01-t11,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.833,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
12,2,v16-conflict-d02-t00,defer_until_rest,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
13,2,v16-conflict-d02-t01,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
14,2,v16-conflict-d02-t02,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
15,2,v16-conflict-d02-t03,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8246,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
16,2,v16-conflict-d02-t04,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.86,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
