tick_id,day,session_id,settlement_id,resident_id,project_id,project_name,loop_step,avatar_action,task_state_before,task_state_after,local_state_key,local_state_mutated,loop_advanced,resident_visible,private_workspace_sealed,no_llm_call
0,1,session-001,moss_ward,Milo,4f19e26857,copy root ledger,pickup_tool,click:pickup_tool:rain_gate,resident-ready,tool-in-hand,ssrm.v55.moss_ward.session-001,True,True,True,True,True
1,1,session-001,glass_harbor,Sera,ee1d01c438,mark crossing rope,execute_task,click:execute_task:net_room,resident-ready,inventory-mutated,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
2,1,session-001,cinder_garden,Juno,9c5554028b,shade seed rows,recover_failed_work,click:recover_failed_work:shade_tent,resident-ready,recovery-choice-open,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
3,1,session-001,lichen_bridge,Luma,5fbf6bf7bd,weave spare rope,drop_tool,click:drop_tool:rope_bridge,resident-ready,tool-returned-or-nearby,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
4,1,session-001,orchid_engine,Dax,8d36ca6708,tend orchid lamp,relationship_phrase,click:relationship_phrase:gear_wash,resident-ready,phrase-used-and-saved,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
5,1,session-001,moss_ward,Tala,690cd7241e,raise warm-cup shelf,save_session,click:save_session:root_alcove,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-001,True,True,True,True,True
6,1,session-001,glass_harbor,Nia,24a6670b6c,relight public lamp,path_to_site,click:path_to_site:lamp_pier,queued,at-site-or-closer,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
7,1,session-001,cinder_garden,Pax,9dfff354ca,sort ember fruit,pickup_tool,click:pickup_tool:ash_path,resident-ready,tool-in-hand,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
8,1,session-001,lichen_bridge,Rin,48fc2b7680,mark signal bell,execute_task,click:execute_task:meal_room,resident-ready,inventory-mutated,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
9,1,session-001,orchid_engine,Eli,86759406ca,stabilize steam kettle,recover_failed_work,click:recover_failed_work:engine_ring,resident-ready,recovery-choice-open,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
10,1,session-001,moss_ward,Ari,da0f22a6f5,drain rain path,drop_tool,click:drop_tool:blanket_room,resident-ready,tool-returned-or-nearby,ssrm.v55.moss_ward.session-001,True,True,True,True,True
11,1,session-001,glass_harbor,Oren,9f03b2f23d,mend fog net,relationship_phrase,click:relationship_phrase:fog_rail,resident-ready,phrase-used-and-saved,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
12,1,session-001,cinder_garden,Vale,58b08d67ce,cool ash path,save_session,click:save_session:seed_shelf,resident-ready,session-snapshot-written,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
13,1,session-001,lichen_bridge,Sol,6a6945c048,repair meal ledger,path_to_site,click:path_to_site:signal_post,queued,at-site-or-closer,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
14,1,session-001,orchid_engine,Bea,1a39418cc8,listen to valve pulse,pickup_tool,click:pickup_tool:orchid_bay,resident-ready,tool-in-hand,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
15,1,session-001,moss_ward,Fay,cbe617b6af,patch blanket loom,execute_task,click:execute_task:rain_gate,resident-ready,inventory-mutated,ssrm.v55.moss_ward.session-001,True,True,True,True,True
16,1,session-001,glass_harbor,Puck,19e61c2da4,seal fog catcher,recover_failed_work,click:recover_failed_work:net_room,resident-ready,recovery-choice-open,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
17,1,session-001,cinder_garden,Wren,b1df32837e,repair seed calendar,drop_tool,click:drop_tool:shade_tent,resident-ready,tool-returned-or-nearby,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
