tick_id,day,session_id,settlement_id,resident_id,project_id,material_item,inventory_before,inventory_after,output_item,output_before,output_after,delta_label,ui_delta_visible,task_step_executed,material_consumed,no_magic_inventory
0,1,session-001,moss_ward,Milo,4f19e26857,dry clay,760,758,copy root ledger progress marker,0,1,-2 dry clay; +1 marker,True,True,True,True
1,1,session-001,glass_harbor,Sera,ee1d01c438,net fiber,760,758,mark crossing rope progress marker,0,2,-2 net fiber; +2 marker,True,True,True,True
2,1,session-001,cinder_garden,Juno,9c5554028b,seed ink,760,759,shade seed rows progress marker,0,1,-1 seed ink; +1 marker,True,True,True,True
3,1,session-001,lichen_bridge,Luma,5fbf6bf7bd,rope fiber,760,759,weave spare rope progress marker,0,1,-1 rope fiber; +1 marker,True,True,True,True
4,1,session-001,orchid_engine,Dax,8d36ca6708,gear cloth,760,759,tend orchid lamp progress marker,0,1,-1 gear cloth; +1 marker,True,True,True,True
5,1,session-001,moss_ward,Tala,690cd7241e,moss cord,760,759,raise warm-cup shelf progress marker,0,1,-1 moss cord; +1 marker,True,True,True,True
6,1,session-001,glass_harbor,Nia,24a6670b6c,salt chalk,760,759,relight public lamp progress marker,0,1,-1 salt chalk; +1 marker,True,True,True,True
7,1,session-001,cinder_garden,Pax,9dfff354ca,shade reed,760,759,sort ember fruit progress marker,0,1,-1 shade reed; +1 marker,True,True,True,True
8,1,session-001,lichen_bridge,Rin,48fc2b7680,bell tin,760,758,mark signal bell progress marker,0,2,-2 bell tin; +2 marker,True,True,True,True
9,1,session-001,orchid_engine,Eli,86759406ca,orchid oil,760,759,stabilize steam kettle progress marker,0,1,-1 orchid oil; +1 marker,True,True,True,True
10,1,session-001,moss_ward,Ari,da0f22a6f5,charcoal mark,760,759,drain rain path progress marker,0,1,-1 charcoal mark; +1 marker,True,True,True,True
11,1,session-001,glass_harbor,Oren,9f03b2f23d,lamp oil,760,759,mend fog net progress marker,0,1,-1 lamp oil; +1 marker,True,True,True,True
12,1,session-001,cinder_garden,Vale,58b08d67ce,ember basket,760,759,cool ash path progress marker,0,1,-1 ember basket; +1 marker,True,True,True,True
13,1,session-001,lichen_bridge,Sol,6a6945c048,meal token,760,759,repair meal ledger progress marker,0,1,-1 meal token; +1 marker,True,True,True,True
14,1,session-001,orchid_engine,Bea,1a39418cc8,steam seal,760,759,listen to valve pulse progress marker,0,1,-1 steam seal; +1 marker,True,True,True,True
15,1,session-001,moss_ward,Fay,cbe617b6af,reed bundle,760,758,patch blanket loom progress marker,0,2,-2 reed bundle; +2 marker,True,True,True,True
16,1,session-001,glass_harbor,Puck,19e61c2da4,glass bead,760,759,seal fog catcher progress marker,0,1,-1 glass bead; +1 marker,True,True,True,True
17,1,session-001,cinder_garden,Wren,b1df32837e,cool stone,760,758,repair seed calendar progress marker,0,1,-2 cool stone; +1 marker,True,True,True,True
18,2,session-001,orchid_engine,Eli,a3b8dc6d55,orchid oil,759,757,listen to valve pulse progress marker,1,3,-2 orchid oil; +2 marker,True,True,True,True
19,2,session-001,moss_ward,Ari,2378d81ec8,charcoal mark,759,758,patch blanket loom progress marker,2,3,-1 charcoal mark; +1 marker,True,True,True,True
