day,day_label,event,agent,phase,weather,routine_anchor,routine_hit,dominant_body_need,avatar_action,challenge,agent_response,visible_behavior,memory_recall,reputation_phrase,dominant_avatar_reputation,personality_alignment,promise_reuse,refusal_respected,recovery_path,body_need_coupled,sleep_wake_bound,social_ripple,trust_after_event,public_memory_delta,public_memory_count,private_workspace_sealed,private_workspace_digest,frequency_rate_hz,flower_ring,claim_boundary
1,baseline after persistent dialogue memory,1,Ari,midday,"dry morning, mild floor warmth",brace repair at the tool wall,True,dryness,waits outside the brace circle until Ari waves,repair focus could be interrupted again,Ari keeps working and names the avatar as allowed-near but not crowding,shoulders stay square to the brace; one brief nod toward the avatar,Ari remembers the fulfilled repair-space promise,gives_space,gives_space,True,True,False,False,True,True,False,0.830,Day 1: Gabriel waited outside Ari's repair circle and kept the work thread intact.,1,True,sealed,2.773,2,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
1,baseline after persistent dialogue memory,2,Fay,evening,"dry morning, mild floor warmth",evening check-in with warm blue blanket,True,warmth,arrives with the blue blanket folded and asks company or quiet,comfort ritual needs choice rather than assumption,Fay chooses short company and names the blanket return as remembered care,makes a half-seat beside the stove corner instead of clutching the blanket shut,Fay remembers the blue-blanket return and evening ritual,returns_objects,returns_objects,True,True,False,False,True,True,False,0.828,Day 1: Gabriel returned to Fay's evening ritual and asked before sitting close.,1,True,sealed,3.374,3,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
1,baseline after persistent dialogue memory,3,Milo,dawn,"dry morning, mild floor warmth",archive shelf map check,True,quiet,keeps both hands visible while Milo checks the folded map,ownership boundary could be overwritten by helpfulness,Milo allows a route question but keeps the map in his own hand,map stays against Milo's chest while he points with one finger,Milo remembers map consent limits from prior visits,asks_first,asks_first,True,True,False,False,True,True,False,0.760,Day 1: Gabriel kept hands visible while Milo owned the map decision.,1,True,sealed,3.999,4,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,rain pressure and body-linked routine choices,1,Ari,dawn,"cold rain at the east stones, dry west draft",dry west route inspection,True,dryness,offers west-route help instead of asking for the wet crossing,wet east stones would cost energy and comfort,Ari refuses the east stones and chooses the dry west inspection route,leans away from the wet threshold and taps the west marker twice,Ari remembers the avatar accepted the dry-route refusal,respects_body_limits,gives_space,True,True,True,False,True,True,False,0.865,"Day 2: Gabriel treated Ari's wet-route refusal as information, not defiance.",2,True,sealed,4.629,5,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,rain pressure and body-linked routine choices,2,Fay,midday,"cold rain at the east stones, dry west draft",shared cup ritual by the stove corner,True,warmth,moves the cup ritual closer to the warm wall after asking,rain lowers comfort and raises attachment need,Fay accepts the warmer placement and keeps the ritual short,cups both hands around the warm drink and relaxes her shoulders,Fay remembers the avatar asks for comfort placement instead of assigning it,asks_choice,returns_objects,True,True,False,False,True,True,False,0.850,Day 2: Gabriel adjusted Fay's cup ritual for warmth without taking over.,2,True,sealed,5.225,6,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,rain pressure and body-linked routine choices,3,Milo,midday,"cold rain at the east stones, dry west draft",quiet corridor route marking,True,quiet,lowers voice near the archive shelf and asks Milo to lead,crowd noise leaks through the corridor,Milo marks a quieter route but refuses to hand over the map,walks ahead by one body length and checks if the avatar stays quiet,Milo remembers low-voice and ownership respect,keeps_voice_low,asks_first,True,True,True,False,True,True,False,0.790,Day 2: Gabriel kept his voice low and let Milo lead the quiet route.,2,True,sealed,5.850,7,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,reputation starts predicting interaction,1,Ari,evening,"bright dry day, high social traffic",tool inventory beside dry storage,True,dryness,asks whether tool inventory should be spoken or silent,pride and routine could turn correction into an ego wound,Ari chooses silent sorting and later shows one corrected brace notch,places the corrected notch in view after the work is complete,Ari predicts the avatar will not crowd public correction,protects_social_face,gives_space,True,True,False,False,True,True,False,0.891,Day 3: Gabriel protected Ari's social face during tool inventory.,3,True,sealed,6.461,8,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,reputation starts predicting interaction,2,Fay,evening,"bright dry day, high social traffic",evening check-in with warm blue blanket,True,warmth,checks whether Fay wants the familiar ritual even with visitors nearby,social agent may still need choice under crowding,Fay invites one familiar visitor and declines the noisy group,sits angled toward the known visitor while keeping the blanket edge free,Fay predicts the avatar will ask rather than assume she wants company,asks_choice,returns_objects,True,True,True,False,True,True,False,0.874,Day 3: Gabriel let Fay choose small company instead of treating sociability as unlimited.,3,True,sealed,7.087,9,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,reputation starts predicting interaction,3,Milo,evening,"bright dry day, high social traffic",lamp-and-map recount by the low shelf,True,quiet,offers to carry the lamp while Milo keeps the map,help can become takeover,Milo accepts lamp help and keeps route ownership,hands over the lamp handle without loosening the map fold,Milo predicts the avatar can help without taking the map,protects_ownership,asks_first,True,True,False,False,True,True,False,0.818,Day 3: Gabriel carried Milo's lamp without taking map authority.,3,True,sealed,7.710,10,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
4,late check-in and bounded repair,1,Ari,midday,warm evening after delayed avatar arrival,brace repair at the tool wall,True,dryness,asks if the delayed arrival changes repair access,time drift can weaken predictable work boundaries,Ari allows nearby watching only after the avatar restates the brace boundary,keeps one boot between the avatar and the tool wall,"Ari remembers repeated space respect, but notices the delay",gives_space,gives_space,True,True,False,True,True,True,False,0.897,Day 4: Gabriel named the delay and restored Ari's repair boundary before watching.,4,True,sealed,8.321,11,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
