tick_id,day,settlement_id,resident_id,object_id,avatar_choice,remembered_debt,remembered_default,prompt,resident_reply,debt_before,debt_after,trust_before,trust_after,choice_visible,choice_affects_state,private_memory_not_dumped
0,1,roofward,Sera,herb ledger,offer_return_help,0.1,not due,offer return help,"Sera: Help with returning herb ledger, not with erasing the debt.",0.1,0.086,0.63,0.636,True,True,True
1,1,archive,Vell,memory tag,choose_repay,0.1,not due,repay remembered object debt,Vell: Repayment lowers the memory tag debt.,0.1,0.08,0.62,0.628,True,True,True
2,1,signal,Oda,wind wrap,choose_ignore,0.116,not due,ignore remembered debt,Oda: Ignoring the wind wrap debt keeps it on the board.,0.116,0.122,0.65,0.647,True,True,True
3,1,orchard,Ivo,seed satchel,absent,0.116,not due,ask debt status,Ivo: The seed satchel debt is remembered by role and witness.,0.116,0.117,0.65,0.65,True,True,True
5,1,riverbend,Cee,binding cord,choose_ignore,0.116,not due,ignore remembered debt,Cee: Ignoring the binding cord debt keeps it on the board.,0.116,0.122,0.65,0.647,True,True,True
6,1,roofward,Bex,shade cloth,absent,0.116,not due,ask debt status,Bex: The shade cloth debt is remembered by role and witness.,0.116,0.117,0.65,0.65,True,True,True
8,1,signal,Ren,oil lantern,offer_return_help,0.1,not due,offer return help,"Ren: Help with returning oil lantern, not with erasing the debt.",0.1,0.086,0.66,0.666,True,True,True
9,1,orchard,Pim,dry cord,choose_repay,0.1,not due,repay remembered object debt,Pim: Repayment lowers the dry cord debt.,0.1,0.08,0.65,0.658,True,True,True
10,1,repair_ring,Wren,cool cloth,choose_ignore,0.116,not due,ignore remembered debt,Wren: Ignoring the cool cloth debt keeps it on the board.,0.116,0.122,0.62,0.617,True,True,True
11,1,riverbend,Ari,cedar plank,offer_return_help,0.1,not due,offer return help,"Ari: Help with returning cedar plank, not with erasing the debt.",0.1,0.086,0.66,0.666,True,True,True
12,1,roofward,Sera,herb ledger,choose_repay,0.086,not due,repay remembered object debt,Sera: Repayment lowers the herb ledger debt.,0.086,0.066,0.636,0.644,True,True,True
13,1,archive,Vell,memory tag,choose_ignore,0.096,not due,ignore remembered debt,Vell: Ignoring the memory tag debt keeps it on the board.,0.096,0.102,0.628,0.625,True,True,True
15,1,orchard,Ivo,seed satchel,listen_later,0.133,not due,ask debt status,Ivo: The seed satchel debt is remembered by role and witness.,0.133,0.134,0.65,0.65,True,True,True
16,1,repair_ring,Pax,copper wire,offer_return_help,0.1,not due,offer return help,"Pax: Help with returning copper wire, not with erasing the debt.",0.1,0.086,0.66,0.666,True,True,True
18,2,archive,Toma,memory tag,choose_repay,0.116,not due,repay remembered object debt,Toma: Repayment lowers the memory tag debt.,0.116,0.096,0.62,0.628,True,True,True
19,2,signal,Kesh,wind wrap,choose_ignore,0.116,not due,ignore remembered debt,Kesh: Ignoring the wind wrap debt keeps it on the board.,0.116,0.122,0.62,0.617,True,True,True
21,2,repair_ring,Juno,copper wire,listen_later,0.116,not due,ask debt status,Juno: The copper wire debt is remembered by role and witness.,0.116,0.117,0.62,0.62,True,True,True
22,2,riverbend,Lio,binding cord,choose_ignore,0.116,not due,ignore remembered debt,Lio: Ignoring the binding cord debt keeps it on the board.,0.116,0.122,0.65,0.647,True,True,True
24,2,archive,Rin,signal spool,listen_later,0.1,not due,ask debt status,Rin: The signal spool debt is remembered by role and witness.,0.1,0.101,0.65,0.65,True,True,True
25,2,signal,Milo,oil lantern,offer_return_help,0.1,not due,offer return help,"Milo: Help with returning oil lantern, not with erasing the debt.",0.1,0.086,0.63,0.636,True,True,True
26,2,orchard,Mara,dry cord,choose_repay,0.116,not due,repay remembered object debt,Mara: Repayment lowers the dry cord debt.,0.116,0.096,0.62,0.628,True,True,True
27,2,repair_ring,Vale,cool cloth,choose_ignore,0.116,not due,ignore remembered debt,Vale: Ignoring the cool cloth debt keeps it on the board.,0.116,0.122,0.62,0.617,True,True,True
28,2,riverbend,Nox,cedar plank,offer_return_help,0.1,not due,offer return help,"Nox: Help with returning cedar plank, not with erasing the debt.",0.1,0.086,0.66,0.666,True,True,True
29,2,roofward,Fay,herb ledger,choose_repay,0.1,not due,repay remembered object debt,Fay: Repayment lowers the herb ledger debt.,0.1,0.08,0.65,0.658,True,True,True
30,2,archive,Toma,memory tag,choose_ignore,0.096,not due,ignore remembered debt,Toma: Ignoring the memory tag debt keeps it on the board.,0.096,0.102,0.628,0.625,True,True,True
33,2,repair_ring,Juno,copper wire,offer_return_help,0.117,not due,offer return help,"Juno: Help with returning copper wire, not with erasing the debt.",0.117,0.103,0.63,0.636,True,True,True
36,3,signal,Ren,wind wrap,choose_ignore,0.086,not due,ignore remembered debt,Ren: Ignoring the wind wrap debt keeps it on the board.,0.086,0.092,0.666,0.663,True,True,True
39,3,riverbend,Ari,binding cord,choose_ignore,0.086,not due,ignore remembered debt,Ari: Ignoring the binding cord debt keeps it on the board.,0.086,0.092,0.666,0.663,True,True,True
42,3,signal,Oda,oil lantern,offer_return_help,0.154,not due,offer return help,"Oda: Help with returning oil lantern, not with erasing the debt.",0.154,0.14,0.657,0.663,True,True,True
43,3,orchard,Ivo,dry cord,choose_repay,0.134,not due,repay remembered object debt,Ivo: Repayment lowers the dry cord debt.,0.134,0.114,0.65,0.658,True,True,True
44,3,repair_ring,Pax,cool cloth,choose_ignore,0.086,not due,ignore remembered debt,Pax: Ignoring the cool cloth debt keeps it on the board.,0.086,0.092,0.666,0.663,True,True,True
45,3,riverbend,Cee,cedar plank,offer_return_help,0.138,not due,offer return help,"Cee: Help with returning cedar plank, not with erasing the debt.",0.138,0.124,0.657,0.663,True,True,True
46,3,roofward,Bex,herb ledger,choose_repay,0.133,not due,repay remembered object debt,Bex: Repayment lowers the herb ledger debt.,0.133,0.113,0.65,0.658,True,True,True
47,3,archive,Nia,memory tag,choose_ignore,0.116,not due,ignore remembered debt,Nia: Ignoring the memory tag debt keeps it on the board.,0.116,0.122,0.65,0.647,True,True,True
48,3,signal,Ren,wind wrap,absent,0.092,not due,ask debt status,Ren: The wind wrap debt is remembered by role and witness.,0.092,0.093,0.663,0.663,True,True,True
50,3,repair_ring,Wren,copper wire,offer_return_help,0.122,not due,offer return help,"Wren: Help with returning copper wire, not with erasing the debt.",0.122,0.108,0.627,0.633,True,True,True
51,3,riverbend,Ari,binding cord,absent,0.092,not due,ask debt status,Ari: The binding cord debt is remembered by role and witness.,0.092,0.093,0.663,0.663,True,True,True
53,3,archive,Vell,signal spool,offer_return_help,0.118,not due,offer return help,"Vell: Help with returning signal spool, not with erasing the debt.",0.118,0.104,0.635,0.641,True,True,True
54,4,orchard,Mara,seed satchel,absent,0.096,not due,ask debt status,Mara: The seed satchel debt is remembered by role and witness.,0.096,0.097,0.628,0.628,True,True,True
56,4,riverbend,Nox,binding cord,choose_ignore,0.098,not due,ignore remembered debt,Nox: Ignoring the binding cord debt keeps it on the board.,0.098,0.104,0.66,0.657,True,True,True
57,4,roofward,Fay,shade cloth,absent,0.08,not due,ask debt status,Fay: The shade cloth debt is remembered by role and witness.,0.08,0.081,0.658,0.658,True,True,True
59,4,signal,Kesh,oil lantern,offer_return_help,0.122,not due,offer return help,"Kesh: Help with returning oil lantern, not with erasing the debt.",0.122,0.108,0.627,0.633,True,True,True
60,4,orchard,Suf,dry cord,choose_repay,0.112,not due,repay remembered object debt,Suf: Repayment lowers the dry cord debt.,0.112,0.092,0.644,0.652,True,True,True
61,4,repair_ring,Juno,cool cloth,choose_ignore,0.103,not due,ignore remembered debt,Juno: Ignoring the cool cloth debt keeps it on the board.,0.103,0.109,0.636,0.633,True,True,True
62,4,riverbend,Lio,cedar plank,offer_return_help,0.138,not due,offer return help,"Lio: Help with returning cedar plank, not with erasing the debt.",0.138,0.124,0.657,0.663,True,True,True
63,4,roofward,Orr,herb ledger,choose_repay,0.116,not due,repay remembered object debt,Orr: Repayment lowers the herb ledger debt.,0.116,0.096,0.65,0.658,True,True,True
64,4,archive,Rin,memory tag,choose_ignore,0.113,not due,ignore remembered debt,Rin: Ignoring the memory tag debt keeps it on the board.,0.113,0.119,0.644,0.641,True,True,True
66,4,orchard,Mara,seed satchel,listen_later,0.097,not due,ask debt status,Mara: The seed satchel debt is remembered by role and witness.,0.097,0.098,0.628,0.628,True,True,True
67,4,repair_ring,Vale,copper wire,offer_return_help,0.122,not due,offer return help,"Vale: Help with returning copper wire, not with erasing the debt.",0.122,0.108,0.627,0.633,True,True,True
69,4,roofward,Fay,shade cloth,listen_later,0.081,not due,ask debt status,Fay: The shade cloth debt is remembered by role and witness.,0.081,0.082,0.658,0.658,True,True,True
70,4,archive,Toma,signal spool,offer_return_help,0.102,not due,offer return help,"Toma: Help with returning signal spool, not with erasing the debt.",0.102,0.088,0.635,0.641,True,True,True
71,4,signal,Kesh,oil lantern,choose_repay,0.108,not due,repay remembered object debt,Kesh: Repayment lowers the oil lantern debt.,0.108,0.088,0.633,0.641,True,True,True
72,5,repair_ring,Pax,copper wire,listen_later,0.092,not due,ask debt status,Pax: The copper wire debt is remembered by role and witness.,0.092,0.093,0.663,0.663,True,True,True
73,5,riverbend,Cee,binding cord,choose_ignore,0.136,defaulted,ignore remembered debt,Cee: Ignoring the binding cord debt keeps it on the board.,0.136,0.142,0.657,0.654,True,True,True
75,5,archive,Nia,signal spool,listen_later,0.122,not due,ask debt status,Nia: The signal spool debt is remembered by role and witness.,0.122,0.123,0.647,0.647,True,True,True
76,5,signal,Ren,oil lantern,offer_return_help,0.093,not due,offer return help,"Ren: Help with returning oil lantern, not with erasing the debt.",0.093,0.079,0.673,0.679,True,True,True
77,5,orchard,Pim,dry cord,choose_repay,0.108,defaulted,repay remembered object debt,Pim: Repayment lowers the dry cord debt.,0.108,0.088,0.652,0.66,True,True,True
78,5,repair_ring,Wren,cool cloth,choose_ignore,0.12,not due,ignore remembered debt,Wren: Ignoring the cool cloth debt keeps it on the board.,0.12,0.126,0.627,0.624,True,True,True
79,5,riverbend,Ari,cedar plank,offer_return_help,0.093,not due,offer return help,"Ari: Help with returning cedar plank, not with erasing the debt.",0.093,0.079,0.673,0.679,True,True,True
80,5,roofward,Sera,herb ledger,choose_repay,0.066,not due,repay remembered object debt,Sera: Repayment lowers the herb ledger debt.,0.066,0.046,0.644,0.652,True,True,True
81,5,archive,Vell,memory tag,choose_ignore,0.116,defaulted,ignore remembered debt,Vell: Ignoring the memory tag debt keeps it on the board.,0.116,0.122,0.635,0.632,True,True,True
84,5,repair_ring,Pax,copper wire,offer_return_help,0.093,not due,offer return help,"Pax: Help with returning copper wire, not with erasing the debt.",0.093,0.079,0.673,0.679,True,True,True
87,5,archive,Nia,signal spool,offer_return_help,0.123,not due,offer return help,"Nia: Help with returning signal spool, not with erasing the debt.",0.123,0.109,0.657,0.663,True,True,True
88,5,signal,Ren,oil lantern,choose_repay,0.079,not due,repay remembered object debt,Ren: Repayment lowers the oil lantern debt.,0.079,0.059,0.679,0.687,True,True,True
89,5,orchard,Pim,dry cord,choose_ignore,0.1,defaulted,ignore remembered debt,Pim: Ignoring the dry cord debt keeps it on the board.,0.1,0.106,0.654,0.651,True,True,True
90,6,riverbend,Lio,binding cord,choose_ignore,0.148,defaulted,ignore remembered debt,Lio: Ignoring the binding cord debt keeps it on the board.,0.148,0.154,0.651,0.648,True,True,True
93,6,signal,Milo,oil lantern,offer_return_help,0.086,not due,offer return help,"Milo: Help with returning oil lantern, not with erasing the debt.",0.086,0.072,0.646,0.652,True,True,True
94,6,orchard,Mara,dry cord,choose_repay,0.122,defaulted,repay remembered object debt,Mara: Repayment lowers the dry cord debt.,0.122,0.102,0.616,0.624,True,True,True
95,6,repair_ring,Vale,cool cloth,choose_ignore,0.12,defaulted,ignore remembered debt,Vale: Ignoring the cool cloth debt keeps it on the board.,0.12,0.126,0.627,0.624,True,True,True
96,6,riverbend,Nox,cedar plank,offer_return_help,0.128,not due,offer return help,"Nox: Help with returning cedar plank, not with erasing the debt.",0.128,0.114,0.655,0.661,True,True,True
97,6,roofward,Fay,herb ledger,choose_repay,0.082,not due,repay remembered object debt,Fay: Repayment lowers the herb ledger debt.,0.082,0.062,0.658,0.666,True,True,True
98,6,archive,Toma,memory tag,choose_ignore,0.112,defaulted,ignore remembered debt,Toma: Ignoring the memory tag debt keeps it on the board.,0.112,0.118,0.629,0.626,True,True,True
99,6,signal,Kesh,wind wrap,absent,0.088,not due,ask debt status,Kesh: The wind wrap debt is remembered by role and witness.,0.088,0.089,0.641,0.641,True,True,True
101,6,repair_ring,Juno,copper wire,offer_return_help,0.109,not due,offer return help,"Juno: Help with returning copper wire, not with erasing the debt.",0.109,0.095,0.643,0.649,True,True,True
102,6,riverbend,Lio,binding cord,absent,0.178,defaulted,ask debt status,Lio: The binding cord debt is remembered by role and witness.,0.178,0.179,0.636,0.636,True,True,True
