update_id,agent_id,day,preference_axis,evidence_event,old_weight,new_weight,confidence,overgeneralization_guard,behavior_change,relationship_effect,saved_preference_key,frequency_hz,flower_node
pref-01,fayen,3,avatar_help_style,Gabriel carried cups after refused urgency,0.44,0.67,0.82,do not assume all urgency is safe,offers care tasks sooner,trust rises for care repair,pref:fayen:avatar_help_style,277.5,7
pref-02,fayen,5,quiet_posture_language,Gabriel used posture instead of pain words,0.52,0.74,0.86,only applies to public care talk,corrects wording softly,privacy trust improves,pref:fayen:quiet_posture_language,283.0,8
pref-03,ariq,8,timed_tool_help,Gabriel waited for bell before chalk tension,0.38,0.69,0.8,does not permit solo lift,offers cord-holding tasks,work trust improves,pref:ariq:timed_tool_help,288.5,9
pref-04,ariq,13,pride_safe_caution,hollow stone was stopped without shame,0.41,0.66,0.78,caution still must be concrete,accepts safety questions,repair dialogue lengthens,pref:ariq:pride_safe_caution,294.0,10
pref-05,nian,21,object_place_day_phrase,Gabriel repaired over-specific digest phrase,0.55,0.82,0.88,does not open private archives,allows public digest reading,boundary pressure lowers,pref:nian:object_place_day_phrase,299.5,11
pref-06,nian,1,threshold_distance,avatar stepped back after correction,0.49,0.7,0.79,distance does not replace wording consent,warns earlier at threshold,trust in corrections improves,pref:nian:threshold_distance,305.0,12
pref-07,roka,3,ask_each_time,Gabriel asked before each loose reed carry,0.36,0.68,0.84,"loose reeds only, not tied bundle",opens loose tray faster,learner trust improves,pref:roka:ask_each_time,310.5,1
pref-08,roka,5,blue_stone_watching,Gabriel watched tied bundle from blue stone,0.32,0.59,0.74,watching can still be revoked,permits distant lesson watching,boundary fear lowers,pref:roka:blue_stone_watching,316.0,2
pref-09,noro,8,debt_first_requests,Gabriel read debt before asking for review,0.58,0.79,0.86,does not erase debt,shows debt warning earlier,ledger trust improves,pref:noro:debt_first_requests,321.5,3
pref-10,noro,13,public_review_promise,Gabriel promised review instead of taking timber,0.46,0.7,0.77,promise must be checked later,schedules review slot,debt access improves,pref:noro:public_review_promise,327.0,4
pref-11,fayen,21,delegated_care_help,cup work reduced fatigue on day 8,0.4,0.61,0.72,does not delegate private symptoms,asks avatar for public chores,care loop becomes smoother,pref:fayen:delegated_care_help,332.5,5
pref-12,ariq,1,delay_without_project_loss,bridge delay did not cancel project,0.35,0.57,0.7,delays still create frustration,keeps project visible after delay,resentment stays bounded,pref:ariq:delay_without_project_loss,338.0,6
pref-13,roka,3,rain_named_not_blamed,rain delay was not blamed on Roka,0.37,0.62,0.73,weather naming must remain specific,returns after rain checks,comfort rises,pref:roka:rain_named_not_blamed,343.5,7
pref-14,nian,5,correction_before_posting,digest correction happened before public knot,0.48,0.72,0.81,late corrections still cost trust,interrupts earlier,public posting safer,pref:nian:correction_before_posting,349.0,8
pref-15,noro,8,partial_repayment_patience,shade debt partial payment remained visible,0.43,0.63,0.71,partial payment is not closure,offers repayment path,ledger conflict softens,pref:noro:partial_repayment_patience,354.5,9
