tick,event_type,year,actor_or_place,public_fact,private_digest,body_effect,ecology_effect,economy_effect,readable_marker,vibration_hz,flower_phase
1,weather_season,120,weather-wet-120,wet winter: roof drip and low wind; smell wet wool and smoke,sealed:weather-private-fear-associations,body cost 0.41,"crop effect: reed grows, grain waits; shelter effect: warm alcove crowded",weather changes material demand,agents turn shoulders against weather before working,118.0,1
10,birth_aging_body_state,126,luma,luma age 6 is child in hearth-north,sealed:luma:body-workspace-private,energy 0.87; fatigue 0.24; hunger 0.22; cold 0.19; wet 0.13; pain 0.07,life stage drives need and labor capacity,track warmth-stone; household hearth-north,posture and movement speed reflect body cost,113.550732,1
28,illness_care,132,luma,cough and low warmth after wet cold crossing; recovered=True,sealed:luma:care-wet-cough-luma:body-detail,breath rate + cough count; action warm-stone rest and dry cup; relapse 0.12,care response changes household labor and rest debt,trust delta +0.04; child symptoms are aggregate only,agent seeks warmth or withdraws from work without public shaming,203.2,5
42,habitat_project,180,hearth-north,"insulated warm alcove built from stone, moss, wool",sealed:habitat-private-family-displacement,comfort +0.26; safety +0.18; maintenance debt 0.08,weather pressure wet winter,labor days 46; rule children and elders rest first,agents gather under new structure and adjust routes,144.0,2
56,material_economy,190,mat-wool-blanket,3.0 wool blanket from hearth-north to archive-hill for elder warmth,sealed:exchange-private-need-and-family-detail,scarcity 0.42; fairness 0.86,"materials mediate shelter, care, crops, and tools","debt 0.08; public quantity, private recipient details sealed; memory archive will copy winter story",agent ties or unties a trade knot at public ledger,310.6,9
48,agriculture_cycle,260,river-bank,"reed bundles in wet spring: yield 0.81, spoilage 0.16",sealed:crop-private-hunger-details,labor 0.44; water 0.72; sensory wet reed smell,storage dry rack; link reed-carrying-duty,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,279.4,1
2,weather_season,300,weather-spring-300,cold spring: water over stones; smell green reed,sealed:weather-private-fear-associations,body cost 0.28,crop effect: seed delay; shelter effect: dry route useful,weather changes material demand,agents turn shoulders against weather before working,132.0,2
11,birth_aging_body_state,318,kavi,kavi age 18 is apprentice in route-west,sealed:kavi:body-workspace-private,energy 0.81; fatigue 0.41; hunger 0.27; cold 0.25; wet 0.20; pain 0.11,life stage drives need and labor capacity,track route-work; household route-west,posture and movement speed reflect body cost,122.280681,2
36,apprenticeship,318,kavi,kavi learns route running from Miloq-line mentor,sealed:apprentice-private-effort-and-fear,practice walk flood stones while breathing steady; completion 0.82; risk 0.18,skills bind body practice to ecology and craft,tool/material reed map; boundary can refuse night route in storm,keeps one hand on map knot,237.0,1
29,illness_care,322,kavi,shoulder pain after route work after overlong tool hauling; recovered=True,sealed:kavi:care-tool-strain-kavi:body-detail,movement effort spike; action mentor swaps load and logs rest debt; relapse 0.18,care response changes household labor and rest debt,trust delta +0.02; apprentice strain is not laziness,agent seeks warmth or withdraws from work without public shaming,205.1,6
