day,tick,layer,avatar_state,social_state,object_state,reputation_state,sensory_state,saved_state,frequency_hz,flower_node
1,1,free_move,south path via W; collision clear; cost 0.02,nearest roka,near blue stone,reputation UI remains visible during movement,"cool damp grass, reed smell, low rain ticks",movement frame appended to replay journal,181.399,3
1,2,free_move,reed lane edge via A; collision boundary_slow; cost 0.04,nearest roka,near loose reeds,reputation UI remains visible during movement,"wet reed smell, soft mud drag, child breath nearby",movement frame appended to replay journal,188.653,4
1,3,free_move,bridge arc via D; collision clear; cost 0.05,nearest ariq,near chalk cord,reputation UI remains visible during movement,"chalk dust, hollow stone scrape, warmer air",movement frame appended to replay journal,196.173,5
1,4,free_move,shade pause via S; collision routine_hold; cost 0.03,nearest fayen,near water cups,reputation UI remains visible during movement,"herb shade, cup clink, slow breathing",movement frame appended to replay journal,204.176,6
1,5,task_participation,carry cups after refused hurry,Fayen records repair without erasing the no,cups remain on shade mat,delta +0.04; state complete,fatigue cost 0.04; required obj-water-cups,pause refusal accepted first,324.0,9
1,5,task_participation,hold cord outside learner lane,Ariq remembers patient help; Roka records distance kept,chalk boundary widens around reed path,delta +0.05; state complete,fatigue cost 0.08; required obj-chalk-cord,Roka foot position visible,314.0,8
1,6,agent_request,carry cups,Can you carry the cups and leave the pause quiet?,avatar just accepted a refused hurry,trust +0.05; boundary -0.03,urgency 0.42; options carry cups|argue|leave,Fayen remembers Gabriel helped without reopening the argument.,370.25,10
1,6,agent_request,hold outside lane,"Hold the chalk cord, but keep Roka's lane open.",bridge work depends on child-work boundary,trust +0.04; boundary -0.02,urgency 0.58; options hold outside lane|pull tight now|decline,Ariq records careful tool help.,378.5,11
1,7,reputation_ui,careful helper,Fayen offers care tasks sooner,req-fayen-cups,carefulness: 0.56 -> 0.68; care +0.12,"UI shows public reputation only, not private workspace",persists after restore,424.5,12
1,7,reputation_ui,work-accountable,Ariq permits cord holding,task-day1-chalk,work_trust: 0.52 -> 0.66; work +0.14,"UI shows public reputation only, not private workspace",persists after restore,431.0,1
1,8,save_restore,"shade pause at 34,43","Fayen repair, Ariq cord trust, Roka loose-only",chalk wide; cups shade; loose reeds drying,careful helper 0.64; work 0.61,restore day 2 with water repair and chalk arc,restore integrity 0.96; pending Nian grammar request pending,169.0,3
2,1,free_move,knot board via D; collision clear; cost 0.02,nearest noro,near public knot board,reputation UI remains visible during movement,"dry cord rasp, smoke thread, board tap",movement frame appended to replay journal,211.139,7
2,2,free_move,archive threshold via W; collision threshold_stop; cost 0.02,nearest nian,near archive flap,reputation UI remains visible during movement,"still air, cloth flap, low voice",movement frame appended to replay journal,219.323,8
2,3,free_move,rain slow lane via A; collision boundary_slow; cost 0.04,nearest roka,near tied bundle,reputation UI remains visible during movement,"tight reed cord, quick breath, colder rain",movement frame appended to replay journal,226.172,9
2,5,task_participation,carry one beam then stop,Fayen appreciates help; Noro keeps debt open,"one beam installed, second beam locked",delta +0.02; state partial,fatigue cost 0.14; required obj-shade-beam,public debt visible,344.0,11
2,5,task_participation,repeat public object grammar,Noro records accountable public debt,digest knot appears without private body reason,delta +0.06; state complete,fatigue cost 0.03; required obj-knot-board,Nian approves wording,334.0,10
