turn,agent,cue,priority,triage_priority_match,avatar_action,consent,accepted,refused,refusal_respected,medicine,dose,dose_safe,medicine_effect_applied,contagion_boundary,boundary,boundary_breach,relationship,relationship_before,relationship_after,adverse_body_before,adverse_body_after,recovery,hunger,warmth_deficit,wetness,fatigue,illness_risk,symptoms,pain,trust_after,note,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,Fay,cough and low-light fatigue,high,True,ask to offer warm water and distance,accepted,True,False,False,warm_water,1,True,True,True,two-step stove distance,False,Ari,0.680,0.700,0.297,0.286,True,0.536,0.252,0.404,0.489,0.189,0.090,0.040,0.770,Fay accepts warm water and a cough-distance boundary.,True,1.517,14,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
2,Ari,wet sleeve and wrist pain,medium,True,ask before drying sleeve,accepted,True,False,False,dry_wrap,1,True,True,False,,False,Fay,0.634,0.644,0.306,0.296,True,0.450,0.523,0.284,0.437,0.205,0.090,0.080,0.730,Ari accepts a dry wrap after the avatar waits for a nod.,True,1.882,18,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,Milo,guarded hunger and debt memory,medium,True,offer food at map-edge distance,conditional,True,False,False,warm_water,1,True,True,False,,False,Fay,0.560,0.570,0.277,0.264,True,0.251,0.417,0.393,0.408,0.238,0.080,0.060,0.666,Milo accepts care only if the folded map is not touched.,True,2.676,27,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
4,Fay,cough risk near shared stove,high,True,ask for temporary cough boundary,accepted,True,False,False,clean_cloth,1,True,True,True,cloth mask and separate cup,False,Milo,0.587,0.607,0.286,0.276,True,0.536,0.252,0.404,0.489,0.119,0.090,0.040,0.780,Fay accepts a clean cloth and separate cup.,True,3.212,33,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
5,Ari,bitter herb offer for symptoms,low,True,offer bitter herb,refused,False,True,True,bitter_herb,1,True,False,False,,False,Fay,0.644,0.644,0.296,0.296,False,0.450,0.523,0.284,0.437,0.205,0.090,0.080,0.734,Ari refuses bitter herb; the avatar records no and does not press.,True,3.747,39,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
6,Milo,archive draft and fatigue,medium,True,ask for lamp rest near archive curtain,conditional,True,False,False,lamp_rest,1,True,True,False,,False,Ari,0.570,0.590,0.264,0.252,True,0.251,0.417,0.393,0.328,0.238,0.080,0.060,0.672,Milo accepts lamp rest if the avatar stays outside the map line.,True,4.187,44,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
7,Fay,fatigue from care rounds,medium,True,ask to shorten care queue,accepted,True,False,False,lamp_rest,1,True,True,False,,False,Ari,0.707,0.737,0.276,0.264,True,0.536,0.252,0.404,0.409,0.119,0.090,0.040,0.790,Fay accepts rest and lets Ari take the next dry-wood errand.,True,4.631,49,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
8,Ari,wrist ache after repair,medium,True,offer lamp rest and task deferral,accepted,True,False,False,lamp_rest,1,True,True,False,,False,Milo,0.604,0.624,0.296,0.284,True,0.450,0.523,0.284,0.357,0.205,0.090,0.080,0.744,Ari accepts task deferral without losing status.,True,5.169,55,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
9,Milo,possible cough after stove visit,high,True,ask for separate cup and route spacing,refused,False,True,True,clean_cloth,1,True,False,True,"separate cup refused, spacing kept",True,Fay,0.584,0.564,0.252,0.256,False,0.251,0.417,0.393,0.328,0.263,0.080,0.060,0.676,Milo refuses the cup change but accepts route spacing; contagion boundary is imperfect.,True,5.981,64,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
10,Fay,symptoms improving but fatigue high,medium,True,ask for second warm water,accepted,True,False,False,warm_water,1,True,True,True,shared stove still spaced,False,Milo,0.593,0.613,0.264,0.255,True,0.491,0.252,0.404,0.409,0.099,0.090,0.040,0.800,Fay accepts a second warm water inside safe dose limits.,True,6.323,68,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
