tick,day,loop_id,turn_index,speaker,listener,turn_type,utterance_template,agent_led,references_prior_term,asks_clarification,revises_offer,dialogue_confidence,private_workspace_sealed
0,1,v18-loop-001,0,Keth,Nari,counteroffer,Keth: I can accept a later help if do not erase route warnings remains visible.,0,0,0,1,0.812,1
1,1,v18-loop-001,1,Melo,Ori,counteroffer,Melo: I can accept a public witness if fair turns before tool access remains visible.,1,0,0,1,0.8315,1
2,1,v18-loop-001,2,Nari,Vonn,witness,Nari: I can accept a quiet interval if sealed notes stay sealed remains visible.,1,0,1,0,0.838,1
3,1,v18-loop-001,3,Ori,Sova,counteroffer,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,0,1,0.8445,1
4,1,v18-loop-001,4,Vonn,Keth,state_boundary,Vonn: I can accept a shared schedule knot if quiet recovery needs distance remains visible.,1,0,0,0,0.851,1
5,1,v18-loop-001,5,Sova,Melo,accept,Sova: I can accept a shorter turn if no crowding while resting remains visible.,1,0,0,0,0.8575,1
6,1,v18-loop-002,6,Keth,Nari,witness,Keth: I can accept a later help if do not erase route warnings remains visible.,1,0,0,0,0.864,1
7,1,v18-loop-002,7,Melo,Ori,counteroffer,Melo: I can accept a public witness if fair turns before tool access remains visible.,1,0,0,1,0.8705,1
8,1,v18-loop-002,8,Nari,Vonn,state_boundary,Nari: I can accept a quiet interval if sealed notes stay sealed remains visible.,1,0,0,0,0.877,1
9,1,v18-loop-002,9,Ori,Sova,accept,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,0,0,0.825,1
10,1,v18-loop-002,10,Vonn,Keth,accept,Vonn: I can accept a shared schedule knot if quiet recovery needs distance remains visible.,1,0,0,0,0.8315,1
11,1,v18-loop-002,11,Sova,Melo,counteroffer,Sova: I can accept a shorter turn if no crowding while resting remains visible.,1,0,0,1,0.838,1
12,2,v18-loop-003,0,Melo,Ori,state_boundary,Melo: I remember v18-ceremony-d01-t07; keep that boundary while we revise this.,1,1,0,0,0.8445,1
13,2,v18-loop-003,1,Nari,Vonn,witness,Nari: I remember v18-ceremony-d01-t09; keep that boundary while we revise this.,1,1,0,0,0.851,1
14,2,v18-loop-003,2,Ori,Sova,witness,Ori: I remember v18-ceremony-d01-t10; keep that boundary while we revise this.,1,1,0,1,0.8575,1
15,2,v18-loop-003,3,Vonn,Keth,revise,Vonn: I remember v18-ceremony-d01-t11; keep that boundary while we revise this.,1,1,1,1,0.864,1
16,2,v18-loop-003,4,Sova,Melo,revise,Sova: I remember v18-ceremony-d01-t02; keep that boundary while we revise this.,1,1,0,1,0.8705,1
17,2,v18-loop-003,5,Keth,Nari,accept,Keth: I remember v18-ceremony-d01-t03; keep that boundary while we revise this.,1,1,0,0,0.877,1
18,2,v18-loop-004,6,Melo,Ori,witness,Melo: I remember v18-ceremony-d01-t05; keep that boundary while we revise this.,1,1,0,0,0.825,1
19,2,v18-loop-004,7,Nari,Vonn,counteroffer,Nari: I remember v18-ceremony-d01-t06; keep that boundary while we revise this.,1,1,0,1,0.8315,1
20,2,v18-loop-004,8,Ori,Sova,state_boundary,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,0,0,0.838,1
21,2,v18-loop-004,9,Vonn,Keth,repair,Vonn: I remember v18-ceremony-d01-t09; keep that boundary while we revise this.,1,1,0,1,0.8445,1
22,2,v18-loop-004,10,Sova,Melo,clarify,Sova: I remember v18-ceremony-d01-t10; keep that boundary while we revise this.,1,1,1,0,0.841,1
23,2,v18-loop-004,11,Keth,Nari,witness,Keth: I remember v18-ceremony-d01-t11; keep that boundary while we revise this.,1,1,0,0,0.8575,1
24,3,v18-loop-005,0,Nari,Vonn,clarify,Nari: I remember v18-ceremony-d01-t10; keep that boundary while we revise this.,1,1,1,0,0.854,1
25,3,v18-loop-005,1,Ori,Sova,clarify,Ori: I remember v18-ceremony-d01-t11; keep that boundary while we revise this.,1,1,1,0,0.8605,1
26,3,v18-loop-005,2,Vonn,Keth,counteroffer,Vonn: I remember v18-ceremony-d02-t01; keep that boundary while we revise this.,1,1,0,1,0.877,1
27,3,v18-loop-005,3,Sova,Melo,revise,Sova: I remember v18-ceremony-d02-t02; keep that boundary while we revise this.,1,1,0,1,0.825,1
