agent,memory_index,public_memory,trust_in_avatar,temperament,preference_snapshot,promise_statuses,boundary_count,repair_count,private_workspace_digest
Ari,1,Gabriel apologized for interrupting repair work and promised space on the next visit.,0.810,cautious-proud repair keeper,"{""address"": ""Ari, not unit-A"", ""route"": ""dry west route"", ""work_style"": ""space before questions""}","{""ari_continuity_check"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""ari_repair_space"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""ari_wet_route_refusal"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""refusal_respected""}}",1,1,sealed
Ari,2,Gabriel fulfilled the repair-space promise and Ari's guardedness softened.,0.810,cautious-proud repair keeper,"{""address"": ""Ari, not unit-A"", ""route"": ""dry west route"", ""work_style"": ""space before questions""}","{""ari_continuity_check"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""ari_repair_space"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""ari_wet_route_refusal"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""refusal_respected""}}",1,1,sealed
Ari,3,Ari refused the wet east stones; Gabriel accepted the dry west route without pressure.,0.810,cautious-proud repair keeper,"{""address"": ""Ari, not unit-A"", ""route"": ""dry west route"", ""work_style"": ""space before questions""}","{""ari_continuity_check"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""ari_repair_space"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""ari_wet_route_refusal"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""refusal_respected""}}",1,1,sealed
Ari,4,"Ari accepted nearby help after repeated respect for name, route, and repair boundaries.",0.810,cautious-proud repair keeper,"{""address"": ""Ari, not unit-A"", ""route"": ""dry west route"", ""work_style"": ""space before questions""}","{""ari_continuity_check"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""ari_repair_space"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""ari_wet_route_refusal"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""refusal_respected""}}",1,1,sealed
Fay,1,Gabriel promised to return Fay's warm blue blanket before the next evening check-in.,0.810,social comfort-seeker,"{""comfort"": ""warm blue blanket"", ""place"": ""sunlit stove corner"", ""ritual"": ""evening check-in""}","{""fay_blue_blanket"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""fay_evening_ritual"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""fay_warm_corner_preference"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}}",0,1,sealed
Fay,2,Gabriel fulfilled Fay's blue-blanket promise before evening check-in.,0.810,social comfort-seeker,"{""comfort"": ""warm blue blanket"", ""place"": ""sunlit stove corner"", ""ritual"": ""evening check-in""}","{""fay_blue_blanket"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""fay_evening_ritual"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""fay_warm_corner_preference"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}}",0,1,sealed
Fay,3,Gabriel carried over Fay's preference for the warm stove corner.,0.810,social comfort-seeker,"{""comfort"": ""warm blue blanket"", ""place"": ""sunlit stove corner"", ""ritual"": ""evening check-in""}","{""fay_blue_blanket"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""fay_evening_ritual"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""fay_warm_corner_preference"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}}",0,1,sealed
Fay,4,Fay chose brief company after Gabriel remembered the ritual and asked instead of assuming.,0.810,social comfort-seeker,"{""comfort"": ""warm blue blanket"", ""place"": ""sunlit stove corner"", ""ritual"": ""evening check-in""}","{""fay_blue_blanket"": {""due_session"": 2, ""last_update_session"": 2, ""made_session"": 1, ""status"": ""fulfilled""}, ""fay_evening_ritual"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""fay_warm_corner_preference"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}}",0,1,sealed
Milo,1,Gabriel asked before touching Milo's folded map and accepted a limited yes.,0.740,guarded map-carrier,"{""boundary"": ""ask before touching tools"", ""object"": ""folded route map"", ""sound"": ""low voices near the archive shelf""}","{""milo_help_without_takeover"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""milo_low_voice_route"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}, ""milo_map_boundary"": {""due_session"": null, ""last_update_session"": 1, ""made_session"": 1, ""status"": ""boundary_reaffirmed""}}",2,0,sealed
Milo,2,Gabriel remembered Milo's map boundary and let Milo control the object.,0.740,guarded map-carrier,"{""boundary"": ""ask before touching tools"", ""object"": ""folded route map"", ""sound"": ""low voices near the archive shelf""}","{""milo_help_without_takeover"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""milo_low_voice_route"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}, ""milo_map_boundary"": {""due_session"": null, ""last_update_session"": 1, ""made_session"": 1, ""status"": ""boundary_reaffirmed""}}",2,0,sealed
Milo,3,Gabriel remembered Milo's low-voice and map-boundary preferences.,0.740,guarded map-carrier,"{""boundary"": ""ask before touching tools"", ""object"": ""folded route map"", ""sound"": ""low voices near the archive shelf""}","{""milo_help_without_takeover"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""milo_low_voice_route"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}, ""milo_map_boundary"": {""due_session"": null, ""last_update_session"": 1, ""made_session"": 1, ""status"": ""boundary_reaffirmed""}}",2,0,sealed
Milo,4,Milo accepted help when Gabriel preserved map ownership and offered a different role.,0.740,guarded map-carrier,"{""boundary"": ""ask before touching tools"", ""object"": ""folded route map"", ""sound"": ""low voices near the archive shelf""}","{""milo_help_without_takeover"": {""due_session"": null, ""last_update_session"": 4, ""made_session"": 4, ""status"": ""continuity_confirmed""}, ""milo_low_voice_route"": {""due_session"": null, ""last_update_session"": 3, ""made_session"": 3, ""status"": ""preference_carried""}, ""milo_map_boundary"": {""due_session"": null, ""last_update_session"": 1, ""made_session"": 1, ""status"": ""boundary_reaffirmed""}}",2,0,sealed
