tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_dialogue_branch
0,1,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
1,1,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
2,1,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,relieved reset stance,dialogue-pulse,True
3,1,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
4,1,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
5,1,central_repair_ring,two-agent route dialogue buttons,rollback bell,warm wire,warm direct route air,dry route markers,relieved reset stance,flower-node,True
6,1,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,dialogue-pulse,True
7,1,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
8,1,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
9,1,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
10,1,orchard_riverbend,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,flower-node,True
11,1,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
12,1,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
13,1,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
14,2,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
15,2,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
16,2,orchard_riverbend,shared route board,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
17,2,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
18,2,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
19,2,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
20,2,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
21,2,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
22,2,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
23,2,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
24,2,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,flower-node,True
25,2,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
26,2,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
27,2,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
28,3,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
29,3,central_repair_ring,two-agent route dialogue buttons,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
30,3,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
31,3,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
32,3,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
33,3,signal_orchard,two-agent route dialogue buttons,rollback bell,oil paper,warm direct route air,dry route markers,relieved reset stance,flower-node,True
34,3,orchard_riverbend,shared route board,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
35,3,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
36,3,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
37,3,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
38,3,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,flower-node,True
39,3,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
40,3,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
41,3,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
42,4,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
43,4,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
44,4,archive_signal,shared route board,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
45,4,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
46,4,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
47,4,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
48,4,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,dialogue-pulse,True
49,4,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
50,4,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
51,4,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
52,4,orchard_riverbend,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,flower-node,True
53,4,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
54,4,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
55,4,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
56,5,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
57,5,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
58,5,orchard_riverbend,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
59,5,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
60,5,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
61,5,roofward_archive,two-agent route dialogue buttons,rollback bell,warm wire,warm direct route air,dry route markers,relieved reset stance,flower-node,True
62,5,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
63,5,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
