tick_id,day,settlement_id,resident_id,avatar_room,resident_room,egocentric_relation,visual_near,audible_near,smell_near,temperature_c,wetness_signal,pain_signal,tactile_signal,attention_focus,packet_source,local_not_global,private_workspace_sealed
0,1,signal,Ren,signal perch,lens room,near-left,oil lantern,rope creak,hot glass,10.98,0.25,0.063,neutral air,queued work,avatar first-person local sample,True,True
1,1,orchard,Ivo,seed lane,market plank,distant-ahead,doorway shape,muffled roof drip,dry twine,13.76,0.26,0.063,neutral air,queued work,avatar first-person local sample,True,True
2,1,repair_ring,Pax,bell alcove,cool corner,near-right,insulated tongs,cool fan,stone chalk,17.24,0.24,0.063,warm edge,resident boundary,avatar first-person local sample,True,True
3,1,riverbend,Ari,kit alcove,plank hall,distant-behind,doorway shape,muffled cedar knock,warm oil,12.82,0.28,0.063,neutral air,queued work,avatar first-person local sample,True,True
4,1,roofward,Sera,glass stair,warm lane,near-right,brass hinge,sun glass hum,polished brass,18.2,0.29,0.063,neutral air,queued work,avatar first-person local sample,True,True
5,1,archive,Nia,ink niche,ink niche,co-present,signal spool,stone echo,cold dust,15.88,0.22,0.063,neutral air,resident boundary,avatar first-person local sample,True,True
6,1,signal,Ren,arrival court,lens room,distant-ahead,doorway shape,muffled static crickets,salt wind,8.66,0.65,0.14444,wet sole,queued work,avatar first-person local sample,True,True
7,1,orchard,Ivo,mud row,market plank,near-right,dry cord,cart creak,apple soil,14.94,0.66,0.14444,wet sole,queued work,avatar first-person local sample,True,True
8,1,repair_ring,Pax,cool corner,cool corner,co-present,insulated tongs,bell hum,clean cloth,18.42,0.28,0.06408,warm edge,queued work,avatar first-person local sample,True,True
9,1,riverbend,Ari,arrival court,plank hall,near-right,ridge lantern,river slap,mud thread,9.78,0.26,0.06444,neutral air,queued work,avatar first-person local sample,True,True
10,1,roofward,Sera,warm lane,ledger loft,near-right,brass hinge,hinge ticks,thyme paper,18.66,0.28,0.06444,neutral air,queued work,avatar first-person local sample,True,True
11,1,archive,Nia,memory desk,ink niche,near-left,signal spool,page flutter,wax seal,16.34,0.26,0.06408,warm edge,queued work,avatar first-person local sample,True,True
