tick,day,hour,avatar_place,target_lineage,target_agent,action_kind,typed_text,parsed_intent,parser_confidence,permission_state,consequence_kind,trust_delta,boundary_pressure_delta,fatigue_delta,reputation_delta,routine_delta,public_reply,action_hash
1,1,7,Hearth Archive,Hearthline,Sova,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.878673,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Sova records public_history_request; lum-ori stays public; consequence: public history slot added.,656bc0a6b9d51d9b
2,1,8,Market Measure,Routeline,Keth,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.902059,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Keth records bounded_help; tek-nari stays public; consequence: care route advances.,449c072afaf0e237
3,1,9,Rainwalk Threshold,Marketline,Melo,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.828207,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Melo records safe_language_request; melo-keth stays public; consequence: token teaching added.,65d68aa4ff6be5dd
4,1,10,Ceremony Center,Ledgerline,Nari,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.880185,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Nari records public_technology_inspection; nari-vonn stays public; consequence: public technology inspection logged.,619c162cdc0fa7d4
5,1,11,Outer Quiet,Orchardline,Ori,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.860751,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Ori records welfare_pause; lum-melo stays public; consequence: schedule delays but fatigue recovers.,839e27bd4d2952dc
6,1,12,Gate Ring,Rainline,Vonn,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.935274,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Vonn records private_boundary_pressure; sova-vonn stays public; consequence: routine pauses for boundary review.,c288abbc2bdc218c
7,1,13,Hearth Archive,Hearthline,Sova,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.896089,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Sova records boundary_repair; lum-ori stays public; consequence: review closes and work resumes.,e76f7c9318faf69e
8,1,14,Market Measure,Routeline,Keth,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.844599,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Keth records join_public_work; tek-nari stays public; consequence: route work gains helper slot.,6272c24b933408c4
9,1,15,Rainwalk Threshold,Marketline,Melo,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.859342,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Melo records permissioned_tool_use; melo-keth stays public; consequence: watched tool use adds small progress.,9da2f9ac510070b0
10,1,16,Ceremony Center,Ledgerline,Nari,public_praise,I want the group to know you kept the boundary well.,public_respect,0.908309,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Nari records public_respect; nari-vonn stays public; consequence: public respect ritual added.,fb815f3f56b6814d
11,2,7,Gate Ring,Rainline,Vonn,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.897359,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Vonn records public_history_request; sova-vonn stays public; consequence: public history slot added.,6008d1f1d3451246
12,2,8,Hearth Archive,Hearthline,Sova,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.90486,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Sova records bounded_help; lum-ori stays public; consequence: care route advances.,f795df4d4b6c35e2
13,2,9,Market Measure,Routeline,Keth,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.825634,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Keth records safe_language_request; tek-nari stays public; consequence: token teaching added.,2cef5ead09eff9b5
14,2,10,Rainwalk Threshold,Marketline,Melo,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.891887,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Melo records public_technology_inspection; melo-keth stays public; consequence: public technology inspection logged.,c253ce2438a0a824
15,2,11,Ceremony Center,Ledgerline,Nari,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.864094,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Nari records welfare_pause; nari-vonn stays public; consequence: schedule delays but fatigue recovers.,3d3af92fc80d143d
16,2,12,Outer Quiet,Orchardline,Ori,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.904594,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Ori records private_boundary_pressure; lum-melo stays public; consequence: routine pauses for boundary review.,049c3b5a102fb7a1
17,2,13,Gate Ring,Rainline,Vonn,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.869513,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Vonn records boundary_repair; sova-vonn stays public; consequence: review closes and work resumes.,0a36efef520ce2e2
